"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Male,*,*,*,*,285,329,*,*,*,*,39.30%,24.30%,*,*,*,*,56.50%,42.00%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Female,*,*,*,*,286,293,*,*,*,*,33.90%,35.50%,*,*,*,*,54.40%,52.50%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,Male,*,*,*,*,269,329,*,*,*,*,34.60%,35.60%,*,*,*,*,52.80%,53.10%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,Female,*,*,*,*,282,292,*,*,*,*,31.60%,33.60%,*,*,*,*,50.70%,53.00%
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,ELA,Male,359,353,343,335,*,*,27.60%,35.40%,38.50%,36.10%,*,*,45.60%,55.70%,56.30%,55.80%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,ELA,Female,335,354,339,345,*,*,29.60%,39.50%,41.90%,38.80%,*,*,49.50%,59.10%,62.50%,57.50%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,Math,Male,361,353,342,333,*,*,35.50%,39.70%,34.20%,39.30%,*,*,53.60%,57.80%,54.60%,58.30%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,Math,Female,335,353,339,344,*,*,38.50%,43.90%,40.10%,44.20%,*,*,57.50%,63.20%,60.40%,61.60%,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,ELA,Male,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,Math,Male,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
