"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, Gender",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
1020011,North Stonington School District,7,Math,Female,26,34,32,21,20,25,38.50%,58.80%,28.10%,38.10%,50.00%,64.00%,61.70%,78.50%,40.80%,55.80%,60.90%,78.60%
1020011,North Stonington School District,7,Math,Male,32,26,25,26,35,32,56.30%,38.50%,44.00%,50.00%,60.00%,46.90%,77.50%,73.10%,56.40%,59.90%,76.90%,61.80%
1020011,North Stonington School District,8,ELA,Female,16,24,34,33,28,21,*,37.50%,55.90%,54.50%,32.10%,19.00%,*,55.80%,70.40%,68.90%,42.40%,26.80%
1020011,North Stonington School District,8,ELA,Male,33,32,26,27,21,38,33.30%,43.80%,46.20%,37.00%,23.80%,26.30%,49.10%,60.00%,64.40%,49.10%,34.20%,37.30%
1020011,North Stonington School District,8,Math,Female,16,24,34,33,28,21,*,41.70%,35.30%,60.60%,46.40%,33.30%,*,55.60%,50.30%,81.80%,57.20%,46.30%
1020011,North Stonington School District,8,Math,Male,33,32,26,27,21,38,45.50%,37.50%,50.00%,37.00%,19.00%,47.40%,67.50%,49.00%,65.70%,53.50%,38.80%,57.10%
1030011,Norwalk School District,4,ELA,Female,396,391,376,405,361,383,42.40%,35.00%,44.70%,40.00%,42.10%,37.10%,67.20%,63.40%,68.40%,66.70%,63.90%,62.10%
1030011,Norwalk School District,4,ELA,Male,417,433,431,433,406,375,41.50%,42.30%,49.90%,39.00%,39.90%,36.50%,66.50%,63.40%,74.10%,62.20%,66.10%,63.80%
1030011,Norwalk School District,4,Math,Female,404,391,376,405,358,380,40.60%,39.60%,39.10%,48.10%,40.80%,41.10%,74.10%,69.70%,68.10%,75.00%,69.60%,71.70%
1030011,Norwalk School District,4,Math,Male,424,433,430,433,405,374,45.50%,49.90%,47.00%,46.00%,45.90%,43.30%,75.10%,76.90%,74.30%,71.10%,77.60%,71.00%
1030011,Norwalk School District,5,ELA,Female,381,401,394,368,327,359,35.70%,34.90%,42.60%,38.00%,35.20%,38.40%,61.30%,59.20%,66.80%,61.00%,61.20%,62.60%
1030011,Norwalk School District,5,ELA,Male,371,416,431,427,367,413,28.80%,32.20%,37.40%,35.80%,38.40%,35.60%,53.80%,53.10%,63.90%,59.30%,64.80%,60.40%
1030011,Norwalk School District,5,Math,Female,389,400,394,368,326,354,34.70%,40.30%,39.30%,39.10%,42.60%,38.40%,55.60%,57.30%,58.70%,59.80%,65.70%,60.40%
1030011,Norwalk School District,5,Math,Male,377,417,430,426,362,413,38.20%,41.00%,41.60%,40.80%,46.10%,42.10%,58.30%,63.40%,60.50%,60.40%,66.50%,64.00%
1030011,Norwalk School District,6,ELA,Female,387,385,404,371,355,319,25.80%,31.20%,34.20%,34.80%,30.10%,33.50%,45.90%,53.90%,52.80%,54.20%,50.00%,51.60%
1030011,Norwalk School District,6,ELA,Male,401,366,417,430,395,364,31.40%,33.30%,30.70%,30.90%,31.90%,30.50%,49.60%,50.60%,49.60%,49.00%,50.60%,50.30%
1030011,Norwalk School District,6,Math,Female,392,385,404,371,353,319,27.80%,45.70%,39.90%,33.20%,32.30%,42.90%,45.80%,65.80%,58.70%,54.70%,50.70%,61.90%
1030011,Norwalk School District,6,Math,Male,405,365,417,429,390,364,23.50%,37.30%,32.90%,30.30%,34.90%,42.30%,40.70%,56.70%,50.00%,47.20%,51.90%,60.20%
1030011,Norwalk School District,7,ELA,Female,371,391,399,401,397,361,41.50%,43.70%,38.10%,47.60%,44.30%,36.30%,61.90%,66.40%,57.00%,70.30%,63.50%,57.20%
1030011,Norwalk School District,7,ELA,Male,404,408,372,420,394,409,39.60%,40.90%,30.10%,44.50%,32.50%,30.80%,59.70%,61.20%,48.80%,65.40%,52.60%,50.60%
1030011,Norwalk School District,7,Math,Female,375,390,398,401,386,360,44.30%,47.40%,42.20%,46.60%,54.90%,43.60%,63.30%,69.40%,62.30%,63.90%,73.40%,63.00%
1030011,Norwalk School District,7,Math,Male,408,406,372,420,379,402,45.10%,55.40%,44.10%,47.40%,54.40%,43.50%,65.10%,75.00%,61.70%,65.40%,73.10%,63.10%
1030011,Norwalk School District,8,ELA,Female,344,384,392,395,353,412,39.00%,44.80%,37.00%,37.00%,38.80%,30.10%,57.60%,62.50%,56.50%,56.30%,53.70%,47.20%
1030011,Norwalk School District,8,ELA,Male,377,412,425,375,395,406,30.00%,33.50%,32.70%,38.40%,30.60%,30.50%,48.80%,50.70%,49.20%,59.10%,45.10%,48.00%
1030011,Norwalk School District,8,Math,Female,352,384,392,394,334,407,35.50%,39.80%,46.40%,42.40%,35.00%,31.20%,53.90%,55.90%,63.00%,58.30%,50.70%,45.50%
1030011,Norwalk School District,8,Math,Male,389,409,424,375,392,403,36.20%,38.90%,40.80%,37.90%,29.60%,29.80%,52.30%,54.50%,56.40%,51.90%,44.90%,42.20%
1040011,Norwich School District,4,ELA,Female,154,167,166,160,154,151,41.60%,43.70%,32.50%,31.30%,28.60%,33.10%,66.20%,70.60%,59.30%,55.50%,55.00%,57.80%
1040011,Norwich School District,4,ELA,Male,169,163,176,155,171,161,43.80%,36.20%,34.70%,31.60%,34.50%,32.30%,70.00%,65.80%,56.20%,55.70%,57.70%,60.70%
1040011,Norwich School District,4,Math,Female,159,167,165,160,153,149,39.00%,38.30%,25.50%,19.40%,27.50%,32.20%,70.10%,65.70%,52.40%,49.00%,56.20%,65.50%
1040011,Norwich School District,4,Math,Male,172,163,175,156,168,160,44.20%,35.60%,26.90%,24.40%,32.10%,36.90%,73.90%,65.10%,52.30%,54.70%,58.90%,67.50%
1040011,Norwich School District,5,ELA,Female,164,160,170,172,147,157,42.70%,32.50%,28.80%,29.10%,25.90%,36.30%,69.80%,59.60%,56.50%,53.00%,50.50%,60.80%
1040011,Norwich School District,5,ELA,Male,159,171,172,180,146,176,44.70%,26.30%,29.70%,28.30%,26.00%,36.90%,65.20%,55.00%,53.10%,53.80%,54.70%,62.80%
1040011,Norwich School District,5,Math,Female,167,159,170,171,145,156,34.70%,29.60%,31.80%,30.40%,30.30%,39.10%,57.20%,57.50%,54.50%,55.50%,51.90%,60.50%
1040011,Norwich School District,5,Math,Male,161,171,172,180,143,175,41.00%,36.80%,30.20%,31.70%,31.50%,49.10%,66.00%,58.60%,50.70%,52.90%,57.00%,70.20%
1040011,Norwich School District,6,ELA,Female,133,155,134,168,153,138,25.60%,36.80%,25.40%,26.80%,19.60%,21.00%,47.50%,54.00%,43.30%,43.10%,34.70%,42.20%
1040011,Norwich School District,6,ELA,Male,175,141,151,167,154,145,36.00%,24.80%,23.80%,17.40%,20.10%,20.00%,58.00%,45.00%,43.30%,36.90%,39.40%,38.20%
1040011,Norwich School District,6,Math,Female,134,155,133,168,150,137,44.00%,38.70%,26.30%,28.00%,14.00%,17.50%,60.00%,57.00%,43.40%,43.50%,27.20%,31.90%
1040011,Norwich School District,6,Math,Male,174,140,150,167,150,144,32.80%,31.40%,26.00%,19.80%,16.70%,16.70%,53.60%,50.80%,41.80%,34.90%,28.80%,30.80%
1040011,Norwich School District,7,ELA,Female,181,136,150,140,147,150,39.20%,38.20%,24.00%,25.70%,27.90%,28.00%,60.20%,57.00%,44.20%,42.20%,46.20%,48.50%
1040011,Norwich School District,7,ELA,Male,150,165,145,148,155,148,34.70%,32.10%,15.90%,21.60%,21.90%,25.70%,59.20%,50.70%,30.00%,39.70%,37.20%,41.10%
1040011,Norwich School District,7,Math,Female,181,134,150,139,146,150,36.50%,26.90%,25.30%,20.90%,21.20%,34.70%,57.50%,43.90%,41.50%,34.90%,41.60%,54.70%
1040011,Norwich School District,7,Math,Male,155,165,143,148,149,147,39.40%,30.90%,31.50%,26.40%,28.20%,40.80%,58.20%,49.20%,46.30%,43.20%,45.40%,59.40%
1040011,Norwich School District,8,ELA,Female,163,188,138,156,149,143,35.00%,31.40%,29.70%,26.90%,22.10%,28.00%,53.50%,48.20%,44.90%,40.50%,41.00%,46.30%
1040011,Norwich School District,8,ELA,Male,181,157,171,161,147,165,33.70%,22.90%,22.20%,34.80%,24.50%,35.80%,52.90%,40.20%,37.70%,59.10%,39.10%,54.00%
1040011,Norwich School District,8,Math,Female,163,187,137,156,146,143,33.70%,39.00%,36.50%,34.60%,19.90%,24.50%,52.60%,56.40%,52.00%,52.90%,29.80%,40.30%
1040011,Norwich School District,8,Math,Male,177,158,171,159,145,161,33.30%,43.00%,27.50%,32.70%,26.90%,27.30%,49.00%,60.20%,41.60%,52.00%,41.10%,40.40%
2630013,Odyssey Community School District,4,ELA,Female,17,12,23,15,13,18,*,*,34.80%,*,*,*,*,*,65.00%,*,*,*
2630013,Odyssey Community School District,4,ELA,Male,21,24,12,21,18,14,52.40%,45.80%,*,61.90%,*,*,78.20%,74.90%,*,88.20%,*,*
2630013,Odyssey Community School District,4,Math,Female,17,12,23,15,13,17,*,*,26.10%,*,*,*,*,*,64.70%,*,*,*
2630013,Odyssey Community School District,4,Math,Male,21,24,12,21,17,14,28.60%,50.00%,*,71.40%,*,*,73.00%,77.30%,*,91.90%,*,*
2630013,Odyssey Community School District,5,ELA,Female,17,17,14,25,15,14,*,*,*,52.00%,*,*,*,*,*,74.80%,*,*
2630013,Odyssey Community School District,5,ELA,Male,19,20,23,12,18,23,*,25.00%,21.70%,*,*,30.40%,*,35.50%,38.60%,*,*,52.00%
2630013,Odyssey Community School District,5,Math,Female,17,17,14,25,15,14,*,*,*,44.00%,*,*,*,*,*,70.20%,*,*
2630013,Odyssey Community School District,5,Math,Male,19,20,23,12,18,23,*,15.00%,17.40%,*,*,34.80%,*,36.30%,38.00%,*,*,62.80%
2630013,Odyssey Community School District,6,ELA,Female,19,16,17,15,20,14,*,*,*,*,65.00%,*,*,*,*,*,86.90%,*
2630013,Odyssey Community School District,6,ELA,Male,14,20,20,20,16,19,*,30.00%,15.00%,35.00%,*,*,*,47.10%,33.00%,63.70%,*,*
2630013,Odyssey Community School District,6,Math,Female,19,16,17,15,19,14,*,*,*,*,*,*,*,*,*,*,*,*
2630013,Odyssey Community School District,6,Math,Male,14,20,20,20,16,19,*,50.00%,25.00%,30.00%,*,*,*,65.40%,47.60%,50.50%,*,*
2630013,Odyssey Community School District,7,ELA,Female,13,21,16,16,14,21,*,28.60%,*,*,*,23.80%,*,46.00%,*,*,*,40.00%
2630013,Odyssey Community School District,7,ELA,Male,18,15,21,17,20,17,*,*,28.60%,*,20.00%,*,*,*,54.80%,*,40.10%,*
2630013,Odyssey Community School District,7,Math,Female,13,21,16,16,14,21,*,52.40%,*,*,*,47.60%,*,72.00%,*,*,*,69.10%
2630013,Odyssey Community School District,7,Math,Male,18,15,21,17,20,17,*,*,42.90%,*,55.00%,*,*,*,50.50%,*,78.30%,*
2630013,Odyssey Community School District,8,ELA,Female,17,12,19,16,21,16,*,*,*,*,23.80%,*,*,*,*,*,37.00%,*
2630013,Odyssey Community School District,8,ELA,Male,20,18,13,20,10,17,15.00%,*,*,20.00%,*,*,35.80%,*,*,39.10%,*,*
2630013,Odyssey Community School District,8,Math,Female,17,12,19,16,21,16,*,*,*,*,38.10%,*,*,*,*,*,49.80%,*
2630013,Odyssey Community School District,8,Math,Male,20,18,13,20,10,17,30.00%,*,*,40.00%,*,*,42.60%,*,*,53.90%,*,*
1060011,Old Saybrook School District,4,ELA,Female,46,46,30,54,33,46,37.00%,47.80%,60.00%,74.10%,63.60%,56.50%,68.40%,72.60%,76.60%,92.00%,81.80%,75.40%
1060011,Old Saybrook School District,4,ELA,Male,53,39,34,45,27,30,41.50%,53.80%,41.20%,68.90%,55.60%,36.70%,69.40%,81.90%,60.70%,89.20%,76.80%,68.10%
1060011,Old Saybrook School District,4,Math,Female,46,45,30,54,33,46,84.80%,55.60%,63.30%,74.10%,51.50%,23.90%,100.00%,81.10%,91.10%,95.00%,75.80%,54.70%
1060011,Old Saybrook School District,4,Math,Male,52,39,33,45,27,30,63.50%,48.70%,57.60%,80.00%,40.70%,36.70%,96.40%,81.20%,86.10%,100.00%,76.10%,64.10%
1060011,Old Saybrook School District,5,ELA,Female,43,42,46,33,27,31,46.50%,50.00%,34.80%,54.50%,37.00%,58.10%,63.10%,71.80%,56.10%,79.50%,60.90%,82.00%
1060011,Old Saybrook School District,5,ELA,Male,40,53,36,34,47,29,37.50%,41.50%,25.00%,58.80%,38.30%,34.50%,59.70%,66.20%,51.00%,80.80%,56.20%,59.40%
1060011,Old Saybrook School District,5,Math,Female,44,42,46,33,27,31,52.30%,38.10%,58.70%,84.80%,70.40%,64.50%,79.80%,59.70%,84.10%,97.80%,94.50%,80.70%
1060011,Old Saybrook School District,5,Math,Male,43,53,36,34,46,29,55.80%,54.70%,72.20%,61.80%,76.10%,65.50%,81.10%,76.80%,87.20%,92.30%,97.30%,87.60%
1060011,Old Saybrook School District,6,ELA,Female,45,42,40,47,31,30,42.20%,61.90%,27.50%,78.70%,45.20%,70.00%,62.30%,80.90%,48.00%,88.90%,65.10%,93.20%
1060011,Old Saybrook School District,6,ELA,Male,53,47,50,34,39,49,50.90%,46.80%,32.00%,61.80%,48.70%,46.90%,64.90%,64.20%,46.80%,79.30%,72.00%,67.00%
1060011,Old Saybrook School District,6,Math,Female,45,42,39,47,31,30,28.90%,28.60%,17.90%,57.40%,38.70%,36.70%,51.10%,51.00%,39.00%,77.50%,63.30%,54.40%
1060011,Old Saybrook School District,6,Math,Male,53,47,50,34,39,49,26.40%,29.80%,22.00%,52.90%,53.80%,44.90%,44.20%,47.30%,36.60%,77.80%,82.30%,66.80%
1060011,Old Saybrook School District,7,ELA,Female,52,45,39,39,52,31,38.50%,17.80%,30.80%,59.00%,48.10%,29.00%,60.40%,35.60%,48.40%,78.80%,68.70%,59.80%
1060011,Old Saybrook School District,7,ELA,Male,52,51,46,53,42,37,40.40%,37.30%,37.00%,50.90%,26.20%,45.90%,52.50%,51.80%,53.80%,68.10%,45.70%,60.90%
1060011,Old Saybrook School District,7,Math,Female,53,45,39,38,51,30,58.50%,51.10%,61.50%,44.70%,68.60%,46.70%,86.20%,74.40%,80.30%,65.70%,88.00%,76.90%
1060011,Old Saybrook School District,7,Math,Male,52,51,46,53,41,37,71.20%,62.70%,60.90%,56.60%,70.70%,48.60%,86.60%,79.30%,76.20%,79.40%,83.50%,65.50%
1060011,Old Saybrook School District,8,ELA,Female,53,53,46,40,36,51,62.30%,47.20%,34.80%,50.00%,66.70%,37.30%,84.20%,60.40%,53.10%,67.70%,78.30%,52.00%
1060011,Old Saybrook School District,8,ELA,Male,64,51,49,53,37,44,53.10%,31.40%,32.70%,50.90%,32.40%,47.70%,66.80%,49.20%,46.20%,62.70%,60.30%,64.60%
1060011,Old Saybrook School District,8,Math,Female,51,54,46,40,36,50,29.40%,37.00%,41.30%,60.00%,38.90%,18.00%,39.80%,49.10%,55.40%,69.90%,49.90%,29.10%
1060011,Old Saybrook School District,8,Math,Male,64,51,49,52,36,43,28.10%,39.20%,24.50%,46.20%,30.60%,20.90%,45.70%,48.70%,38.80%,57.10%,43.00%,26.60%
1070011,Orange School District,4,ELA,Female,79,80,66,78,77,90,58.20%,57.50%,60.60%,60.30%,50.60%,50.00%,80.50%,77.60%,80.90%,85.30%,74.90%,72.70%
1070011,Orange School District,4,ELA,Male,79,90,76,88,89,68,58.20%,41.10%,47.40%,43.20%,48.30%,36.80%,84.90%,69.90%,71.00%,60.40%,69.50%,62.50%
1070011,Orange School District,4,Math,Female,80,80,65,78,77,89,38.80%,56.30%,60.00%,56.40%,55.80%,32.60%,68.10%,85.90%,86.80%,80.30%,81.30%,65.90%
1070011,Orange School District,4,Math,Male,78,90,76,88,89,68,42.30%,53.30%,50.00%,50.00%,55.10%,52.90%,76.60%,82.70%,79.90%,78.90%,78.20%,76.20%
1070011,Orange School District,5,ELA,Female,80,79,82,74,85,76,50.00%,54.40%,58.50%,60.80%,58.80%,60.50%,69.30%,76.60%,76.70%,77.50%,80.50%,83.80%
1070011,Orange School District,5,ELA,Male,79,84,91,80,92,91,50.60%,52.40%,44.00%,42.50%,50.00%,42.90%,74.50%,72.40%,71.10%,66.70%,73.00%,69.90%
1070011,Orange School District,5,Math,Female,81,79,82,73,85,76,46.90%,67.10%,57.30%,46.60%,45.90%,47.40%,71.90%,85.60%,77.20%,68.50%,67.70%,69.70%
1070011,Orange School District,5,Math,Male,80,84,91,78,92,90,52.50%,65.50%,39.60%,41.00%,46.70%,50.00%,71.70%,87.70%,57.10%,64.20%,69.60%,66.60%
1070011,Orange School District,6,ELA,Female,97,83,81,81,69,87,49.50%,69.90%,54.30%,60.50%,63.80%,54.00%,65.30%,82.30%,67.50%,78.00%,76.40%,68.90%
1070011,Orange School District,6,ELA,Male,95,83,87,94,86,93,56.80%,54.20%,46.00%,51.10%,48.80%,44.10%,71.90%,70.60%,64.90%,71.80%,66.10%,60.00%
1070011,Orange School District,6,Math,Female,98,83,81,81,69,87,53.10%,68.70%,51.90%,65.40%,69.60%,70.10%,76.40%,89.10%,74.40%,84.30%,89.50%,90.80%
1070011,Orange School District,6,Math,Male,97,83,87,94,86,93,63.90%,71.10%,58.60%,64.90%,69.80%,67.70%,79.00%,89.40%,76.00%,82.70%,86.10%,83.20%
1080011,Oxford School District,4,ELA,Female,73,76,61,68,45,50,39.70%,32.90%,57.40%,33.80%,46.70%,36.00%,61.30%,59.40%,79.00%,61.10%,70.50%,63.60%
1080011,Oxford School District,4,ELA,Male,74,69,65,54,60,62,41.90%,42.00%,33.80%,37.00%,50.00%,37.10%,63.40%,66.00%,68.40%,58.60%,71.10%,61.60%
1080011,Oxford School District,4,Math,Female,73,76,61,68,45,50,35.60%,46.10%,52.50%,41.20%,66.70%,58.00%,68.20%,72.70%,82.40%,79.80%,91.40%,87.90%
1080011,Oxford School District,4,Math,Male,74,69,64,54,60,62,47.30%,59.40%,51.60%,59.30%,70.00%,54.80%,75.30%,86.70%,77.30%,81.00%,90.10%,83.10%
1080011,Oxford School District,5,ELA,Female,85,77,76,65,62,47,43.50%,49.40%,40.80%,41.50%,66.10%,59.60%,66.30%,68.30%,62.50%,67.70%,84.40%,82.90%
1080011,Oxford School District,5,ELA,Male,81,70,70,66,59,64,42.00%,32.90%,32.90%,53.00%,57.60%,67.20%,63.70%,60.50%,51.10%,72.00%,81.70%,88.00%
1080011,Oxford School District,5,Math,Female,85,77,76,65,62,47,40.00%,35.10%,57.90%,55.40%,58.10%,55.30%,64.40%,63.00%,78.00%,77.80%,82.10%,72.10%
1080011,Oxford School District,5,Math,Male,80,70,70,65,58,64,50.00%,42.90%,48.60%,56.90%,74.10%,64.10%,72.10%,63.70%,77.00%,81.80%,89.40%,80.70%
1080011,Oxford School District,6,ELA,Female,84,87,78,78,53,65,26.20%,29.90%,37.20%,35.90%,32.10%,21.50%,38.10%,47.70%,57.80%,57.60%,48.90%,31.50%
1080011,Oxford School District,6,ELA,Male,63,79,73,69,67,63,19.00%,27.80%,39.70%,43.50%,29.90%,20.60%,34.10%,40.20%,55.50%,61.60%,41.80%,32.20%
1080011,Oxford School District,6,Math,Female,83,87,78,78,54,65,41.00%,26.40%,29.50%,12.80%,22.20%,12.30%,68.90%,48.20%,54.90%,28.50%,34.70%,26.90%
1080011,Oxford School District,6,Math,Male,64,79,73,69,65,62,40.60%,27.80%,19.20%,13.00%,21.50%,22.60%,66.30%,43.90%,37.90%,21.50%,36.20%,35.80%
1080011,Oxford School District,7,ELA,Female,79,84,87,76,66,53,53.20%,41.70%,46.00%,38.20%,28.80%,30.20%,69.90%,60.70%,67.60%,65.60%,45.90%,52.10%
1080011,Oxford School District,7,ELA,Male,78,69,79,73,58,67,43.60%,47.80%,48.10%,49.30%,24.10%,38.80%,60.90%,60.90%,72.50%,71.40%,48.50%,59.10%
1080011,Oxford School District,7,Math,Female,79,84,87,76,66,53,74.70%,22.60%,34.50%,44.70%,36.40%,39.60%,91.50%,40.80%,56.20%,64.40%,51.90%,57.80%
1080011,Oxford School District,7,Math,Male,78,68,79,73,58,66,64.10%,30.90%,46.80%,56.20%,51.70%,48.50%,83.30%,52.90%,67.50%,77.20%,71.80%,68.10%
1080011,Oxford School District,8,ELA,Female,73,79,84,86,63,67,46.60%,50.60%,39.30%,44.20%,28.60%,23.90%,64.50%,69.10%,54.40%,61.80%,47.70%,42.10%
1080011,Oxford School District,8,ELA,Male,86,77,65,78,65,61,33.70%,26.00%,35.40%,39.70%,32.30%,31.10%,48.20%,41.30%,49.30%,53.30%,53.90%,46.90%
1080011,Oxford School District,8,Math,Female,73,79,82,86,63,65,50.70%,34.20%,47.60%,38.40%,47.60%,18.50%,68.00%,49.40%,62.20%,58.20%,65.40%,38.20%
1080011,Oxford School District,8,Math,Male,86,77,64,78,64,60,37.20%,23.40%,28.10%,44.90%,37.50%,25.00%,50.70%,34.30%,42.40%,59.20%,57.00%,39.40%
2830013,Park City Prep Charter School District,4,ELA,Female,*,*,*,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*
2830013,Park City Prep Charter School District,4,ELA,Male,*,*,*,*,*,13,*,*,*,*,*,*,*,*,*,*,*,*
2830013,Park City Prep Charter School District,4,Math,Female,*,*,*,*,*,11,*,*,*,*,*,*,*,*,*,*,*,*
2830013,Park City Prep Charter School District,4,Math,Male,*,*,*,*,*,13,*,*,*,*,*,*,*,*,*,*,*,*
2830013,Park City Prep Charter School District,5,ELA,Female,40,39,49,51,34,31,57.50%,43.60%,32.70%,41.20%,61.80%,71.00%,80.90%,73.90%,59.30%,73.30%,88.50%,95.60%
2830013,Park City Prep Charter School District,5,ELA,Male,48,57,46,46,45,42,39.60%,33.30%,39.10%,43.50%,77.80%,57.10%,66.50%,65.20%,59.10%,72.40%,98.30%,73.70%
2830013,Park City Prep Charter School District,5,Math,Female,40,39,49,51,30,31,67.50%,56.40%,42.90%,70.60%,80.00%,71.00%,86.40%,77.30%,68.80%,94.70%,99.40%,92.00%
2830013,Park City Prep Charter School District,5,Math,Male,48,57,46,45,42,42,60.40%,50.90%,34.80%,68.90%,88.10%,59.50%,84.00%,78.50%,53.00%,94.60%,100.00%,75.30%
2830013,Park City Prep Charter School District,6,ELA,Female,44,38,37,43,40,36,29.50%,18.40%,27.00%,58.10%,60.00%,36.10%,57.40%,34.20%,45.00%,73.30%,77.30%,57.20%
2830013,Park City Prep Charter School District,6,ELA,Male,44,49,52,48,41,52,43.20%,24.50%,23.10%,37.50%,41.50%,25.00%,63.20%,44.60%,38.20%,60.20%,64.00%,44.60%
2830013,Park City Prep Charter School District,6,Math,Female,43,38,37,43,40,35,51.20%,2.60%,24.30%,55.80%,37.50%,34.30%,78.30%,21.90%,43.70%,72.40%,47.50%,64.00%
2830013,Park City Prep Charter School District,6,Math,Male,44,48,52,47,41,50,50.00%,10.40%,21.20%,61.70%,36.60%,38.00%,68.10%,26.30%,34.10%,81.10%,53.70%,61.80%
2830013,Park City Prep Charter School District,7,ELA,Female,38,43,36,34,40,40,63.20%,62.80%,66.70%,79.40%,65.00%,42.50%,90.50%,88.50%,87.90%,95.80%,85.50%,71.10%
2830013,Park City Prep Charter School District,7,ELA,Male,42,38,47,50,32,48,54.80%,44.70%,44.70%,70.00%,56.30%,60.40%,72.40%,65.30%,73.70%,88.70%,72.00%,83.00%
2830013,Park City Prep Charter School District,7,Math,Female,38,42,36,32,40,36,52.60%,45.20%,69.40%,75.00%,62.50%,66.70%,76.90%,74.20%,84.30%,88.20%,77.70%,83.90%
2830013,Park City Prep Charter School District,7,Math,Male,42,37,46,50,31,46,42.90%,45.90%,71.70%,58.00%,58.10%,73.90%,61.50%,67.30%,90.90%,81.50%,79.80%,88.70%
2830013,Park City Prep Charter School District,8,ELA,Female,49,37,42,33,44,44,51.00%,35.10%,16.70%,63.60%,43.20%,36.40%,70.90%,49.50%,31.30%,85.40%,61.10%,50.20%
2830013,Park City Prep Charter School District,8,ELA,Male,32,38,34,41,34,33,31.30%,18.40%,26.50%,39.00%,52.90%,27.30%,67.80%,37.30%,44.20%,60.50%,69.50%,42.70%
2830013,Park City Prep Charter School District,8,Math,Female,49,36,41,32,35,43,69.40%,36.10%,61.00%,68.80%,65.70%,51.20%,83.00%,56.30%,77.40%,76.00%,83.20%,70.60%
2830013,Park City Prep Charter School District,8,Math,Male,32,38,33,41,31,33,65.60%,13.20%,54.50%,41.50%,45.20%,39.40%,77.30%,26.80%,70.70%,55.80%,64.40%,54.00%
1090011,Plainfield School District,4,ELA,Female,80,81,70,72,69,66,43.80%,34.60%,31.40%,43.10%,29.00%,47.00%,68.20%,58.40%,55.30%,66.60%,55.90%,76.30%
1090011,Plainfield School District,4,ELA,Male,78,79,79,64,80,56,33.30%,36.70%,36.70%,21.90%,31.30%,55.40%,60.30%,55.30%,62.30%,52.50%,55.00%,78.00%
1090011,Plainfield School District,4,Math,Female,80,81,70,72,68,66,32.50%,23.50%,38.60%,41.70%,48.50%,66.70%,73.10%,49.60%,68.80%,71.40%,75.10%,92.00%
1090011,Plainfield School District,4,Math,Male,78,79,79,64,80,56,42.30%,38.00%,41.80%,29.70%,46.30%,67.90%,69.70%,61.80%,67.00%,69.30%,77.20%,97.60%
1090011,Plainfield School District,5,ELA,Female,71,81,81,73,69,69,32.40%,35.80%,39.50%,41.10%,42.00%,76.80%,60.10%,60.30%,58.00%,71.00%,75.10%,95.40%
1090011,Plainfield School District,5,ELA,Male,79,80,80,80,61,77,39.20%,36.30%,37.50%,41.30%,59.00%,61.00%,60.00%,65.20%,61.20%,65.90%,77.00%,82.70%
1090011,Plainfield School District,5,Math,Female,72,81,81,73,69,69,40.30%,46.90%,50.60%,49.30%,58.00%,49.30%,65.30%,64.50%,71.60%,70.10%,81.40%,72.40%
1090011,Plainfield School District,5,Math,Male,79,80,80,80,62,77,39.20%,46.30%,43.80%,40.00%,54.80%,50.60%,66.30%,73.20%,60.90%,60.30%,74.40%,68.50%
1090011,Plainfield School District,6,ELA,Female,71,79,81,81,63,62,66.20%,62.00%,60.50%,53.10%,38.10%,30.60%,90.90%,81.10%,78.10%,77.40%,57.60%,47.70%
1090011,Plainfield School District,6,ELA,Male,79,73,84,78,69,61,62.00%,56.20%,41.70%,61.50%,36.20%,27.90%,85.10%,78.40%,61.20%,76.60%,56.70%,41.50%
1090011,Plainfield School District,6,Math,Female,71,79,81,82,63,62,73.20%,62.00%,53.10%,43.90%,39.70%,38.70%,93.50%,83.00%,79.30%,64.20%,65.60%,62.40%
1090011,Plainfield School District,6,Math,Male,79,73,84,78,69,61,72.20%,54.80%,36.90%,50.00%,53.60%,50.80%,93.70%,74.60%,57.00%,71.40%,75.60%,69.50%
1090011,Plainfield School District,7,ELA,Female,85,71,79,78,70,68,54.10%,26.80%,27.80%,33.30%,52.90%,35.30%,72.40%,40.30%,45.80%,45.50%,71.00%,64.00%
1090011,Plainfield School District,7,ELA,Male,86,78,73,79,64,74,46.50%,19.20%,24.70%,32.90%,46.90%,39.20%,68.30%,31.60%,37.60%,50.70%,71.70%,60.40%
1090011,Plainfield School District,7,Math,Female,85,71,79,78,68,67,56.50%,35.20%,16.50%,29.50%,25.00%,32.80%,77.70%,49.20%,30.60%,50.20%,44.50%,59.90%
1090011,Plainfield School District,7,Math,Male,85,78,73,79,65,74,56.50%,26.90%,21.90%,36.70%,26.20%,41.90%,76.40%,41.40%,33.40%,52.40%,44.30%,59.80%
