"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, Gender",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0020011,Ansonia School District,5,ELA,Male,80,83,88,85,73,86,26.30%,15.70%,39.80%,18.80%,34.20%,17.40%,55.20%,41.50%,67.00%,38.90%,63.30%,44.10%
0020011,Ansonia School District,5,Math,Female,91,71,79,68,84,88,15.40%,18.30%,24.10%,30.90%,48.80%,31.80%,33.70%,39.00%,49.30%,55.10%,72.60%,54.50%
0020011,Ansonia School District,5,Math,Male,80,84,88,85,73,86,31.30%,14.30%,36.40%,25.90%,37.00%,29.10%,48.40%,36.30%,57.40%,45.70%,58.50%,53.30%
0020011,Ansonia School District,6,ELA,Female,86,83,75,88,71,89,37.20%,39.80%,41.30%,30.70%,28.20%,21.30%,60.40%,63.40%,64.20%,47.80%,53.90%,47.10%
0020011,Ansonia School District,6,ELA,Male,74,79,80,85,75,82,47.30%,39.20%,25.00%,28.20%,33.30%,20.70%,66.50%,61.00%,47.00%,44.40%,50.30%,39.70%
0020011,Ansonia School District,6,Math,Female,86,83,74,88,70,89,62.80%,50.60%,58.10%,44.30%,15.70%,25.80%,85.90%,75.20%,82.80%,65.80%,32.10%,42.20%
0020011,Ansonia School District,6,Math,Male,74,78,81,85,71,82,59.50%,43.60%,51.90%,47.10%,23.90%,29.30%,75.40%,66.40%,71.70%,62.10%,41.10%,45.40%
0020011,Ansonia School District,7,ELA,Female,61,89,82,72,60,75,16.40%,42.70%,24.40%,36.10%,15.00%,22.70%,34.90%,59.60%,41.80%,52.90%,37.40%,45.20%
0020011,Ansonia School District,7,ELA,Male,87,77,77,84,72,87,20.70%,31.20%,15.60%,35.70%,26.40%,23.00%,44.70%,51.00%,32.50%,58.70%,43.90%,45.00%
0020011,Ansonia School District,7,Math,Female,61,87,81,72,59,72,21.30%,23.00%,22.20%,22.20%,15.30%,38.90%,41.70%,43.20%,40.80%,37.70%,31.60%,54.10%
0020011,Ansonia School District,7,Math,Male,87,76,77,83,71,84,32.20%,22.40%,29.90%,27.70%,33.80%,40.50%,54.30%,40.90%,51.30%,44.30%,53.50%,60.20%
0020011,Ansonia School District,8,ELA,Female,91,63,95,77,59,74,31.90%,22.20%,22.10%,26.00%,40.70%,16.20%,50.40%,46.30%,41.50%,47.70%,59.30%,35.40%
0020011,Ansonia School District,8,ELA,Male,79,87,80,79,56,82,29.10%,32.20%,38.80%,29.10%,32.10%,28.00%,45.10%,53.80%,54.70%,52.80%,59.10%,46.80%
0020011,Ansonia School District,8,Math,Female,90,61,93,77,55,73,33.30%,19.70%,43.00%,26.00%,21.80%,16.40%,54.70%,32.70%,62.40%,36.30%,35.30%,32.80%
0020011,Ansonia School District,8,Math,Male,79,86,80,79,53,79,41.80%,12.80%,41.30%,24.10%,17.00%,15.20%,53.70%,25.30%,58.60%,32.30%,32.70%,29.50%
2440014,Area Cooperative Educational Services,4,ELA,Female,39,42,38,40,27,32,33.30%,40.50%,28.90%,20.00%,14.80%,25.00%,61.70%,61.40%,58.90%,45.10%,38.40%,55.20%
2440014,Area Cooperative Educational Services,4,ELA,Male,55,43,50,40,47,36,25.50%,14.00%,12.00%,22.50%,17.00%,27.80%,44.50%,39.20%,41.40%,43.50%,38.60%,62.70%
2440014,Area Cooperative Educational Services,4,Math,Female,39,42,38,40,26,32,23.10%,23.80%,26.30%,30.00%,19.20%,40.60%,57.80%,52.50%,54.30%,60.50%,43.40%,67.70%
2440014,Area Cooperative Educational Services,4,Math,Male,55,41,50,38,45,35,16.40%,22.00%,20.00%,23.70%,15.60%,31.40%,50.30%,39.40%,49.50%,53.50%,40.50%,52.10%
2440014,Area Cooperative Educational Services,5,ELA,Female,30,34,44,36,39,28,33.30%,20.60%,34.10%,33.30%,38.50%,25.00%,70.70%,45.70%,57.20%,54.40%,60.50%,37.10%
2440014,Area Cooperative Educational Services,5,ELA,Male,59,59,46,48,36,52,18.60%,28.80%,19.60%,18.80%,33.30%,21.20%,48.30%,62.30%,45.10%,42.70%,48.30%,43.60%
2440014,Area Cooperative Educational Services,5,Math,Female,30,33,43,36,37,28,26.70%,18.20%,20.90%,2.80%,24.30%,21.40%,47.70%,32.60%,48.10%,36.40%,41.40%,37.20%
2440014,Area Cooperative Educational Services,5,Math,Male,58,58,45,46,36,49,29.30%,15.50%,31.10%,17.40%,27.80%,24.50%,49.50%,35.40%,51.30%,48.70%,40.20%,52.90%
2440014,Area Cooperative Educational Services,6,ELA,Female,148,155,146,156,135,121,27.00%,34.20%,39.70%,41.00%,36.30%,34.70%,44.20%,53.50%,57.30%,59.80%,56.20%,53.70%
2440014,Area Cooperative Educational Services,6,ELA,Male,174,159,170,158,162,115,25.90%,33.30%,28.20%,27.20%,37.00%,32.20%,45.00%,52.50%,47.60%,45.70%,57.10%,45.90%
2440014,Area Cooperative Educational Services,6,Math,Female,148,154,145,155,135,120,27.70%,43.50%,48.30%,47.70%,32.60%,33.30%,46.20%,64.70%,68.10%,64.00%,51.40%,53.60%
2440014,Area Cooperative Educational Services,6,Math,Male,176,158,169,157,153,115,28.40%,35.40%,36.70%,36.90%,38.60%,40.00%,46.00%,54.70%,57.50%,55.50%,54.80%,56.60%
2440014,Area Cooperative Educational Services,7,ELA,Female,164,152,143,145,120,144,40.20%,43.40%,39.20%,46.20%,31.70%,38.20%,62.60%,65.60%,64.40%,66.20%,53.90%,57.20%
2440014,Area Cooperative Educational Services,7,ELA,Male,155,179,151,168,140,165,29.70%,39.10%,37.10%,41.10%,35.70%,19.40%,50.10%,60.90%,54.30%,63.80%,52.40%,39.90%
2440014,Area Cooperative Educational Services,7,Math,Female,164,152,143,144,115,143,56.70%,44.10%,40.60%,28.50%,28.70%,32.20%,76.90%,66.00%,58.90%,48.80%,50.20%,52.00%
2440014,Area Cooperative Educational Services,7,Math,Male,151,179,151,161,133,162,48.30%,52.50%,37.70%,37.30%,37.60%,38.30%,69.50%,69.90%,56.70%,54.20%,56.70%,56.20%
2440014,Area Cooperative Educational Services,8,ELA,Female,131,164,144,139,119,129,34.40%,38.40%,41.00%,30.20%,28.60%,26.40%,53.20%,56.80%,60.60%,47.50%,46.10%,40.60%
2440014,Area Cooperative Educational Services,8,ELA,Male,168,146,175,149,116,161,32.10%,32.90%,36.60%,28.90%,34.50%,23.00%,51.50%,53.70%,52.80%,43.80%,50.40%,41.40%
2440014,Area Cooperative Educational Services,8,Math,Female,131,163,144,138,110,127,38.90%,38.70%,35.40%,53.60%,28.20%,31.50%,55.90%,55.20%,56.90%,69.10%,43.10%,50.10%
2440014,Area Cooperative Educational Services,8,Math,Male,167,144,175,145,105,157,30.50%,30.60%,28.00%,42.10%,27.60%,24.20%,45.50%,45.60%,47.40%,57.70%,42.80%,38.70%
0030011,Ashford School District,4,ELA,Female,21,14,23,16,14,16,33.30%,*,39.10%,*,*,*,54.20%,*,61.10%,*,*,*
0030011,Ashford School District,4,ELA,Male,20,15,16,23,22,26,45.00%,*,*,47.80%,36.40%,38.50%,67.80%,*,*,63.50%,56.70%,57.70%
0030011,Ashford School District,4,Math,Female,21,14,23,16,14,15,61.90%,*,13.00%,*,*,*,87.60%,*,39.80%,*,*,*
0030011,Ashford School District,4,Math,Male,19,15,16,23,22,26,*,*,*,26.10%,50.00%,38.50%,*,*,*,51.20%,74.30%,53.50%
0030011,Ashford School District,5,ELA,Female,26,22,14,23,13,15,46.20%,45.50%,*,56.50%,*,*,64.30%,74.70%,*,82.10%,*,*
0030011,Ashford School District,5,ELA,Male,11,20,15,17,14,23,*,25.00%,*,*,*,43.50%,*,39.20%,*,*,*,64.00%
0030011,Ashford School District,5,Math,Female,26,22,14,23,13,15,0.00%,4.50%,*,39.10%,*,*,8.80%,8.60%,*,57.60%,*,*
0030011,Ashford School District,5,Math,Male,11,20,15,17,14,23,*,25.00%,*,*,*,34.80%,*,36.70%,*,*,*,53.60%
0030011,Ashford School District,6,ELA,Female,15,26,20,13,16,14,*,65.40%,45.00%,*,*,*,*,79.50%,62.40%,*,*,*
0030011,Ashford School District,6,ELA,Male,21,11,18,16,15,15,38.10%,*,*,*,*,*,54.50%,*,*,*,*,*
0030011,Ashford School District,6,Math,Female,15,26,20,12,16,14,*,46.20%,75.00%,*,*,*,*,70.70%,96.60%,*,*,*
0030011,Ashford School District,6,Math,Male,21,11,18,16,14,15,19.00%,*,*,*,*,*,44.40%,*,*,*,*,*
0030011,Ashford School District,7,ELA,Female,23,15,28,21,15,16,52.20%,*,39.30%,28.60%,*,*,77.90%,*,49.80%,52.70%,*,*
0030011,Ashford School District,7,ELA,Male,24,21,12,18,17,18,33.30%,28.60%,*,*,*,*,49.90%,36.70%,*,*,*,*
0030011,Ashford School District,7,Math,Female,23,15,28,21,15,16,78.30%,*,64.30%,42.90%,*,*,88.40%,*,71.70%,54.80%,*,*
0030011,Ashford School District,7,Math,Male,23,21,12,18,17,18,73.90%,71.40%,*,*,*,*,93.20%,84.80%,*,*,*,*
0030011,Ashford School District,8,ELA,Female,12,26,15,28,17,14,*,19.20%,*,32.10%,*,*,*,36.60%,*,47.60%,*,*
0030011,Ashford School District,8,ELA,Male,22,25,23,14,21,14,40.90%,40.00%,39.10%,*,23.80%,*,65.70%,62.00%,65.10%,*,52.40%,*
0030011,Ashford School District,8,Math,Female,12,26,15,28,17,14,*,30.80%,*,39.30%,*,*,*,42.90%,*,47.30%,*,*
0030011,Ashford School District,8,Math,Male,22,25,23,14,21,13,54.50%,32.00%,39.10%,*,38.10%,*,63.90%,46.80%,54.80%,*,61.10%,*
0040011,Avon School District,4,ELA,Female,101,116,120,118,101,114,54.50%,50.90%,58.30%,52.50%,43.60%,48.20%,71.90%,69.80%,73.80%,74.40%,67.00%,72.10%
0040011,Avon School District,4,ELA,Male,100,117,98,122,86,108,52.00%,44.40%,45.90%,50.00%,40.70%,39.80%,73.20%,64.70%,69.20%,65.80%,64.40%,58.50%
0040011,Avon School District,4,Math,Female,102,116,120,118,101,114,34.30%,27.60%,44.20%,36.40%,44.60%,36.00%,59.80%,60.50%,68.60%,68.30%,66.50%,67.30%
0040011,Avon School District,4,Math,Male,102,117,97,122,86,108,53.90%,55.60%,55.70%,49.20%,44.20%,39.80%,76.50%,75.90%,74.40%,75.00%,73.20%,69.60%
0040011,Avon School District,5,ELA,Female,135,105,125,119,131,100,53.30%,52.40%,48.80%,53.80%,54.20%,41.00%,74.20%,69.00%,70.20%,67.30%,73.00%,57.60%
0040011,Avon School District,5,ELA,Male,121,100,126,97,100,91,53.70%,56.00%,57.90%,49.50%,45.00%,25.30%,71.90%,73.80%,75.10%,70.40%,64.00%,47.00%
0040011,Avon School District,5,Math,Female,137,105,125,119,131,100,35.00%,41.00%,41.60%,48.70%,53.40%,35.00%,57.20%,62.10%,63.50%,66.40%,69.80%,56.50%
0040011,Avon School District,5,Math,Male,121,99,126,97,100,91,46.30%,57.60%,43.70%,54.60%,46.00%,41.80%,63.00%,72.70%,62.10%,71.70%,62.20%,60.60%
0040011,Avon School District,6,ELA,Female,122,133,113,128,111,141,72.10%,52.60%,50.40%,54.70%,38.70%,52.50%,84.90%,71.40%,67.00%,75.10%,55.80%,68.70%
0040011,Avon School District,6,ELA,Male,136,130,101,125,112,104,55.10%,39.20%,61.40%,56.00%,36.60%,42.30%,75.90%,59.20%,74.80%,71.30%,52.10%,60.70%
0040011,Avon School District,6,Math,Female,122,133,113,127,110,141,73.80%,52.60%,66.40%,63.00%,65.50%,63.80%,93.50%,72.80%,85.40%,82.40%,80.60%,77.70%
0040011,Avon School District,6,Math,Male,136,130,101,125,112,104,65.40%,49.20%,68.30%,62.40%,51.80%,60.60%,83.90%,67.20%,84.20%,81.20%,70.00%,79.90%
0040011,Avon School District,7,ELA,Female,107,125,130,122,129,112,58.90%,44.80%,46.20%,58.20%,48.10%,45.50%,73.40%,58.10%,65.40%,76.30%,62.90%,61.60%
0040011,Avon School District,7,ELA,Male,149,140,132,99,127,117,59.10%,38.60%,53.00%,53.50%,44.10%,45.30%,76.90%,56.00%,70.30%,69.50%,61.30%,61.60%
