"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0080011,Bethany School District,ELA,Non-Special Education,143,135,138,129,120,145,52.40%,45.90%,51.40%,58.90%,53.30%,60.70%,70.60%,63.80%,72.90%,76.50%,74.20%,76.80%
0080011,Bethany School District,Math,Special Education,24,22,23,22,15,17,50.00%,36.40%,47.80%,36.40%,*,*,72.40%,53.00%,69.20%,62.70%,*,*
0080011,Bethany School District,Math,Non-Special Education,143,135,137,129,119,144,56.60%,46.70%,47.40%,62.80%,63.00%,57.60%,79.70%,63.70%,70.90%,81.00%,82.70%,81.40%
0090011,Bethel School District,ELA,Special Education,102,122,109,124,149,163,39.20%,26.20%,32.10%,21.00%,24.20%,29.40%,61.30%,47.50%,56.30%,45.00%,45.50%,51.80%
0090011,Bethel School District,ELA,Non-Special Education,907,965,989,1012,995,983,52.60%,37.10%,45.40%,43.50%,41.90%,39.90%,71.90%,56.70%,65.40%,64.20%,61.20%,60.20%
0090011,Bethel School District,Math,Special Education,102,121,107,123,145,159,47.10%,30.60%,38.30%,24.40%,40.00%,36.50%,69.30%,51.50%,58.30%,50.30%,59.40%,53.70%
0090011,Bethel School District,Math,Non-Special Education,907,962,988,1012,977,968,60.00%,42.50%,51.60%,47.00%,56.40%,51.50%,80.90%,64.00%,74.40%,66.70%,75.60%,71.10%
0110011,Bloomfield School District,ELA,Special Education,83,106,113,127,130,128,26.50%,14.20%,20.40%,26.00%,32.30%,20.30%,57.30%,34.50%,48.40%,45.80%,53.40%,47.10%
0110011,Bloomfield School District,ELA,Non-Special Education,480,517,505,514,451,484,38.10%,35.60%,32.90%,36.80%,41.00%,27.70%,60.80%,54.10%,54.10%,57.70%,62.80%,45.20%
0110011,Bloomfield School District,Math,Special Education,83,105,111,124,128,125,31.30%,25.70%,37.80%,21.80%,31.30%,35.20%,51.60%,44.40%,57.90%,39.80%,52.60%,53.50%
0110011,Bloomfield School District,Math,Non-Special Education,482,518,506,515,452,482,45.40%,33.20%,41.30%,37.70%,45.10%,32.40%,67.80%,52.40%,60.80%,59.20%,65.80%,51.40%
0120011,Bolton School District,ELA,Special Education,35,27,30,26,31,33,25.70%,29.60%,26.70%,26.90%,22.60%,21.20%,51.80%,48.50%,51.30%,55.60%,45.00%,52.30%
0120011,Bolton School District,ELA,Non-Special Education,254,264,269,268,222,229,59.80%,36.70%,49.80%,41.00%,41.40%,39.30%,78.50%,52.40%,70.80%,59.20%,62.80%,58.00%
0120011,Bolton School District,Math,Special Education,35,27,30,25,30,32,54.30%,7.40%,46.70%,16.00%,36.70%,37.50%,75.50%,28.70%,74.80%,40.00%,59.50%,57.10%
0120011,Bolton School District,Math,Non-Special Education,254,264,269,268,221,226,50.00%,40.50%,63.90%,44.40%,52.50%,42.90%,70.30%,60.80%,81.60%,63.20%,72.20%,62.60%
2950013,Booker T. Washington Academy District,ELA,Special Education,*,*,*,*,15,22,*,*,*,*,*,27.30%,*,*,*,*,*,46.10%
2950013,Booker T. Washington Academy District,ELA,Non-Special Education,*,*,28,*,209,185,*,*,21.40%,23.00%,27.30%,36.80%,*,*,50.20%,42.60%,52.50%,61.00%
2950013,Booker T. Washington Academy District,Math,Special Education,*,*,*,*,15,22,*,*,*,*,*,27.30%,*,*,*,*,*,42.30%
2950013,Booker T. Washington Academy District,Math,Non-Special Education,*,*,28,*,209,184,*,*,7.10%,9.80%,36.40%,41.80%,*,*,20.30%,41.00%,64.50%,61.00%
0130011,Bozrah School District,ELA,Special Education,17,15,16,17,21,11,*,*,*,*,14.30%,*,*,*,*,*,37.20%,*
0130011,Bozrah School District,ELA,Non-Special Education,90,96,93,92,65,69,45.60%,39.60%,48.40%,35.90%,33.80%,58.00%,66.40%,63.60%,65.80%,54.60%,53.40%,79.60%
0130011,Bozrah School District,Math,Special Education,17,15,16,17,21,11,*,*,*,*,42.90%,*,*,*,*,*,57.40%,*
0130011,Bozrah School District,Math,Non-Special Education,90,96,93,92,65,69,47.80%,39.60%,46.20%,40.20%,52.30%,66.70%,75.50%,62.00%,66.00%,64.90%,78.50%,84.10%
0140011,Branford School District,ELA,Special Education,122,123,113,116,123,143,33.60%,23.60%,23.00%,30.20%,28.50%,32.90%,56.70%,44.70%,44.20%,53.00%,48.30%,56.50%
0140011,Branford School District,ELA,Non-Special Education,925,912,917,894,756,775,45.20%,38.90%,32.80%,45.40%,41.30%,39.90%,63.70%,56.40%,50.10%,64.90%,60.60%,57.60%
0140011,Branford School District,Math,Special Education,120,123,113,116,120,140,36.70%,19.50%,24.80%,26.70%,27.50%,33.60%,57.90%,37.20%,46.60%,43.90%,46.60%,55.50%
0140011,Branford School District,Math,Non-Special Education,926,910,916,891,755,776,42.30%,42.20%,42.70%,43.50%,45.60%,46.10%,63.70%,62.60%,63.10%,62.70%,66.00%,66.40%
2900013,Brass City Charter School District,ELA,Special Education,*,6,9,16,27,27,*,*,*,*,37.00%,29.60%,*,*,*,*,61.90%,62.00%
2900013,Brass City Charter School District,ELA,Non-Special Education,*,32,62,84,133,133,*,28.10%,50.00%,39.30%,48.90%,33.10%,*,49.70%,68.20%,52.80%,71.50%,54.20%
2900013,Brass City Charter School District,Math,Special Education,*,6,9,16,27,27,*,*,*,*,55.60%,37.00%,*,*,*,*,77.40%,50.90%
2900013,Brass City Charter School District,Math,Non-Special Education,*,32,62,84,133,133,*,12.50%,58.10%,31.00%,55.60%,26.30%,*,21.90%,79.00%,55.50%,76.80%,44.00%
0150011,Bridgeport School District,ELA,Special Education,945,1038,1123,1216,1033,1189,23.10%,18.30%,26.80%,23.80%,25.20%,20.90%,45.90%,42.10%,50.40%,47.10%,49.50%,44.40%
