"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2860013,Highville Charter School District,Math,Female,95,90,79,88,71,85,48.40%,38.90%,20.30%,25.00%,28.20%,27.10%,67.40%,59.90%,40.60%,50.50%,49.70%,47.20%
2640013,Integrated Day Charter School District,ELA,Male,80,77,80,79,92,94,36.30%,46.80%,30.00%,35.40%,47.80%,30.90%,56.70%,66.20%,53.00%,50.20%,69.70%,57.70%
2640013,Integrated Day Charter School District,ELA,Female,77,77,78,85,84,91,27.30%,44.20%,43.60%,34.10%,47.60%,44.00%,48.00%,63.30%,60.50%,54.90%,69.50%,64.50%
2640013,Integrated Day Charter School District,Math,Male,79,74,78,79,91,93,40.50%,39.20%,26.90%,44.30%,40.70%,36.60%,60.60%,56.60%,50.50%,67.20%,64.40%,57.20%
2640013,Integrated Day Charter School District,Math,Female,75,75,77,85,80,91,45.30%,37.30%,26.00%,42.40%,40.00%,30.80%,69.20%,59.70%,46.50%,65.50%,65.00%,53.20%
2650013,Interdistrict School for Arts and Comm District,ELA,Male,129,123,115,123,124,117,33.30%,26.80%,21.70%,27.60%,35.50%,39.30%,48.30%,44.90%,39.30%,49.70%,57.50%,56.60%
2650013,Interdistrict School for Arts and Comm District,ELA,Female,125,128,131,128,129,143,32.00%,26.60%,28.20%,34.40%,39.50%,39.20%,46.60%,42.70%,45.90%,51.10%,59.40%,62.20%
2650013,Interdistrict School for Arts and Comm District,Math,Male,128,123,116,123,122,115,17.20%,32.50%,16.40%,26.80%,42.60%,48.70%,30.90%,49.80%,32.90%,45.50%,62.50%,67.00%
2650013,Interdistrict School for Arts and Comm District,Math,Female,124,128,129,128,123,140,20.20%,25.80%,26.40%,25.80%,40.70%,50.70%,35.10%,40.40%,43.50%,41.80%,61.80%,72.00%
2610013,Jumoke Academy District,ELA,Male,144,150,152,159,129,106,29.20%,23.30%,30.30%,30.20%,30.20%,21.70%,47.50%,45.80%,50.50%,48.30%,48.30%,46.00%
2610013,Jumoke Academy District,ELA,Female,181,165,178,163,148,136,39.20%,27.90%,38.80%,24.50%,23.60%,35.30%,60.10%,51.70%,58.50%,48.30%,44.10%,55.60%
2610013,Jumoke Academy District,Math,Male,145,150,149,159,127,106,31.70%,26.70%,28.90%,22.60%,37.80%,27.40%,54.80%,47.60%,50.50%,44.30%,53.30%,50.00%
2610013,Jumoke Academy District,Math,Female,181,165,176,159,143,136,38.10%,37.00%,36.90%,25.80%,39.20%,22.80%,56.40%,57.80%,59.10%,44.30%,59.60%,44.50%
0680011,Kent School District,ELA,Male,71,66,67,59,53,44,46.50%,53.00%,41.80%,54.20%,24.50%,56.80%,57.60%,69.70%,57.80%,71.50%,39.90%,68.70%
0680011,Kent School District,ELA,Female,55,61,59,45,45,39,49.10%,59.00%,52.50%,62.20%,44.40%,61.50%,69.30%,77.40%,66.70%,74.00%,59.20%,71.00%
0680011,Kent School District,Math,Male,71,66,66,59,53,44,53.50%,40.90%,40.90%,54.20%,41.50%,54.50%,68.80%,61.50%,64.00%,71.80%,56.10%,70.60%
0680011,Kent School District,Math,Female,55,61,59,45,45,39,50.90%,41.00%,45.80%,46.70%,55.60%,41.00%,71.70%,62.30%,64.20%,64.30%,83.10%,62.60%
0690011,Killingly School District,ELA,Male,380,364,374,376,336,384,47.60%,26.40%,36.60%,43.60%,39.60%,35.20%,70.40%,46.30%,57.90%,62.20%,63.10%,57.90%
0690011,Killingly School District,ELA,Female,393,400,402,388,340,370,49.60%,33.00%,41.00%,42.50%,35.30%,39.50%,69.70%,52.10%,62.50%,63.50%,62.60%,61.10%
0690011,Killingly School District,Math,Male,380,363,373,375,319,378,39.20%,22.90%,39.90%,37.30%,48.00%,31.50%,63.00%,41.00%,61.70%,55.80%,65.90%,50.40%
0690011,Killingly School District,Math,Female,391,397,402,384,327,368,41.70%,23.70%,43.00%,33.60%,41.90%,32.10%,64.30%,43.70%,65.60%,56.20%,62.80%,55.70%
2450014,Learn,ELA,Male,143,163,197,216,76,85,44.80%,33.10%,36.50%,34.30%,32.90%,30.60%,68.80%,51.50%,62.70%,63.30%,64.10%,59.50%
2450014,Learn,ELA,Female,153,155,189,216,76,83,45.80%,33.50%,44.40%,38.00%,42.10%,36.10%,72.90%,54.50%,67.10%,62.20%,69.10%,56.80%
2450014,Learn,Math,Male,146,161,198,215,72,84,43.80%,29.80%,32.80%,38.10%,58.30%,19.00%,66.30%,54.60%,57.00%,59.80%,81.80%,42.50%
2450014,Learn,Math,Female,154,154,187,216,74,82,39.00%,35.10%,29.40%,44.90%,47.30%,19.50%,64.60%,64.20%,54.50%,67.80%,73.10%,43.70%
0710011,Lebanon School District,ELA,Male,175,180,170,175,173,162,46.30%,31.10%,39.40%,37.10%,42.20%,30.90%,63.40%,47.00%,58.10%,53.60%,59.80%,45.10%
0710011,Lebanon School District,ELA,Female,162,162,151,164,139,146,54.90%,33.30%,38.40%,34.10%,51.80%,33.60%,71.10%,49.60%,60.30%,49.10%,68.50%,49.30%
0710011,Lebanon School District,Math,Male,174,179,170,175,172,162,39.70%,40.80%,38.20%,39.40%,58.10%,47.50%,61.60%,59.30%,57.00%,61.70%,78.40%,65.00%
0710011,Lebanon School District,Math,Female,159,161,148,162,136,144,44.00%,36.60%,39.20%,50.60%,57.40%,50.70%,69.60%,56.70%,62.90%,67.80%,77.20%,66.40%
0720011,Ledyard School District,ELA,Male,422,427,426,431,409,424,39.30%,30.00%,35.00%,28.10%,37.90%,29.00%,59.20%,49.20%,53.50%,47.90%,59.70%,47.90%
0720011,Ledyard School District,ELA,Female,354,370,386,386,404,417,45.50%,33.50%,40.90%,36.50%,39.60%,32.90%,65.50%,51.40%,61.20%,59.20%,61.30%,51.10%
0720011,Ledyard School District,Math,Male,423,423,423,430,406,424,47.00%,35.70%,48.50%,35.10%,51.50%,38.40%,67.10%,53.80%,69.20%,57.60%,69.70%,58.40%
0720011,Ledyard School District,Math,Female,355,370,385,385,398,416,49.00%,37.00%,51.70%,44.20%,45.00%,37.50%,73.70%,59.60%,70.30%,63.50%,67.00%,58.40%
0730011,Lisbon School District,ELA,Male,103,90,92,94,94,93,35.90%,33.30%,35.90%,27.70%,37.20%,37.60%,58.80%,49.60%,59.60%,47.60%,57.20%,53.80%
0730011,Lisbon School District,ELA,Female,100,122,112,112,108,100,38.00%,34.40%,50.90%,44.60%,44.40%,50.00%,55.60%,52.30%,71.60%,61.40%,68.00%,70.60%
0730011,Lisbon School District,Math,Male,103,90,92,92,93,93,44.70%,42.20%,34.80%,39.10%,67.70%,61.30%,70.10%,63.60%,50.80%,65.90%,83.60%,81.70%
0730011,Lisbon School District,Math,Female,100,122,112,111,108,99,41.00%,34.40%,39.30%,36.00%,75.90%,51.50%,66.10%,55.20%,60.20%,58.00%,94.60%,73.20%
0740011,Litchfield School District,ELA,Male,189,174,162,173,159,153,60.30%,35.10%,43.20%,43.40%,32.10%,48.40%,79.20%,55.90%,61.00%,61.70%,48.60%,68.50%
0740011,Litchfield School District,ELA,Female,183,162,151,136,142,144,53.00%,45.10%,51.70%,49.30%,44.40%,45.80%,71.60%,61.20%,68.90%,64.50%,60.70%,63.20%
0740011,Litchfield School District,Math,Male,189,174,162,173,158,153,59.80%,52.90%,52.50%,50.90%,50.60%,56.20%,77.40%,70.70%,69.90%,73.20%,65.70%,74.60%
0740011,Litchfield School District,Math,Female,183,162,151,136,142,144,54.60%,50.00%,51.70%,47.80%,52.80%,60.40%,71.90%,69.40%,71.30%,70.70%,70.60%,76.30%
0760011,Madison School District,ELA,Male,520,504,470,433,425,425,34.40%,32.50%,32.60%,34.60%,44.00%,49.40%,51.90%,47.70%,49.90%,54.80%,61.50%,68.10%
0760011,Madison School District,ELA,Female,444,378,358,371,387,382,40.50%,34.10%,38.00%,43.40%,47.00%,45.80%,57.70%,53.00%,56.40%,61.10%,66.10%,64.90%
0760011,Madison School District,Math,Male,517,494,464,433,425,425,40.20%,42.70%,45.70%,46.20%,55.50%,64.90%,58.60%,59.80%,62.60%,63.80%,71.50%,82.90%
0760011,Madison School District,Math,Female,445,374,356,368,387,382,42.20%,42.50%,43.30%,43.80%,53.50%,57.60%,60.40%,64.80%,61.30%,61.70%,72.60%,76.70%
0770011,Manchester School District,ELA,Male,1011,1045,1039,1045,855,1024,30.80%,24.30%,28.90%,25.00%,27.60%,25.80%,53.50%,44.00%,49.60%,47.10%,50.10%,45.90%
0770011,Manchester School District,ELA,Female,951,966,1002,957,819,930,39.40%,27.70%,29.90%,30.70%,31.40%,31.40%,61.30%,47.40%,51.40%,53.30%,51.60%,51.10%
0770011,Manchester School District,Math,Male,1012,1034,1020,1021,823,1010,32.00%,32.80%,25.80%,33.60%,33.20%,34.40%,54.60%,52.70%,45.00%,52.70%,53.10%,53.60%
0770011,Manchester School District,Math,Female,952,961,1000,944,782,916,33.20%,29.80%,26.00%,34.50%,34.80%,33.20%,54.40%,51.40%,44.40%,56.30%,55.20%,54.40%
0780011,Mansfield School District,ELA,Male,291,305,298,282,248,236,46.40%,44.90%,48.00%,50.40%,49.60%,40.70%,63.60%,60.30%,64.10%,67.40%,66.00%,59.00%
0780011,Mansfield School District,ELA,Female,246,284,280,303,271,256,56.50%,45.10%,53.20%,53.10%,48.30%,46.10%,73.80%,61.80%,67.50%,69.90%,66.80%,65.20%
0780011,Mansfield School District,Math,Male,295,305,295,281,244,236,55.90%,51.10%,52.50%,61.20%,60.70%,48.30%,71.90%,66.80%,65.70%,78.10%,75.40%,66.00%
0780011,Mansfield School District,Math,Female,246,283,277,302,268,254,51.20%,56.20%,50.50%,56.30%,50.70%,50.00%,69.50%,73.80%,67.30%,75.00%,69.90%,66.80%
0790011,Marlborough School District,ELA,Male,137,143,122,107,85,86,49.60%,44.80%,42.60%,35.50%,40.00%,44.20%,73.90%,64.90%,63.40%,56.70%,60.80%,68.60%
0790011,Marlborough School District,ELA,Female,116,119,106,98,80,87,63.80%,46.20%,50.00%,56.10%,45.00%,40.20%,81.50%,66.20%,67.50%,73.20%,67.50%,64.10%
0790011,Marlborough School District,Math,Male,137,143,122,107,85,86,59.90%,49.00%,55.70%,53.30%,57.60%,54.70%,81.90%,71.80%,77.00%,76.60%,83.40%,77.10%
0790011,Marlborough School District,Math,Female,115,118,106,98,80,87,60.90%,42.40%,56.60%,63.30%,63.80%,51.70%,86.70%,68.70%,78.60%,87.90%,90.80%,76.20%
0800011,Meriden School District,ELA,Male,1213,1308,1329,1411,1493,1521,37.30%,27.50%,39.40%,39.10%,38.00%,35.20%,59.00%,47.10%,60.90%,59.90%,59.70%,57.10%
0800011,Meriden School District,ELA,Female,1237,1267,1272,1336,1503,1561,41.10%,30.70%,39.50%,41.90%,42.20%,38.80%,64.40%,52.10%,64.00%,63.30%,62.60%,59.20%
0800011,Meriden School District,Math,Male,1211,1290,1305,1378,1452,1505,39.30%,33.50%,41.80%,38.50%,42.40%,42.10%,62.80%,54.40%,62.40%,59.30%,62.00%,60.60%
0800011,Meriden School District,Math,Female,1238,1254,1249,1312,1459,1551,41.30%,36.10%,43.70%,40.50%,41.80%,37.50%,65.20%,58.10%,65.10%,62.10%,60.30%,56.80%
0830011,Middletown School District,ELA,Male,811,832,795,778,784,782,34.90%,31.40%,28.70%,35.90%,38.60%,25.80%,55.50%,51.50%,50.30%,59.00%,59.20%,45.90%
0830011,Middletown School District,ELA,Female,795,784,771,785,761,774,41.30%,35.60%,36.80%,44.10%,40.10%,26.40%,61.70%,55.60%,57.30%,64.80%,61.60%,46.80%
0830011,Middletown School District,Math,Male,810,830,790,774,779,781,36.50%,37.70%,34.70%,34.10%,40.80%,30.90%,55.90%,57.80%,54.00%,52.70%,61.00%,52.10%
0830011,Middletown School District,Math,Female,797,780,769,781,752,768,38.40%,37.10%,38.60%,36.20%,37.90%,25.80%,58.70%,57.50%,58.70%,56.90%,56.60%,47.60%
0840011,Milford School District,ELA,Male,1163,1081,1047,1027,953,943,46.20%,39.10%,35.90%,44.90%,36.80%,34.80%,67.20%,59.30%,55.40%,64.60%,56.90%,56.00%
0840011,Milford School District,ELA,Female,1028,1041,993,939,881,905,50.40%,43.00%,44.00%,47.50%,40.20%,36.10%,69.50%,62.00%,63.80%,68.70%,61.40%,55.90%
0840011,Milford School District,Math,Male,1160,1072,1042,1026,948,940,46.60%,48.70%,43.20%,47.60%,45.70%,46.70%,68.00%,68.80%,63.90%,65.80%,65.50%,64.30%
0840011,Milford School District,Math,Female,1024,1032,989,942,880,905,45.40%,48.20%,47.80%,42.10%,42.20%,43.60%,65.90%,70.20%,67.70%,64.70%,64.20%,63.80%
0850011,Monroe School District,ELA,Male,595,591,595,566,593,601,43.70%,44.20%,41.00%,51.40%,48.20%,42.30%,59.10%,61.20%,59.00%,69.20%,67.30%,60.10%
0850011,Monroe School District,ELA,Female,587,592,592,588,577,601,54.50%,51.70%,56.30%,54.40%,52.20%,42.10%,70.30%,67.10%,71.50%,70.40%,70.20%,58.30%
0850011,Monroe School District,Math,Male,595,591,594,565,585,596,48.70%,48.90%,43.60%,51.70%,51.30%,48.20%,68.60%,68.80%,61.50%,68.40%,70.50%,67.00%
0850011,Monroe School District,Math,Female,586,590,591,585,571,596,50.50%,45.30%,46.70%,48.00%,55.50%,42.30%,73.00%,65.60%,66.60%,68.70%,76.10%,62.30%
0860011,Montville School District,ELA,Male,412,407,421,395,415,398,43.20%,33.90%,37.80%,42.80%,34.70%,36.70%,64.50%,53.90%,58.70%,60.60%,53.30%,54.10%
0860011,Montville School District,ELA,Female,420,413,418,400,346,352,46.00%,35.60%,43.30%,44.80%,38.40%,35.20%,66.00%,56.60%,63.20%,64.10%,56.90%,55.60%
0860011,Montville School District,Math,Male,413,406,419,393,413,398,46.20%,41.10%,45.10%,44.30%,41.20%,41.00%,68.40%,60.30%,63.30%,61.80%,58.50%,58.60%
0860011,Montville School District,Math,Female,420,413,416,400,343,353,45.50%,38.30%,47.10%,47.50%,46.10%,38.80%,67.80%,60.00%,66.90%,66.10%,62.60%,56.40%
0880011,Naugatuck School District,ELA,Male,835,801,789,793,753,758,39.20%,30.50%,38.50%,43.40%,32.30%,33.10%,63.00%,51.10%,58.70%,63.50%,51.60%,55.20%
0880011,Naugatuck School District,ELA,Female,698,724,703,720,700,713,45.00%,35.90%,47.20%,41.00%,36.70%,32.70%,66.40%,55.60%,69.20%,61.40%,56.90%,53.70%
0880011,Naugatuck School District,Math,Male,836,797,786,791,740,756,33.00%,43.70%,49.50%,37.30%,36.40%,35.30%,54.90%,63.60%,70.70%,55.30%,54.60%,55.00%
0880011,Naugatuck School District,Math,Female,702,724,703,720,690,710,33.20%,44.10%,52.30%,37.40%,39.00%,35.40%,54.40%,65.40%,73.10%,56.20%,60.50%,54.20%
2800013,New Beginnings Inc Family Academy District,ELA,Male,82,94,91,83,96,69,36.60%,26.60%,29.70%,34.90%,42.70%,14.50%,56.70%,47.30%,51.80%,61.70%,64.30%,40.40%
2800013,New Beginnings Inc Family Academy District,ELA,Female,87,96,98,105,98,63,32.20%,22.90%,30.60%,37.10%,41.80%,20.60%,56.90%,47.90%,53.80%,63.60%,65.50%,39.30%
2800013,New Beginnings Inc Family Academy District,Math,Male,82,94,91,83,96,69,29.30%,24.50%,24.20%,45.80%,44.80%,31.90%,55.50%,46.40%,46.20%,74.00%,71.10%,53.00%
2800013,New Beginnings Inc Family Academy District,Math,Female,87,96,97,105,93,62,33.30%,14.60%,24.70%,41.90%,47.30%,33.90%,53.20%,28.90%,46.00%,71.40%,63.90%,53.50%
0890011,New Britain School District,ELA,Male,1670,1737,1790,1797,1442,1681,29.40%,21.70%,30.70%,24.70%,30.70%,26.10%,52.10%,42.30%,54.40%,47.30%,53.90%,48.30%
0890011,New Britain School District,ELA,Female,1448,1555,1611,1680,1351,1630,28.30%,20.10%,31.80%,27.50%,30.50%,30.20%,51.10%,42.00%,55.50%,50.40%,53.40%,54.10%
0890011,New Britain School District,Math,Male,1684,1729,1781,1778,1358,1655,26.10%,26.10%,33.30%,24.70%,37.50%,34.60%,44.80%,45.60%,54.50%,43.90%,57.10%,56.00%
0890011,New Britain School District,Math,Female,1459,1545,1596,1668,1296,1607,23.40%,24.50%,33.50%,23.60%,32.80%,36.80%,44.70%,44.20%,55.80%,44.70%,52.80%,57.60%
0900011,New Canaan School District,ELA,Male,810,838,777,800,767,743,49.80%,57.50%,55.30%,54.80%,46.20%,50.50%,66.70%,73.20%,70.00%,69.70%,62.40%,66.90%
0900011,New Canaan School District,ELA,Female,746,788,761,752,752,774,56.20%,62.90%,62.70%,63.60%,57.30%,62.50%,70.90%,78.30%,77.60%,76.10%,71.60%,77.20%
0900011,New Canaan School District,Math,Male,810,834,775,798,768,742,59.00%,76.90%,68.90%,70.70%,58.50%,65.60%,76.60%,91.40%,81.50%,85.10%,73.80%,80.90%
0900011,New Canaan School District,Math,Female,748,788,761,752,748,773,60.20%,74.40%,66.00%,69.30%,61.40%,64.20%,78.90%,91.20%,80.90%,84.20%,78.10%,79.30%
0910011,New Fairfield School District,ELA,Male,409,426,389,382,367,374,48.40%,34.70%,49.10%,41.10%,47.10%,38.80%,69.00%,52.50%,69.90%,58.60%,66.70%,57.10%
0910011,New Fairfield School District,ELA,Female,386,348,358,359,386,375,53.60%,37.40%,55.90%,45.40%,51.00%,42.70%,73.40%,53.60%,75.10%,65.80%,71.70%,62.30%
0910011,New Fairfield School District,Math,Male,403,419,387,382,367,373,61.50%,48.90%,51.90%,49.00%,60.50%,53.90%,80.20%,69.50%,69.90%,66.00%,79.00%,71.00%
0910011,New Fairfield School District,Math,Female,376,344,354,358,385,374,55.10%,46.50%,55.40%,45.50%,60.00%,50.00%,78.60%,68.50%,75.30%,64.90%,78.60%,68.80%
0920011,New Hartford School District,ELA,Male,92,96,98,89,84,86,39.10%,24.00%,42.90%,47.20%,29.80%,39.50%,63.90%,50.70%,65.30%,65.50%,52.80%,62.80%
0920011,New Hartford School District,ELA,Female,105,106,98,96,99,89,46.70%,33.00%,55.10%,42.70%,31.30%,38.20%,68.70%,48.00%,72.00%,61.10%,52.20%,62.60%
0920011,New Hartford School District,Math,Male,91,95,97,88,84,85,31.90%,41.10%,36.10%,44.30%,53.60%,30.60%,59.50%,68.80%,57.60%,65.50%,77.30%,53.40%
0920011,New Hartford School District,Math,Female,105,106,98,96,98,87,32.40%,26.40%,46.90%,42.70%,41.80%,37.90%,54.50%,49.50%,67.70%,59.40%,62.20%,62.20%
0930011,New Haven School District,ELA,Male,3400,3547,3564,3584,2670,3177,36.30%,28.80%,32.20%,30.20%,34.00%,29.20%,61.20%,52.00%,55.90%,53.30%,56.20%,51.90%
0930011,New Haven School District,ELA,Female,3325,3520,3619,3579,2546,3086,41.50%,31.20%,37.60%,35.00%,38.50%,29.30%,65.50%,53.90%,60.70%,57.10%,61.40%,52.40%
0930011,New Haven School District,Math,Male,3436,3532,3555,3566,2527,3148,39.80%,31.40%,31.80%,32.20%,40.60%,33.90%,61.70%,52.10%,52.10%,52.20%,60.40%,54.20%
0930011,New Haven School District,Math,Female,3360,3504,3603,3573,2378,3032,42.00%,31.90%,33.40%,34.30%,38.10%,31.50%,65.40%,53.80%,55.10%,55.00%,58.90%,51.70%
0950011,New London School District,ELA,Male,514,575,604,595,451,476,29.40%,21.70%,31.60%,31.30%,24.20%,23.50%,51.10%,45.20%,53.20%,50.70%,45.70%,49.40%
0950011,New London School District,ELA,Female,479,544,577,543,403,475,34.40%,24.30%,34.50%,30.90%,24.60%,27.20%,56.90%,45.10%,58.20%,53.60%,49.80%,49.30%
0950011,New London School District,Math,Male,525,572,603,592,439,473,26.10%,26.20%,37.00%,30.40%,32.60%,27.50%,48.40%,47.30%,56.70%,47.10%,52.70%,47.40%
0950011,New London School District,Math,Female,487,540,575,541,393,470,28.10%,25.70%,33.40%,31.40%,29.80%,32.80%,50.60%,49.00%,55.80%,51.80%,53.00%,52.00%
0960011,New Milford School District,ELA,Male,801,798,788,748,594,599,38.00%,34.70%,42.60%,33.00%,32.70%,30.40%,58.20%,53.50%,63.20%,50.80%,55.20%,50.00%
0960011,New Milford School District,ELA,Female,668,698,699,689,588,615,43.10%,35.20%,48.10%,40.20%,37.80%,28.60%,64.70%,53.80%,68.90%,59.50%,57.30%,52.10%
0960011,New Milford School District,Math,Male,789,785,785,743,586,588,45.10%,39.70%,43.80%,41.60%,45.70%,32.10%,65.20%,59.40%,62.90%,61.80%,65.20%,53.10%
0960011,New Milford School District,Math,Female,651,683,693,684,579,608,43.00%,38.70%,40.10%,42.30%,39.20%,30.60%,63.80%,58.00%,60.60%,65.20%,60.70%,52.90%
0940011,Newington School District,ELA,Male,784,804,781,761,660,672,34.70%,30.00%,42.60%,30.90%,38.90%,33.90%,54.10%,48.30%,65.70%,50.70%,59.90%,53.30%
0940011,Newington School District,ELA,Female,737,746,769,785,693,705,40.00%,30.20%,47.60%,37.80%,39.20%,32.90%,62.60%,48.70%,68.50%,56.20%,60.80%,51.80%
0940011,Newington School District,Math,Male,785,805,780,757,654,664,34.90%,41.70%,41.50%,41.30%,50.50%,39.60%,52.30%,61.70%,62.10%,62.30%,71.20%,58.30%
0940011,Newington School District,Math,Female,737,740,764,785,681,695,40.60%,35.90%,43.70%,44.20%,45.70%,40.10%,60.60%,58.00%,66.00%,64.60%,66.70%,62.20%
0970011,Newtown School District,ELA,Male,877,831,762,738,662,707,43.70%,34.40%,42.00%,43.50%,44.40%,39.60%,61.60%,53.20%,63.10%,64.10%,62.90%,57.60%
0970011,Newtown School District,ELA,Female,827,778,770,766,681,701,48.10%,39.50%,48.60%,48.70%,49.30%,40.40%,66.40%,55.40%,66.90%,66.90%,67.00%,58.20%
0970011,Newtown School District,Math,Male,876,830,761,738,659,705,58.80%,51.30%,46.50%,54.10%,56.80%,45.40%,77.50%,68.30%,64.10%,70.50%,75.60%,63.70%
0970011,Newtown School District,Math,Female,827,776,770,765,680,701,59.50%,46.00%,46.20%,49.30%,53.20%,45.20%,78.60%,66.10%,65.10%,68.80%,73.60%,65.00%
0980011,Norfolk School District,ELA,Male,20,23,21,19,16,19,40.00%,43.50%,38.10%,*,*,*,61.80%,64.40%,61.70%,*,*,*
0980011,Norfolk School District,ELA,Female,24,15,18,17,14,11,50.00%,*,*,*,*,*,69.20%,*,*,*,*,*
0980011,Norfolk School District,Math,Male,20,23,21,19,16,17,55.00%,52.20%,33.30%,*,*,*,75.40%,69.50%,53.70%,*,*,*
0980011,Norfolk School District,Math,Female,24,15,18,17,13,11,45.80%,*,*,*,*,*,65.20%,*,*,*,*,*
0990011,North Branford School District,ELA,Male,345,323,339,368,310,290,39.10%,30.00%,32.20%,29.30%,40.60%,32.80%,62.50%,49.40%,50.80%,50.10%,61.60%,53.30%
0990011,North Branford School District,ELA,Female,360,327,309,302,283,286,47.20%,31.50%,40.50%,31.80%,44.20%,38.10%,66.20%,48.50%,60.40%,52.50%,65.40%,57.50%
0990011,North Branford School District,Math,Male,345,322,339,367,310,290,43.20%,37.90%,39.20%,39.50%,56.50%,45.50%,64.60%,57.40%,55.60%,58.90%,75.30%,64.80%
0990011,North Branford School District,Math,Female,360,326,309,301,282,286,47.80%,39.00%,40.10%,44.50%,55.00%,47.60%,67.60%,62.10%,60.90%,67.30%,75.70%,65.70%
1000011,North Canaan School District,ELA,Male,56,66,67,55,60,59,53.60%,25.80%,41.80%,40.00%,40.00%,57.60%,72.40%,47.30%,68.10%,62.70%,59.60%,75.80%
1000011,North Canaan School District,ELA,Female,54,63,71,65,65,62,63.00%,47.60%,47.90%,52.30%,53.80%,46.80%,82.60%,64.00%,70.80%,70.70%,76.40%,63.00%
1000011,North Canaan School District,Math,Male,56,66,67,55,60,59,46.40%,31.80%,22.40%,29.10%,33.30%,57.60%,71.10%,46.00%,46.00%,53.70%,59.50%,74.20%
1000011,North Canaan School District,Math,Female,54,63,71,65,64,62,53.70%,38.10%,45.10%,50.80%,50.00%,46.80%,77.00%,58.00%,62.70%,73.70%,77.70%,70.50%
1010011,North Haven School District,ELA,Male,589,590,615,574,554,558,64.20%,34.40%,39.20%,44.30%,39.90%,38.90%,84.10%,53.80%,59.90%,62.90%,58.90%,58.30%
1010011,North Haven School District,ELA,Female,539,563,559,559,563,591,69.90%,39.30%,45.80%,49.40%,49.20%,46.70%,90.80%,57.50%,63.60%,66.50%,68.90%,64.20%
1010011,North Haven School District,Math,Male,591,585,611,572,553,558,66.50%,44.10%,47.00%,52.80%,53.30%,47.30%,88.50%,64.50%,65.20%,69.60%,70.10%,66.80%
1010011,North Haven School District,Math,Female,539,562,557,558,556,591,73.30%,42.70%,51.00%,50.90%,50.50%,46.40%,93.20%,65.10%,70.40%,68.60%,71.10%,65.40%
1020011,North Stonington School District,ELA,Male,139,138,131,146,140,140,49.60%,44.20%,51.90%,43.80%,42.10%,32.90%,66.00%,61.70%,69.50%,59.70%,59.50%,46.10%
1020011,North Stonington School District,ELA,Female,125,133,141,132,131,127,48.80%,43.60%,48.20%,56.80%,44.30%,43.30%,66.10%,61.70%,65.50%,74.60%,64.00%,60.80%
1020011,North Stonington School District,Math,Male,139,138,131,146,140,140,50.40%,44.20%,49.60%,51.40%,50.70%,49.30%,68.50%,60.30%,64.70%,65.60%,69.70%,66.30%
1020011,North Stonington School District,Math,Female,125,133,141,132,131,127,48.00%,47.40%,36.90%,53.00%,50.40%,52.80%,66.40%,64.80%,51.90%,72.30%,69.70%,72.40%
1030011,Norwalk School District,ELA,Male,1970,2035,2076,2085,1957,1967,34.50%,36.60%,36.40%,37.70%,34.60%,32.80%,55.90%,56.00%,57.40%,59.00%,55.80%,54.60%
1030011,Norwalk School District,ELA,Female,1879,1952,1965,1940,1793,1834,36.80%,37.90%,39.20%,39.60%,38.30%,35.00%,58.80%,61.10%,60.20%,61.90%,58.60%,56.10%
1030011,Norwalk School District,Math,Male,2003,2030,2073,2083,1928,1956,37.80%,44.70%,41.20%,40.50%,42.10%,40.10%,58.50%,65.60%,60.60%,59.40%,62.80%,60.00%
1030011,Norwalk School District,Math,Female,1912,1950,1964,1939,1757,1820,36.60%,42.60%,41.40%,42.10%,41.40%,39.20%,58.70%,63.60%,62.10%,62.50%,62.30%,60.20%
1040011,Norwich School District,ELA,Male,834,797,815,811,773,795,38.50%,28.60%,25.60%,26.80%,25.60%,30.60%,60.90%,51.60%,44.60%,49.20%,45.80%,52.00%
1040011,Norwich School District,ELA,Female,795,806,758,796,750,739,37.20%,36.40%,28.20%,28.00%,24.80%,29.50%,59.90%,57.70%,50.20%,47.10%,45.50%,51.40%
1040011,Norwich School District,Math,Male,839,797,811,810,755,787,38.00%,35.60%,28.40%,27.00%,27.20%,34.70%,60.00%,56.90%,46.70%,47.60%,46.50%,54.30%
1040011,Norwich School District,Math,Female,804,802,755,794,740,735,37.30%,34.90%,29.00%,26.80%,22.60%,29.90%,59.30%,56.60%,49.10%,47.50%,41.40%,51.10%
2630013,Odyssey Community School District,ELA,Male,92,97,89,90,82,90,38.00%,26.80%,24.70%,40.00%,30.50%,41.10%,64.60%,45.40%,47.60%,64.30%,55.20%,61.40%
2630013,Odyssey Community School District,ELA,Female,83,78,89,87,83,83,34.90%,28.20%,36.00%,50.60%,43.40%,32.50%,59.20%,50.20%,61.60%,69.50%,61.80%,52.50%
