"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2410014,Capitol Region Education Council,Math,Male,1338,1355,1411,1431,1260,1357,36.20%,39.80%,33.20%,31.00%,30.20%,33.50%,56.20%,58.20%,51.80%,48.50%,49.60%,52.80%
2410014,Capitol Region Education Council,Math,Female,1174,1258,1339,1476,1292,1454,38.60%,39.80%,32.20%,31.60%,25.30%,30.90%,61.00%,60.60%,53.00%,50.30%,43.80%,51.80%
0240011,Chaplin School District,ELA,Male,23,24,21,24,26,25,56.50%,45.80%,47.60%,25.00%,30.80%,32.00%,79.80%,56.60%,69.80%,43.70%,54.60%,56.00%
0240011,Chaplin School District,ELA,Female,20,27,25,28,29,21,55.00%,40.70%,36.00%,35.70%,37.90%,42.90%,78.10%,63.60%,60.80%,53.00%,62.70%,53.10%
0240011,Chaplin School District,Math,Male,22,23,21,24,26,25,27.30%,69.60%,57.10%,33.30%,34.60%,56.00%,39.70%,86.70%,85.60%,59.30%,69.20%,75.60%
0240011,Chaplin School District,Math,Female,20,27,25,27,29,21,35.00%,51.90%,52.00%,51.90%,37.90%,47.60%,48.30%,74.60%,78.30%,80.90%,76.20%,73.60%
0250011,Cheshire School District,ELA,Male,814,810,779,748,726,767,50.70%,41.60%,49.60%,49.90%,39.00%,47.80%,68.00%,60.70%,67.30%,65.80%,56.60%,66.50%
0250011,Cheshire School District,ELA,Female,874,847,820,752,687,718,54.60%,47.00%,55.40%,58.80%,47.30%,52.10%,71.80%,63.60%,72.00%,75.10%,63.80%,71.40%
0250011,Cheshire School District,Math,Male,815,810,779,747,723,764,52.40%,48.90%,50.20%,59.20%,53.10%,59.80%,71.30%,67.80%,66.40%,77.10%,68.90%,74.90%
0250011,Cheshire School District,Math,Female,874,844,816,751,684,715,53.80%,50.10%,51.20%,58.70%,48.00%,53.40%,74.40%,68.40%,69.20%,77.60%,68.80%,71.40%
0260011,Chester School District,ELA,Male,38,41,42,40,44,48,52.60%,63.40%,57.10%,57.50%,38.60%,43.80%,69.60%,79.60%,74.90%,78.70%,63.50%,61.70%
0260011,Chester School District,ELA,Female,62,48,42,42,34,36,48.40%,60.40%,61.90%,54.80%,38.20%,50.00%,67.90%,80.30%,80.80%,78.20%,61.70%,67.50%
0260011,Chester School District,Math,Male,38,41,42,40,44,48,60.50%,78.00%,42.90%,75.00%,68.20%,52.10%,75.60%,94.00%,66.80%,87.50%,88.00%,70.50%
0260011,Chester School District,Math,Female,62,48,42,42,34,36,51.60%,47.90%,50.00%,59.50%,70.60%,44.40%,73.70%,69.40%,72.70%,79.10%,92.70%,63.10%
0270011,Clinton School District,ELA,Male,370,364,361,335,279,268,41.40%,28.30%,27.10%,41.20%,34.10%,30.60%,61.30%,50.30%,45.60%,60.70%,55.40%,52.60%
0270011,Clinton School District,ELA,Female,355,332,322,324,234,229,44.80%,37.00%,31.70%,42.00%,39.70%,28.80%,65.50%,56.00%,49.70%,62.70%,60.60%,48.50%
0270011,Clinton School District,Math,Male,372,363,361,335,278,266,49.70%,42.70%,32.40%,55.20%,41.70%,44.70%,69.40%,62.50%,50.60%,74.90%,61.60%,66.00%
0270011,Clinton School District,Math,Female,355,333,326,324,233,229,47.30%,45.90%,33.10%,48.80%,43.30%,42.80%,70.20%,70.10%,54.40%,73.20%,63.80%,69.90%
0280011,Colchester School District,ELA,Male,478,462,444,416,379,376,43.10%,35.30%,41.00%,39.20%,38.50%,36.40%,65.60%,53.70%,62.60%,57.30%,57.50%,56.60%
0280011,Colchester School District,ELA,Female,457,428,423,410,355,353,54.00%,38.60%,44.00%,42.70%,39.70%,42.20%,73.00%,57.00%,65.70%,63.40%,59.20%,60.80%
0280011,Colchester School District,Math,Male,478,461,444,415,380,376,40.60%,58.60%,56.50%,54.90%,56.10%,58.00%,59.00%,77.60%,76.60%,75.60%,75.20%,78.70%
0280011,Colchester School District,Math,Female,457,428,423,410,355,351,44.60%,55.40%,52.20%,53.90%,56.60%,53.80%,64.90%,75.50%,73.80%,76.60%,78.20%,73.70%
0290011,Colebrook School District,ELA,Male,13,11,17,23,23,18,*,*,*,60.90%,39.10%,*,*,*,*,74.10%,63.50%,*
0290011,Colebrook School District,ELA,Female,18,19,16,12,15,14,*,*,*,*,*,*,*,*,*,*,*,*
0290011,Colebrook School District,Math,Male,13,11,17,23,23,18,*,*,*,43.50%,39.10%,*,*,*,*,54.70%,64.10%,*
0290011,Colebrook School District,Math,Female,18,19,16,12,15,14,*,*,*,*,*,*,*,*,*,*,*,*
0300011,Columbia School District,ELA,Male,112,102,106,105,109,122,42.90%,25.50%,40.60%,42.90%,33.90%,36.90%,64.80%,47.20%,57.70%,64.70%,58.00%,60.70%
0300011,Columbia School District,ELA,Female,116,112,109,96,99,108,51.70%,34.80%,54.10%,50.00%,36.40%,36.10%,69.60%,50.50%,72.30%,67.80%,61.30%,56.50%
