"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2800013,New Beginnings Inc Family Academy District,8,ELA,29,23,32,28,24,26,44.80%,17.40%,12.50%,39.30%,29.20%,30.80%,70.10%,34.90%,21.20%,55.50%,40.60%,52.90%
2800013,New Beginnings Inc Family Academy District,8,Math,29,23,31,28,23,25,27.60%,0.00%,9.70%,57.10%,17.40%,20.00%,48.10%,7.50%,26.10%,77.40%,28.60%,26.10%
0890011,New Britain School District,4,ELA,699,751,758,764,639,691,28.80%,18.50%,30.20%,23.20%,24.90%,26.20%,56.80%,43.90%,55.60%,49.90%,52.40%,54.90%
0890011,New Britain School District,4,Math,700,743,757,765,620,682,21.40%,17.40%,28.30%,25.40%,38.10%,38.70%,51.00%,44.90%,57.40%,58.00%,67.30%,70.00%
0890011,New Britain School District,5,ELA,696,721,765,757,651,682,28.60%,17.90%,30.80%,27.60%,35.90%,31.10%,53.90%,41.90%,58.40%,54.20%,62.20%,58.70%
0890011,New Britain School District,5,Math,705,716,757,753,633,673,21.30%,22.60%,33.80%,27.10%,47.70%,40.30%,38.90%,41.40%,55.60%,46.60%,68.40%,63.70%
0890011,New Britain School District,6,ELA,620,627,631,695,624,614,26.30%,22.00%,32.20%,25.20%,28.00%,28.70%,45.10%,42.40%,55.00%,45.90%,48.60%,48.00%
0890011,New Britain School District,6,Math,630,622,628,690,599,605,22.10%,29.30%,37.60%,24.20%,27.50%,31.90%,38.50%,46.30%,57.10%,41.10%,41.10%,47.20%
0890011,New Britain School District,7,ELA,557,635,623,630,478,660,31.60%,25.20%,30.20%,27.60%,27.20%,24.20%,52.20%,43.50%,52.40%,47.90%,46.50%,42.90%
0890011,New Britain School District,7,Math,554,634,613,619,444,649,35.40%,34.10%,33.30%,21.30%,33.80%,37.00%,53.90%,51.30%,52.40%,37.00%,52.90%,54.10%
0890011,New Britain School District,8,ELA,546,558,624,631,401,667,29.70%,22.00%,33.00%,27.10%,38.90%,30.40%,48.90%,38.50%,52.20%,45.20%,57.90%,50.70%
0890011,New Britain School District,8,Math,554,559,622,619,358,656,26.40%,25.40%,35.00%,22.00%,22.60%,30.00%,42.30%,40.70%,52.40%,35.10%,35.60%,47.70%
0900011,New Canaan School District,4,ELA,311,334,296,313,285,270,71.70%,70.40%,73.30%,68.40%,61.40%,65.20%,88.50%,86.90%,88.60%,84.80%,78.00%,81.60%
0900011,New Canaan School District,4,Math,311,334,296,313,285,270,77.50%,79.00%,76.70%,71.20%,65.60%,70.00%,95.50%,96.80%,93.40%,91.60%,87.00%,86.30%
0900011,New Canaan School District,5,ELA,314,312,318,278,315,292,51.30%,59.60%,59.40%,61.90%,49.20%,59.20%,67.60%,76.10%,75.40%,78.60%,67.30%,74.40%
0900011,New Canaan School District,5,Math,316,312,318,279,315,292,46.80%,61.20%,62.60%,64.50%,48.60%,56.20%,69.00%,76.30%,76.00%,77.50%,64.40%,72.80%
0900011,New Canaan School District,6,ELA,289,339,304,327,304,330,43.60%,47.50%,55.30%,55.70%,43.80%,49.40%,56.40%,63.00%,67.00%,66.20%,57.10%,64.10%
0900011,New Canaan School District,6,Math,290,338,303,327,304,330,53.40%,73.70%,68.00%,68.20%,60.20%,59.70%,71.90%,89.20%,82.70%,83.00%,75.90%,75.90%
0900011,New Canaan School District,7,ELA,345,287,335,302,317,307,48.40%,65.50%,58.80%,62.30%,53.60%,60.30%,65.40%,80.30%,75.90%,76.40%,67.90%,76.20%
0900011,New Canaan School District,7,Math,343,286,334,301,316,306,58.90%,78.30%,60.20%,64.10%,54.70%,64.10%,75.90%,94.50%,71.10%,76.50%,69.20%,78.50%
0900011,New Canaan School District,8,ELA,297,354,285,332,298,318,48.80%,58.80%,47.70%,48.20%,51.00%,50.90%,64.90%,73.10%,61.40%,60.00%,64.90%,66.50%
0900011,New Canaan School District,8,Math,298,352,285,330,296,317,61.10%,84.90%,71.20%,80.60%,71.60%,74.80%,76.20%,98.80%,84.60%,93.30%,84.70%,87.40%
0910011,New Fairfield School District,4,ELA,154,147,142,128,144,127,51.30%,35.40%,52.10%,52.30%,58.30%,48.80%,74.00%,58.70%,74.60%,75.70%,83.90%,77.40%
0910011,New Fairfield School District,4,Math,149,145,142,128,145,127,50.30%,40.70%,42.30%,25.80%,58.60%,63.00%,77.50%,67.30%,68.70%,49.80%,81.60%,84.40%
0910011,New Fairfield School District,5,ELA,136,155,159,151,137,157,52.20%,41.30%,45.30%,47.70%,52.60%,42.70%,75.10%,63.50%,70.00%,68.60%,75.40%,63.10%
0910011,New Fairfield School District,5,Math,135,151,159,150,137,155,54.10%,50.30%,47.20%,52.00%,59.90%,56.80%,79.40%,72.90%,69.60%,72.30%,79.20%,75.20%
0910011,New Fairfield School District,6,ELA,166,136,152,165,158,148,45.80%,30.90%,50.00%,43.00%,36.10%,32.40%,65.10%,44.30%,70.40%,61.70%,54.70%,47.70%
0910011,New Fairfield School District,6,Math,164,136,150,166,158,148,49.40%,52.20%,64.70%,52.40%,62.00%,50.00%,68.00%,75.60%,81.20%,72.30%,81.60%,65.70%
0910011,New Fairfield School District,7,ELA,176,160,135,156,143,165,58.50%,43.80%,61.50%,42.30%,49.70%,38.20%,79.10%,60.40%,79.90%,61.10%,69.20%,54.00%
0910011,New Fairfield School District,7,Math,173,159,135,155,143,165,65.90%,43.40%,37.00%,41.90%,52.40%,40.60%,87.50%,59.10%,50.30%,54.00%,71.70%,59.60%
0910011,New Fairfield School District,8,ELA,163,176,159,141,171,152,46.60%,28.40%,54.10%,31.20%,50.30%,42.80%,62.60%,39.10%,68.60%,44.40%,65.40%,59.30%
0910011,New Fairfield School District,8,Math,158,172,155,141,169,152,70.90%,52.30%,74.20%,61.70%,66.90%,52.00%,84.20%,71.10%,89.80%,77.10%,79.50%,67.50%
0920011,New Hartford School District,4,ELA,64,73,56,51,66,59,51.60%,24.70%,50.00%,43.10%,34.80%,39.00%,78.10%,49.50%,68.60%,60.80%,55.70%,66.10%
0920011,New Hartford School District,4,Math,64,73,55,51,65,57,43.80%,27.40%,20.00%,43.10%,27.70%,21.10%,75.40%,60.30%,50.90%,63.60%,57.40%,48.30%
0920011,New Hartford School District,5,ELA,62,66,76,56,44,68,46.80%,39.40%,60.50%,51.80%,50.00%,41.20%,66.50%,65.50%,84.10%,74.10%,75.00%,61.10%
0920011,New Hartford School District,5,Math,62,66,76,55,44,67,41.90%,48.50%,71.10%,67.30%,81.80%,53.70%,66.90%,74.30%,88.00%,84.00%,99.80%,72.40%
0920011,New Hartford School District,6,ELA,71,63,64,78,73,48,32.40%,22.20%,34.40%,41.00%,15.10%,35.40%,55.90%,32.00%,50.30%,56.90%,35.90%,60.80%
0920011,New Hartford School District,6,Math,70,62,64,78,73,48,12.90%,24.20%,25.00%,26.90%,43.80%,22.90%,30.90%,40.00%,42.60%,46.20%,61.10%,48.70%
0930011,New Haven School District,4,ELA,1436,1498,1469,1373,990,1219,38.20%,31.20%,32.90%,31.00%,37.40%,29.80%,67.10%,57.80%,60.90%,56.70%,63.60%,58.40%
0930011,New Haven School District,4,Math,1451,1493,1463,1370,956,1216,36.90%,22.90%,24.10%,27.10%,42.50%,36.60%,70.20%,53.90%,54.90%,57.30%,73.30%,66.20%
0930011,New Haven School District,5,ELA,1337,1461,1504,1448,1032,1184,41.40%,27.60%,32.30%,32.50%,34.50%,25.40%,68.90%,53.90%,58.40%,57.40%,60.40%,50.90%
0930011,New Haven School District,5,Math,1341,1454,1501,1443,985,1175,46.90%,36.20%,35.10%,39.40%,47.00%,35.30%,68.70%,58.10%,56.60%,59.70%,67.10%,57.30%
0930011,New Haven School District,6,ELA,1339,1380,1493,1490,1034,1280,39.70%,30.40%,41.60%,36.10%,40.20%,37.20%,62.20%,52.40%,62.70%,57.90%,63.40%,58.90%
0930011,New Haven School District,6,Math,1362,1373,1489,1484,976,1260,39.40%,36.00%,40.40%,40.20%,39.50%,35.20%,59.60%,54.70%,60.20%,59.20%,58.10%,53.10%
0930011,New Haven School District,7,ELA,1337,1349,1365,1488,1083,1283,35.40%,31.60%,34.00%,31.70%,34.30%,25.80%,57.50%,52.20%,55.00%,53.10%,54.90%,47.00%
0930011,New Haven School District,7,Math,1351,1345,1360,1482,999,1267,38.00%,30.90%,33.40%,29.60%,40.20%,32.70%,58.30%,49.80%,49.40%,47.00%,58.80%,49.20%
0930011,New Haven School District,8,ELA,1276,1379,1352,1364,1077,1298,39.80%,29.30%,33.80%,31.50%,34.90%,27.90%,60.60%,48.00%,54.10%,50.70%,52.10%,45.70%
0930011,New Haven School District,8,Math,1291,1371,1345,1360,989,1263,43.90%,32.60%,29.60%,29.40%,27.90%,24.10%,60.00%,47.70%,45.90%,44.50%,41.60%,39.80%
0950011,New London School District,4,ELA,244,289,260,274,229,231,40.60%,29.80%,28.50%,35.80%,24.00%,23.40%,68.20%,57.30%,52.40%,60.70%,53.70%,47.90%
0950011,New London School District,4,Math,251,289,259,273,225,230,20.70%,26.60%,35.10%,35.90%,32.00%,24.80%,48.50%,60.10%,62.80%,61.40%,61.80%,53.70%
0950011,New London School District,5,ELA,250,257,289,265,235,236,39.60%,21.80%,33.90%,35.50%,29.80%,28.00%,65.10%,44.80%,58.80%,61.60%,54.90%,54.30%
0950011,New London School District,5,Math,251,256,288,264,229,235,30.70%,33.20%,41.00%,40.50%,38.40%,34.90%,53.30%,55.40%,64.00%,59.80%,62.10%,54.60%
0950011,New London School District,6,ELA,185,213,218,200,140,154,16.80%,14.60%,32.60%,19.50%,24.30%,27.90%,32.40%,31.70%,53.90%,36.40%,45.60%,53.50%
0950011,New London School District,6,Math,188,211,218,199,128,150,24.50%,24.20%,29.40%,13.60%,14.10%,31.30%,45.30%,42.70%,46.10%,26.50%,29.90%,44.30%
0950011,New London School District,7,ELA,165,192,210,199,129,159,27.30%,22.90%,32.40%,29.60%,17.80%,22.60%,46.30%,41.10%,52.50%,45.80%,36.90%,39.50%
0950011,New London School District,7,Math,168,189,208,199,132,158,38.10%,24.90%,29.30%,33.70%,45.50%,43.70%,58.90%,41.00%,48.90%,50.50%,65.60%,61.60%
0950011,New London School District,8,ELA,149,168,204,200,122,172,28.20%,23.80%,38.70%,32.00%,22.10%,25.00%,47.00%,46.20%,60.40%,49.50%,36.60%,50.40%
0950011,New London School District,8,Math,154,167,205,198,119,171,22.70%,17.40%,39.50%,25.80%,18.50%,17.50%,39.60%,31.40%,55.50%,40.50%,28.00%,31.50%
0960011,New Milford School District,4,ELA,291,286,270,250,214,234,30.90%,33.60%,42.20%,33.20%,39.70%,34.20%,55.50%,57.00%,68.80%,55.20%,66.00%,60.70%
0960011,New Milford School District,4,Math,289,285,269,248,212,230,45.00%,39.60%,30.10%,39.50%,50.00%,28.70%,73.80%,66.90%,57.80%,70.30%,78.80%,58.60%
0960011,New Milford School District,5,ELA,297,302,289,274,244,228,46.80%,45.00%,61.20%,44.50%,49.20%,40.80%,70.00%,67.30%,84.80%,65.20%,76.90%,67.90%
0960011,New Milford School District,5,Math,297,299,290,270,243,227,60.60%,51.80%,57.20%,57.40%,50.20%,32.20%,82.80%,74.40%,77.80%,78.20%,72.50%,57.90%
0960011,New Milford School District,6,ELA,306,309,305,294,217,261,39.90%,35.90%,46.60%,36.70%,24.00%,24.90%,58.60%,53.40%,65.00%,54.00%,44.90%,45.70%
0960011,New Milford School District,6,Math,296,307,303,292,212,255,37.20%,30.60%,26.70%,30.80%,47.20%,39.20%,55.90%,48.10%,46.20%,51.50%,65.90%,61.10%
0960011,New Milford School District,7,ELA,292,304,314,304,252,226,49.00%,34.50%,38.90%,30.90%,31.30%,20.80%,68.40%,52.60%,58.20%,46.60%,48.80%,38.20%
0960011,New Milford School District,7,Math,283,299,309,303,251,223,50.90%,37.80%,46.60%,39.60%,33.10%,21.10%,70.80%,53.60%,62.60%,61.00%,50.10%,35.10%
0960011,New Milford School District,8,ELA,283,295,309,316,256,265,34.60%,25.40%,37.90%,37.30%,31.60%,27.50%,52.70%,37.60%,54.10%,55.00%,45.60%,44.10%
0960011,New Milford School District,8,Math,275,278,307,315,248,261,26.20%,36.30%,48.90%,42.90%,34.30%,34.10%,38.10%,50.80%,64.80%,58.50%,50.60%,51.10%
0940011,Newington School District,4,ELA,293,308,297,281,236,287,44.40%,28.20%,40.70%,38.40%,41.90%,39.00%,69.30%,52.80%,68.60%,63.30%,70.20%,65.30%
0940011,Newington School District,4,Math,292,308,297,280,234,287,38.00%,33.10%,47.50%,46.80%,50.40%,47.70%,65.30%,65.50%,79.40%,74.60%,80.20%,75.60%
0940011,Newington School District,5,ELA,295,302,315,302,266,236,30.50%,22.20%,37.10%,23.50%,31.60%,29.20%,50.70%,38.20%,60.20%,43.60%,54.90%,47.60%
0940011,Newington School District,5,Math,296,301,315,300,263,234,30.10%,24.60%,32.10%,28.70%,28.90%,21.40%,48.30%,42.70%,53.30%,47.70%,48.60%,41.80%
0940011,Newington School District,6,ELA,307,307,318,317,271,275,38.40%,32.60%,48.10%,36.60%,35.40%,33.50%,62.20%,48.80%,68.70%,56.60%,55.90%,50.30%
0940011,Newington School District,6,Math,306,304,318,316,268,270,49.30%,48.70%,52.50%,49.70%,53.70%,47.80%,67.20%,72.00%,72.20%,71.10%,72.70%,69.40%
0940011,Newington School District,7,ELA,318,309,311,326,294,273,41.50%,33.70%,53.40%,46.90%,45.90%,30.40%,61.80%,52.30%,74.40%,65.00%,64.40%,48.70%
0940011,Newington School District,7,Math,319,308,307,326,289,271,33.50%,46.10%,45.00%,50.30%,58.50%,37.30%,51.30%,63.30%,62.30%,69.50%,79.60%,55.00%
0940011,Newington School District,8,ELA,308,324,309,320,286,306,31.50%,33.30%,46.00%,26.30%,40.20%,34.00%,47.00%,50.10%,63.60%,39.30%,57.50%,49.80%
0940011,Newington School District,8,Math,309,324,307,320,281,297,37.20%,42.00%,36.20%,38.10%,47.70%,42.10%,50.10%,56.00%,53.50%,54.80%,63.70%,56.70%
0970011,Newtown School District,4,ELA,284,278,257,262,258,276,51.10%,41.40%,45.10%,45.40%,48.10%,50.70%,75.50%,62.30%,67.50%,65.10%,69.60%,72.60%
0970011,Newtown School District,4,Math,285,278,257,262,256,276,50.50%,43.50%,43.60%,45.00%,56.30%,50.70%,78.20%,65.60%,70.20%,69.60%,81.90%,76.70%
0970011,Newtown School District,5,ELA,324,293,294,269,262,279,49.10%,41.30%,41.80%,47.20%,44.70%,34.40%,67.00%,63.40%,64.50%,67.50%,64.10%,53.80%
0970011,Newtown School District,5,Math,324,292,295,269,261,279,65.10%,54.10%,42.00%,45.40%,57.10%,43.70%,87.00%,78.40%,58.60%,64.70%,79.20%,66.20%
0970011,Newtown School District,6,ELA,330,325,315,324,281,277,40.60%,36.30%,41.30%,44.40%,41.60%,41.20%,60.50%,52.90%,60.60%,64.90%,56.10%,58.40%
0970011,Newtown School District,6,Math,331,324,314,323,281,276,74.30%,49.70%,48.40%,57.30%,53.70%,50.70%,90.20%,69.10%,68.50%,75.60%,74.30%,70.60%
0970011,Newtown School District,7,ELA,370,333,324,321,275,292,41.40%,38.40%,46.00%,52.30%,45.80%,35.60%,58.20%,54.10%,65.80%,71.30%,63.40%,55.10%
0970011,Newtown School District,7,Math,369,333,324,321,274,291,57.20%,51.40%,53.40%,61.40%,56.90%,43.30%,73.60%,67.80%,69.80%,76.60%,73.90%,58.30%
0970011,Newtown School District,8,ELA,396,380,342,329,267,284,48.00%,29.20%,51.50%,41.30%,54.70%,38.40%,61.50%,42.60%,66.90%,59.10%,72.10%,50.00%
0970011,Newtown School District,8,Math,394,379,341,329,267,284,49.50%,45.40%,43.70%,46.80%,50.90%,38.40%,64.60%,57.70%,57.10%,61.20%,64.00%,50.50%
0980011,Norfolk School District,4,ELA,16,13,11,12,6,*,*,*,*,*,*,*,*,*,*,*,*,*
0980011,Norfolk School District,4,Math,16,13,11,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0980011,Norfolk School District,5,ELA,10,14,13,12,12,*,*,*,*,*,*,*,*,*,*,*,*,*
0980011,Norfolk School District,5,Math,10,14,13,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0980011,Norfolk School District,6,ELA,18,11,15,12,12,16,*,*,*,*,*,*,*,*,*,*,*,*
0980011,Norfolk School District,6,Math,18,11,15,12,12,16,*,*,*,*,*,*,*,*,*,*,*,*
0990011,North Branford School District,4,ELA,125,111,126,145,99,105,38.40%,24.30%,44.40%,37.20%,43.40%,25.70%,64.40%,46.00%,69.10%,65.70%,66.70%,52.80%
0990011,North Branford School District,4,Math,125,111,126,145,99,105,36.00%,27.90%,54.80%,46.90%,76.80%,58.10%,65.60%,58.60%,74.30%,79.30%,97.50%,86.90%
0990011,North Branford School District,5,ELA,140,125,118,127,124,104,45.70%,32.80%,28.00%,27.60%,61.30%,54.80%,65.90%,54.30%,52.40%,51.60%,88.00%,77.60%
0990011,North Branford School District,5,Math,140,124,118,127,124,104,65.00%,65.30%,36.40%,39.40%,66.10%,47.10%,85.80%,87.40%,63.60%,56.50%,91.40%,68.60%
0990011,North Branford School District,6,ELA,139,135,126,125,107,123,41.70%,31.10%,23.00%,33.60%,28.00%,28.50%,57.80%,46.80%,37.70%,51.00%,41.40%,44.20%
0990011,North Branford School District,6,Math,139,135,126,124,107,123,45.30%,25.90%,29.40%,38.70%,48.60%,45.50%,65.30%,43.80%,44.20%,58.50%,67.30%,67.00%
0990011,North Branford School District,7,ELA,148,134,143,128,142,105,45.30%,29.10%,35.00%,25.00%,33.80%,33.30%,66.30%,47.70%,53.30%,40.80%,55.10%,48.60%
0990011,North Branford School District,7,Math,149,134,143,128,141,105,33.60%,25.40%,32.20%,38.30%,44.70%,32.40%,52.30%,47.80%,49.90%,53.70%,63.70%,47.30%
0990011,North Branford School District,8,ELA,153,145,135,145,121,139,44.40%,35.20%,48.90%,28.30%,44.60%,36.00%,67.10%,49.70%,63.80%,45.70%,64.90%,55.70%
0990011,North Branford School District,8,Math,152,144,135,144,121,139,47.40%,47.20%,45.90%,44.40%,47.10%,48.90%,62.80%,62.90%,59.90%,63.00%,62.20%,58.30%
1000011,North Canaan School District,4,ELA,19,37,30,14,24,21,*,40.50%,36.70%,*,20.80%,52.40%,*,63.20%,59.40%,*,57.00%,81.30%
1000011,North Canaan School District,4,Math,19,37,30,14,24,21,*,45.90%,23.30%,*,33.30%,71.40%,*,66.70%,60.10%,*,73.40%,90.20%
1000011,North Canaan School District,5,ELA,19,17,37,28,36,24,*,*,24.30%,60.70%,41.70%,50.00%,*,*,63.10%,79.80%,68.30%,70.50%
1000011,North Canaan School District,5,Math,19,17,37,28,36,24,*,*,18.90%,39.30%,33.30%,29.20%,*,*,32.40%,62.00%,63.00%,48.60%
1000011,North Canaan School District,6,ELA,30,21,17,33,21,35,43.30%,28.60%,*,33.30%,38.10%,40.00%,66.60%,54.30%,*,56.60%,53.70%,58.00%
1000011,North Canaan School District,6,Math,30,21,17,33,21,35,46.70%,23.80%,*,45.50%,38.10%,51.40%,72.50%,49.20%,*,74.20%,60.00%,74.40%
1000011,North Canaan School District,7,ELA,24,30,24,19,19,21,79.20%,46.70%,66.70%,*,*,71.40%,93.60%,63.80%,79.40%,*,*,79.60%
1000011,North Canaan School District,7,Math,24,30,24,19,19,21,58.30%,43.30%,37.50%,*,*,71.40%,79.80%,56.80%,55.70%,*,*,86.80%
1000011,North Canaan School District,8,ELA,18,24,30,26,25,20,*,37.50%,63.30%,34.60%,68.00%,55.00%,*,50.00%,80.50%,44.30%,78.90%,64.00%
1000011,North Canaan School District,8,Math,18,24,30,26,24,20,*,33.30%,46.70%,42.30%,45.80%,40.00%,*,46.30%,61.60%,59.10%,62.10%,63.20%
1010011,North Haven School District,4,ELA,202,248,213,215,235,217,65.80%,40.70%,49.30%,52.10%,57.40%,48.40%,87.40%,63.90%,73.60%,71.90%,82.60%,72.00%
1010011,North Haven School District,4,Math,202,248,213,215,234,217,61.40%,38.70%,44.10%,57.20%,68.40%,59.00%,90.10%,68.70%,68.30%,79.70%,89.90%,85.20%
1010011,North Haven School District,5,ELA,218,208,254,218,232,246,55.00%,31.30%,42.90%,43.10%,47.40%,50.00%,81.40%,48.90%,65.40%,63.10%,68.70%,69.70%
1010011,North Haven School District,5,Math,219,208,253,218,232,246,58.40%,39.40%,54.20%,48.60%,54.30%,58.10%,84.80%,62.50%,72.60%,67.30%,73.90%,78.50%
1010011,North Haven School District,6,ELA,253,220,217,253,208,245,57.30%,44.50%,53.50%,49.00%,40.40%,39.60%,78.80%,64.60%,71.90%,67.00%,56.50%,56.50%
1010011,North Haven School District,6,Math,253,218,217,252,209,245,64.80%,48.60%,48.40%,41.30%,34.40%,31.40%,86.80%,67.00%,67.90%,55.90%,53.20%,45.10%
1010011,North Haven School District,7,ELA,212,257,221,223,221,207,74.10%,34.20%,29.40%,46.20%,38.00%,38.20%,91.60%,52.80%,45.20%,62.20%,56.70%,55.10%
1010011,North Haven School District,7,Math,213,254,219,222,217,207,86.40%,40.90%,43.40%,50.50%,56.70%,41.50%,100.00%,61.70%,59.80%,68.20%,74.10%,60.20%
1010011,North Haven School District,8,ELA,243,220,269,224,221,234,82.30%,32.70%,37.90%,43.30%,38.50%,38.00%,97.80%,46.70%,53.90%,58.90%,53.10%,53.30%
1010011,North Haven School District,8,Math,243,219,266,223,217,234,77.40%,50.20%,52.60%,63.20%,43.80%,44.40%,92.20%,63.70%,69.00%,76.30%,59.40%,62.30%
1020011,North Stonington School District,4,ELA,44,57,53,58,53,44,52.30%,28.10%,54.70%,58.60%,56.60%,50.00%,74.00%,50.00%,72.10%,73.60%,72.40%,77.60%
1020011,North Stonington School District,4,Math,44,57,53,58,53,44,56.80%,50.90%,41.50%,60.30%,60.40%,50.00%,74.60%,65.30%,62.30%,78.30%,84.80%,75.10%
1020011,North Stonington School District,5,ELA,56,46,58,55,54,56,73.20%,54.30%,60.30%,40.00%,50.00%,41.10%,90.50%,72.50%,77.90%,68.30%,72.00%,57.90%
1020011,North Stonington School District,5,Math,56,46,58,55,54,56,76.80%,67.40%,67.20%,70.90%,50.00%,55.40%,94.90%,84.70%,84.20%,91.10%,68.60%,75.20%
1020011,North Stonington School District,6,ELA,57,52,44,58,60,51,21.10%,40.40%,36.40%,37.90%,40.00%,33.30%,34.70%,53.70%,49.80%,49.20%,60.70%,49.60%
1020011,North Stonington School District,6,Math,57,52,44,58,60,51,15.80%,23.10%,25.00%,34.50%,50.00%,52.90%,29.30%,35.50%,33.50%,46.40%,72.80%,76.10%
1020011,North Stonington School District,7,ELA,58,60,57,47,55,57,63.80%,56.70%,43.90%,70.20%,40.00%,43.90%,77.50%,74.70%,65.60%,86.90%,62.40%,52.80%
1020011,North Stonington School District,7,Math,58,60,57,47,55,57,48.30%,50.00%,35.10%,44.70%,56.40%,54.40%,70.40%,76.20%,47.60%,58.10%,71.10%,69.20%
1020011,North Stonington School District,8,ELA,49,56,60,60,49,59,34.70%,41.10%,51.70%,46.70%,28.60%,23.70%,53.80%,58.20%,67.80%,60.00%,38.90%,33.60%
1020011,North Stonington School District,8,Math,49,56,60,60,49,59,51.00%,39.30%,41.70%,50.00%,34.70%,42.40%,70.90%,51.90%,57.00%,69.10%,49.40%,53.30%
1030011,Norwalk School District,4,ELA,813,824,807,838,767,758,41.90%,38.80%,47.50%,39.50%,40.90%,36.80%,66.90%,63.40%,71.40%,64.40%,65.00%,63.00%
1030011,Norwalk School District,4,Math,828,824,806,838,763,754,43.10%,45.00%,43.30%,47.00%,43.50%,42.20%,74.60%,73.50%,71.40%,73.00%,73.80%,71.40%
1030011,Norwalk School District,5,ELA,752,817,825,795,694,772,32.30%,33.50%,39.90%,36.90%,36.90%,36.90%,57.60%,56.10%,65.30%,60.10%,63.10%,61.40%
1030011,Norwalk School District,5,Math,766,817,824,794,688,767,36.40%,40.60%,40.50%,40.10%,44.50%,40.40%,56.90%,60.40%,59.70%,60.10%,66.10%,62.30%
1030011,Norwalk School District,6,ELA,788,751,821,801,750,683,28.70%,32.20%,32.40%,32.70%,31.10%,31.90%,47.80%,52.30%,51.20%,51.40%,50.30%,50.90%
1030011,Norwalk School District,6,Math,797,750,821,800,743,683,25.60%,41.60%,36.30%,31.60%,33.60%,42.60%,43.20%,61.40%,54.30%,50.70%,51.30%,61.00%
1030011,Norwalk School District,7,ELA,775,799,771,821,791,770,40.50%,42.30%,34.20%,46.00%,38.40%,33.40%,60.80%,63.70%,53.10%,67.80%,58.10%,53.70%
1030011,Norwalk School District,7,Math,783,796,770,821,765,762,44.70%,51.50%,43.10%,47.00%,54.60%,43.60%,64.20%,72.20%,62.00%,64.60%,73.20%,63.10%
1030011,Norwalk School District,8,ELA,721,796,817,770,748,819,34.30%,38.90%,34.80%,37.70%,34.50%,30.40%,53.00%,56.40%,52.70%,57.70%,49.10%,47.70%
1030011,Norwalk School District,8,Math,741,793,816,769,726,811,35.90%,39.30%,43.50%,40.20%,32.10%,30.50%,53.10%,55.20%,59.60%,55.20%,47.60%,43.90%
1040011,Norwich School District,4,ELA,323,330,342,315,325,312,42.70%,40.00%,33.60%,31.40%,31.70%,32.70%,68.20%,68.20%,57.70%,55.60%,56.40%,59.30%
1040011,Norwich School District,4,Math,331,330,340,316,321,309,41.70%,37.00%,26.20%,21.80%,29.90%,34.60%,72.10%,65.40%,52.30%,51.80%,57.60%,66.50%
1040011,Norwich School District,5,ELA,323,331,342,352,293,333,43.70%,29.30%,29.20%,28.70%,25.90%,36.60%,67.50%,57.20%,54.80%,53.40%,52.60%,61.80%
1040011,Norwich School District,5,Math,328,330,342,351,288,331,37.80%,33.30%,31.00%,31.10%,30.90%,44.40%,61.50%,58.10%,52.60%,54.10%,54.40%,65.70%
1040011,Norwich School District,6,ELA,308,296,285,335,307,283,31.50%,31.10%,24.60%,22.10%,19.90%,20.50%,53.50%,49.70%,43.30%,40.00%,37.00%,40.20%
1040011,Norwich School District,6,Math,308,295,283,335,300,281,37.70%,35.30%,26.10%,23.90%,15.30%,17.10%,56.40%,54.10%,42.60%,39.20%,28.00%,31.40%
1040011,Norwich School District,7,ELA,331,301,295,288,302,298,37.20%,34.90%,20.00%,23.60%,24.80%,26.80%,59.80%,53.50%,37.20%,40.90%,41.60%,44.80%
1040011,Norwich School District,7,Math,336,299,293,287,295,297,37.80%,29.10%,28.30%,23.70%,24.70%,37.70%,57.80%,46.80%,43.80%,39.20%,43.60%,57.00%
1040011,Norwich School District,8,ELA,344,345,309,317,296,308,34.30%,27.50%,25.60%,30.90%,23.30%,32.10%,53.20%,44.60%,40.90%,49.90%,40.10%,50.40%
1040011,Norwich School District,8,Math,340,345,308,315,291,304,33.50%,40.90%,31.50%,33.70%,23.40%,26.00%,50.70%,58.10%,46.30%,52.50%,35.40%,40.30%
2630013,Odyssey Community School District,4,ELA,38,36,35,36,31,33,47.40%,44.40%,31.40%,61.10%,51.60%,51.50%,73.60%,76.20%,63.80%,88.90%,79.30%,72.00%
2630013,Odyssey Community School District,4,Math,38,36,35,36,30,32,28.90%,55.60%,22.90%,63.90%,66.70%,62.50%,70.50%,80.60%,62.80%,89.80%,98.70%,95.60%
2630013,Odyssey Community School District,5,ELA,36,37,37,37,33,37,27.80%,18.90%,18.90%,48.60%,39.40%,32.40%,54.80%,31.90%,36.00%,73.30%,60.30%,51.10%
