"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0090011,Bethel School District,8,ELA,206,240,184,218,260,241,54.40%,25.00%,43.50%,45.90%,35.00%,42.70%,71.80%,37.40%,58.50%,65.30%,50.30%,58.60%
0090011,Bethel School District,8,Math,207,239,185,217,257,235,62.80%,41.80%,64.90%,52.10%,52.50%,69.40%,78.80%,57.70%,84.90%,67.60%,67.90%,85.20%
0110011,Bloomfield School District,4,ELA,99,133,97,115,99,103,32.30%,22.60%,34.00%,27.80%,50.50%,29.10%,62.10%,43.60%,58.10%,49.60%,77.50%,50.80%
0110011,Bloomfield School District,4,Math,100,133,96,115,99,102,49.00%,24.10%,33.30%,23.50%,40.40%,45.10%,78.70%,52.30%,65.70%,49.80%,76.70%,75.70%
0110011,Bloomfield School District,5,ELA,113,110,133,104,96,105,24.80%,27.30%,29.30%,17.30%,28.10%,18.10%,56.70%,45.50%,51.70%,38.20%,52.70%,35.60%
0110011,Bloomfield School District,5,Math,113,110,133,103,96,105,37.20%,19.10%,43.60%,28.20%,45.80%,17.10%,65.40%,40.60%,67.10%,47.20%,65.90%,34.40%
0110011,Bloomfield School District,6,ELA,113,136,121,154,130,113,46.00%,47.10%,36.40%,51.90%,61.50%,37.20%,68.40%,61.80%,57.40%,74.40%,79.80%,61.40%
0110011,Bloomfield School District,6,Math,113,136,121,154,130,111,58.40%,64.70%,57.90%,53.90%,55.40%,41.40%,78.80%,79.30%,74.20%,73.60%,79.80%,59.20%
0110011,Bloomfield School District,7,ELA,115,119,141,128,129,149,31.30%,29.40%,21.30%,30.50%,23.30%,20.10%,45.70%,43.80%,40.80%,53.10%,43.10%,36.00%
0110011,Bloomfield School District,7,Math,116,119,140,127,129,148,38.80%,18.50%,25.70%,24.40%,32.60%,39.20%,57.60%,30.40%,38.80%,44.00%,47.40%,54.80%
0110011,Bloomfield School District,8,ELA,123,125,126,140,127,142,46.30%,32.00%,34.10%,37.90%,31.50%,27.50%,68.00%,57.50%,60.00%,53.70%,51.90%,46.70%
0110011,Bloomfield School District,8,Math,123,125,127,140,126,141,35.00%,28.80%,43.30%,36.40%,36.50%,22.70%,49.90%,47.90%,59.40%,56.50%,48.00%,38.60%
0120011,Bolton School District,4,ELA,53,50,57,53,51,54,62.30%,38.00%,47.40%,50.90%,15.70%,31.50%,89.20%,58.60%,71.80%,77.80%,42.60%,40.60%
0120011,Bolton School District,4,Math,53,50,57,53,51,53,66.00%,32.00%,61.40%,43.40%,25.50%,22.60%,94.20%,58.20%,90.20%,73.70%,53.00%,41.30%
0120011,Bolton School District,5,ELA,66,54,54,59,48,55,53.00%,44.40%,55.60%,47.50%,41.70%,36.40%,71.80%,61.40%,82.40%,69.90%,64.90%,68.50%
0120011,Bolton School District,5,Math,66,54,54,59,47,54,42.40%,27.80%,79.60%,47.50%,72.30%,55.60%,62.40%,51.60%,93.70%,76.70%,87.10%,77.70%
0120011,Bolton School District,6,ELA,61,67,62,54,51,49,55.70%,38.80%,50.00%,35.20%,43.10%,51.00%,70.60%,55.20%,71.10%,56.50%,59.50%,73.00%
0120011,Bolton School District,6,Math,61,67,62,54,51,48,57.40%,55.20%,64.50%,40.70%,52.90%,52.10%,76.00%,71.60%,77.20%,57.80%,70.40%,76.50%
0120011,Bolton School District,7,ELA,60,59,66,61,50,55,53.30%,32.20%,47.00%,26.20%,46.00%,38.20%,74.30%,49.90%,61.80%,45.10%,71.20%,57.20%
0120011,Bolton School District,7,Math,60,59,66,61,50,54,53.30%,47.50%,56.10%,32.80%,62.00%,55.60%,75.40%,68.20%,76.30%,42.50%,86.40%,73.50%
0120011,Bolton School District,8,ELA,49,61,60,67,53,49,55.10%,27.90%,38.30%,40.30%,49.10%,28.60%,71.90%,37.20%,59.20%,48.70%,65.30%,47.30%
0120011,Bolton School District,8,Math,49,61,60,66,52,49,32.70%,21.30%,51.70%,45.50%,42.30%,24.50%,45.80%,37.80%,69.60%,57.40%,58.60%,39.70%
2950013,Booker T. Washington Academy District,4,ELA,*,*,28,39,54,57,*,*,21.40%,20.50%,14.80%,28.10%,*,*,50.20%,36.60%,44.00%,47.60%
2950013,Booker T. Washington Academy District,4,Math,*,*,28,39,54,57,*,*,7.10%,10.30%,25.90%,24.60%,*,*,20.30%,45.10%,59.80%,48.90%
2950013,Booker T. Washington Academy District,5,ELA,*,*,*,25,60,33,*,*,*,28.00%,26.70%,69.70%,*,*,*,51.30%,51.90%,97.40%
2950013,Booker T. Washington Academy District,5,Math,*,*,*,25,60,33,*,*,*,8.00%,30.00%,90.90%,*,*,*,36.40%,62.30%,100.00%
2950013,Booker T. Washington Academy District,6,ELA,*,*,*,*,53,50,*,*,*,*,37.70%,28.00%,*,*,*,*,67.50%,53.10%
2950013,Booker T. Washington Academy District,6,Math,*,*,*,*,53,50,*,*,*,*,45.30%,12.00%,*,*,*,*,63.60%,25.00%
2950013,Booker T. Washington Academy District,7,ELA,*,*,*,*,32,37,*,*,*,*,34.40%,29.70%,*,*,*,*,54.50%,58.20%
