"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2700013,Side By Side Charter School District,ELA,108,105,101,108,107,107,39.80%,36.20%,40.60%,39.80%,38.30%,39.30%,60.30%,57.90%,62.70%,64.10%,66.00%,62.50%
2700013,Side By Side Charter School District,Math,107,104,101,108,107,107,55.10%,55.80%,49.50%,51.90%,55.10%,53.30%,75.40%,76.90%,69.00%,76.20%,78.10%,76.50%
1280011,Simsbury School District,ELA,1554,1508,1460,1430,1405,1446,56.00%,48.20%,57.10%,52.50%,45.60%,47.90%,74.00%,64.60%,72.80%,69.50%,62.00%,64.40%
1280011,Simsbury School District,Math,1544,1499,1450,1428,1399,1441,53.60%,55.40%,49.80%,54.10%,55.80%,56.30%,73.80%,74.90%,67.30%,72.00%,73.10%,72.70%
1290011,Somers School District,ELA,536,556,524,486,435,481,46.80%,28.40%,32.60%,40.30%,39.30%,48.40%,66.60%,45.00%,52.00%,59.40%,60.10%,69.10%
1290011,Somers School District,Math,535,553,520,482,434,481,48.20%,34.90%,40.20%,46.90%,41.20%,53.20%,72.10%,56.00%,62.60%,69.80%,61.80%,73.60%
1320011,South Windsor School District,ELA,1512,1485,1533,1569,1792,1833,49.70%,42.20%,45.50%,43.80%,50.80%,44.50%,67.90%,57.90%,63.50%,61.50%,69.00%,60.30%
1320011,South Windsor School District,Math,1507,1481,1533,1568,1788,1820,54.90%,52.70%,51.10%,54.00%,54.40%,52.70%,75.50%,71.90%,68.80%,71.50%,70.90%,69.60%
1310011,Southington School District,ELA,2504,2494,2434,2406,2183,2212,39.60%,40.30%,38.40%,40.80%,38.40%,37.70%,59.60%,60.20%,58.90%,60.60%,58.40%,57.40%
1310011,Southington School District,Math,2501,2489,2432,2404,2171,2205,39.20%,44.20%,35.30%,45.80%,49.90%,45.90%,60.90%,65.30%,56.30%,66.70%,71.60%,66.00%
1330011,Sprague School District,ELA,164,157,149,141,132,129,42.70%,30.60%,36.90%,22.70%,28.00%,22.50%,61.80%,47.60%,58.90%,41.80%,50.40%,40.70%
1330011,Sprague School District,Math,165,157,149,141,131,128,35.80%,28.00%,34.20%,10.60%,55.00%,21.90%,59.70%,49.90%,54.80%,29.10%,75.80%,45.80%
1340011,Stafford School District,ELA,535,525,528,559,489,495,44.90%,32.20%,35.40%,33.80%,39.90%,30.70%,66.20%,51.40%,55.60%,53.40%,60.20%,50.60%
1340011,Stafford School District,Math,536,524,527,559,484,492,39.20%,24.40%,34.90%,42.80%,45.20%,35.80%,64.80%,43.60%,59.10%,64.30%,66.40%,58.00%
2960013,Stamford Charter School for Excellence District,ELA,*,*,*,49,198,226,*,*,*,65.30%,63.60%,45.10%,*,*,*,89.80%,79.50%,58.80%
2960013,Stamford Charter School for Excellence District,Math,*,*,*,49,198,226,*,*,*,49.00%,74.70%,58.00%,*,*,*,74.10%,89.40%,72.20%
1350011,Stamford School District,ELA,5238,5453,5537,5534,5271,5497,41.70%,36.70%,37.50%,36.60%,36.00%,32.20%,63.00%,57.30%,59.70%,57.00%,56.60%,52.60%
1350011,Stamford School District,Math,5311,5440,5519,5523,5218,5468,39.80%,44.50%,38.30%,38.80%,39.30%,37.30%,61.60%,65.50%,58.20%,59.20%,58.20%,56.40%
1360011,Sterling School District,ELA,227,203,188,187,166,146,41.40%,25.60%,42.00%,27.30%,26.50%,35.60%,64.40%,41.50%,62.80%,44.20%,50.00%,56.20%
1360011,Sterling School District,Math,226,203,186,186,165,146,45.60%,22.20%,42.50%,28.50%,29.10%,24.70%,66.50%,38.50%,68.20%,47.50%,50.40%,42.00%
1370011,Stonington School District,ELA,756,772,748,726,621,603,45.20%,41.60%,41.70%,48.80%,43.20%,40.10%,61.40%,59.00%,58.80%,67.20%,60.80%,57.20%
1370011,Stonington School District,Math,756,771,746,725,617,601,47.80%,42.00%,38.20%,51.30%,56.10%,46.90%,69.20%,60.00%,54.40%,69.70%,73.00%,64.10%
1380011,Stratford School District,ELA,2542,2575,2530,2481,2208,2332,39.30%,33.70%,34.80%,35.20%,38.50%,32.80%,60.50%,54.40%,55.90%,56.90%,58.60%,53.90%
1380011,Stratford School District,Math,2540,2574,2525,2479,2167,2301,44.90%,32.90%,35.00%,37.60%,41.30%,31.90%,65.40%,53.20%,55.90%,58.60%,61.80%,51.90%
1390011,Suffield School District,ELA,814,794,767,712,645,685,43.50%,35.50%,42.90%,46.50%,42.60%,37.20%,61.30%,53.10%,62.00%,65.80%,62.80%,54.70%
1390011,Suffield School District,Math,813,788,759,712,644,686,42.40%,40.50%,47.20%,53.70%,62.00%,45.50%,63.90%,62.00%,67.40%,73.90%,82.10%,65.70%
2690013,The Bridge Academy District,ELA,97,89,86,90,97,93,25.80%,28.10%,37.20%,36.70%,33.00%,29.00%,45.00%,46.40%,59.70%,51.90%,55.40%,53.80%
2690013,The Bridge Academy District,Math,97,88,85,89,96,93,49.50%,39.80%,31.80%,39.30%,44.80%,33.30%,70.30%,63.10%,51.30%,54.50%,58.30%,49.40%
9020022,The Gilbert School District,ELA,157,150,152,141,141,125,27.40%,30.00%,26.30%,46.80%,29.80%,24.00%,43.70%,47.60%,43.70%,66.80%,46.70%,44.30%
9020022,The Gilbert School District,Math,156,148,153,139,143,124,37.80%,15.50%,37.30%,46.80%,20.30%,16.10%,54.60%,28.80%,55.30%,66.70%,30.50%,23.40%
1400011,Thomaston School District,ELA,372,366,317,309,290,303,39.80%,46.20%,39.70%,40.10%,43.40%,30.70%,64.40%,68.60%,59.80%,60.60%,61.70%,51.40%
1400011,Thomaston School District,Math,374,366,317,307,278,301,37.70%,32.50%,33.40%,44.60%,54.30%,39.50%,60.00%,53.10%,58.00%,65.70%,74.60%,59.60%
1410011,Thompson School District,ELA,371,376,362,347,325,326,25.10%,35.10%,24.60%,25.60%,36.30%,24.80%,44.50%,55.70%,44.20%,45.50%,57.60%,43.10%
1410011,Thompson School District,Math,369,376,361,344,325,321,27.40%,36.70%,25.80%,24.70%,39.10%,29.90%,48.90%,58.90%,49.00%,43.90%,58.50%,51.40%
1420011,Tolland School District,ELA,1007,947,896,853,751,757,45.80%,35.90%,36.80%,35.90%,41.00%,44.30%,64.50%,53.90%,56.40%,53.50%,59.10%,62.80%
1420011,Tolland School District,Math,1007,944,895,849,747,755,48.70%,40.30%,37.50%,46.10%,55.30%,63.80%,70.00%,59.90%,57.60%,67.10%,75.40%,82.10%
1430011,Torrington School District,ELA,1501,1542,1565,1482,1399,1423,30.90%,26.70%,36.00%,34.30%,41.20%,34.90%,51.50%,47.30%,56.70%,53.00%,61.90%,54.40%
1430011,Torrington School District,Math,1499,1533,1556,1480,1354,1408,31.60%,26.40%,37.00%,35.90%,41.00%,34.40%,53.30%,48.00%,59.30%,57.00%,62.00%,54.80%
2780013,Trailblazers Academy District,ELA,105,108,95,104,*,*,21.90%,13.00%,35.80%,33.70%,*,*,41.90%,28.60%,61.50%,53.80%,*,*
2780013,Trailblazers Academy District,Math,104,107,94,104,*,*,21.20%,22.40%,17.00%,16.30%,*,*,35.60%,36.40%,32.00%,37.00%,*,*
1440011,Trumbull School District,ELA,2341,2451,2489,2420,2377,2471,68.70%,50.50%,52.80%,51.70%,53.30%,51.20%,86.50%,67.10%,69.50%,68.60%,71.10%,68.60%
1440011,Trumbull School District,Math,2346,2446,2485,2415,2372,2465,69.60%,56.50%,55.50%,54.00%,60.10%,57.10%,88.90%,74.00%,73.50%,72.80%,78.70%,74.80%
3470015,Unified School District #2,ELA,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3470015,Unified School District #2,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1450011,Union School District,ELA,39,38,29,24,25,28,46.20%,39.50%,48.30%,54.20%,28.00%,28.60%,63.90%,59.60%,71.90%,68.60%,51.40%,44.20%
1450011,Union School District,Math,39,38,29,24,25,28,56.40%,42.10%,44.80%,50.00%,12.00%,42.90%,73.90%,56.20%,73.90%,65.70%,31.30%,60.60%
1460011,Vernon School District,ELA,1075,1109,1089,1091,1017,1009,40.30%,38.70%,29.40%,44.70%,40.70%,42.60%,60.70%,60.60%,49.30%,65.80%,61.70%,63.10%
1460011,Vernon School District,Math,1072,1104,1086,1081,988,999,42.80%,44.60%,39.70%,44.30%,52.20%,44.30%,66.10%,66.40%,58.00%,64.90%,72.30%,65.40%
1470011,Voluntown School District,ELA,144,138,136,134,128,112,36.80%,37.00%,41.20%,48.50%,39.10%,29.50%,58.40%,59.50%,59.60%,69.90%,58.50%,53.00%
1470011,Voluntown School District,Math,144,138,136,134,127,112,50.00%,52.90%,44.10%,60.40%,48.00%,36.60%,75.20%,74.40%,65.40%,79.80%,72.80%,53.60%
1480011,Wallingford School District,ELA,2165,2105,2056,1996,1818,1837,44.30%,32.70%,31.40%,37.80%,37.00%,33.00%,65.80%,54.00%,51.80%,58.50%,57.50%,53.70%
1480011,Wallingford School District,Math,2170,2102,2028,1978,1798,1821,38.00%,32.70%,32.40%,35.00%,37.60%,37.70%,60.40%,55.90%,52.90%,56.40%,58.10%,57.60%
1510011,Waterbury School District,ELA,6297,6452,6433,6526,5772,6100,33.20%,26.00%,27.70%,34.20%,35.90%,28.00%,57.00%,47.70%,50.80%,57.80%,58.60%,50.60%
1510011,Waterbury School District,Math,6354,6447,6416,6517,5607,6051,30.50%,30.90%,30.60%,32.60%,35.10%,31.20%,51.60%,51.80%,50.90%,53.80%,54.60%,51.90%
1520011,Waterford School District,ELA,968,957,950,912,866,840,44.10%,34.80%,40.60%,46.10%,42.70%,32.30%,63.80%,54.40%,59.10%,64.30%,63.40%,50.30%
1520011,Waterford School District,Math,969,958,950,912,858,836,46.20%,37.70%,41.90%,55.60%,52.30%,38.50%,66.40%,58.00%,62.00%,74.80%,74.30%,59.10%
1530011,Watertown School District,ELA,1045,1045,1053,1023,909,922,45.60%,40.60%,44.50%,38.20%,38.50%,31.00%,67.70%,61.10%,64.70%,57.60%,59.90%,51.30%
1530011,Watertown School District,Math,1045,1041,1050,1020,904,920,36.70%,44.90%,42.40%,37.20%,51.70%,36.50%,59.40%,67.20%,63.50%,56.10%,72.80%,57.20%
1550011,West Hartford School District,ELA,3498,3552,3529,3415,3113,3168,44.40%,43.40%,44.60%,46.90%,47.10%,42.00%,62.50%,61.60%,63.60%,65.80%,66.10%,60.40%
1550011,West Hartford School District,Math,3494,3542,3522,3403,3037,3141,45.90%,48.00%,46.60%,49.00%,49.50%,50.70%,65.80%,68.00%,66.10%,67.40%,67.80%,68.70%
1560011,West Haven School District,ELA,2003,2010,2100,2083,1817,2002,38.40%,33.60%,34.60%,38.60%,36.30%,37.10%,61.10%,55.90%,56.10%,59.70%,60.60%,59.40%
1560011,West Haven School District,Math,2014,2006,2095,2072,1777,1981,47.00%,40.00%,39.60%,42.20%,44.20%,44.30%,69.50%,62.70%,61.10%,62.20%,63.20%,63.30%
1540011,Westbrook School District,ELA,258,267,277,235,193,195,50.40%,52.40%,49.50%,52.80%,48.70%,42.60%,71.20%,71.30%,70.40%,71.20%,68.90%,62.60%
1540011,Westbrook School District,Math,260,267,277,235,193,195,60.80%,69.30%,45.80%,56.20%,58.00%,63.10%,82.30%,88.40%,65.00%,78.30%,80.50%,83.90%
1570011,Weston School District,ELA,885,867,872,861,793,780,49.30%,39.20%,48.70%,45.20%,48.40%,52.40%,69.00%,56.40%,68.20%,64.70%,66.30%,68.30%
1570011,Weston School District,Math,883,865,870,856,792,779,46.30%,52.70%,57.10%,58.20%,59.20%,58.00%,66.00%,70.80%,77.50%,75.10%,76.30%,73.20%
1580011,Westport School District,ELA,2063,2038,2013,1943,1819,1876,46.80%,45.60%,55.20%,50.50%,45.50%,46.70%,63.80%,62.10%,71.40%,66.80%,62.40%,62.90%
1580011,Westport School District,Math,2063,2030,2010,1943,1816,1870,50.60%,54.30%,66.70%,65.80%,58.30%,61.70%,69.40%,71.00%,83.90%,81.30%,75.30%,77.20%
1590011,Wethersfield School District,ELA,1283,1292,1310,1293,1294,1316,55.00%,40.80%,39.20%,41.50%,40.40%,37.40%,74.00%,60.20%,58.70%,61.80%,60.70%,56.30%
1590011,Wethersfield School District,Math,1283,1290,1309,1289,1286,1314,59.80%,48.80%,48.10%,48.00%,46.70%,40.90%,79.90%,69.20%,67.00%,67.20%,66.10%,61.30%
1600011,Willington School District,ELA,218,219,224,227,195,198,47.70%,40.20%,46.90%,26.90%,33.30%,37.40%,69.20%,60.70%,68.30%,46.60%,53.50%,56.80%
1600011,Willington School District,Math,218,219,224,227,192,197,45.90%,46.10%,42.90%,42.70%,51.00%,46.20%,70.50%,72.60%,66.30%,62.50%,72.30%,70.20%
1610011,Wilton School District,ELA,1591,1547,1471,1456,1304,1325,56.30%,41.70%,51.90%,49.70%,57.70%,52.30%,74.70%,58.20%,69.30%,66.30%,75.30%,68.80%
1610011,Wilton School District,Math,1590,1544,1470,1454,1290,1312,59.90%,53.60%,55.70%,53.40%,71.90%,68.80%,80.50%,73.10%,74.40%,73.30%,90.00%,84.40%
1620011,Winchester School District,ELA,217,224,207,207,199,219,40.10%,33.90%,37.20%,39.10%,39.70%,35.60%,62.80%,56.40%,61.30%,61.50%,60.80%,57.30%
1620011,Winchester School District,Math,218,222,206,207,197,219,35.80%,31.50%,58.30%,51.20%,52.80%,37.00%,57.90%,55.20%,79.10%,75.20%,77.70%,57.90%
1630011,Windham School District,ELA,1129,1228,1266,1268,990,1196,43.80%,32.70%,29.50%,32.50%,31.20%,32.40%,66.90%,54.10%,50.50%,55.50%,53.00%,56.20%
1630011,Windham School District,Math,1130,1217,1263,1261,968,1185,42.60%,33.20%,36.60%,35.90%,39.60%,38.10%,64.80%,54.50%,57.10%,56.90%,60.50%,59.30%
1650011,Windsor Locks School District,ELA,582,550,527,516,485,528,43.30%,33.80%,38.90%,30.00%,42.90%,40.90%,66.70%,52.30%,61.90%,49.90%,64.00%,62.90%
1650011,Windsor Locks School District,Math,568,543,527,514,485,528,46.00%,37.00%,34.30%,36.60%,47.60%,42.00%,66.50%,57.60%,53.60%,58.10%,66.30%,61.60%
1640011,Windsor School District,ELA,1024,1051,1065,1077,1031,1066,35.40%,34.30%,31.50%,38.50%,40.20%,36.80%,55.90%,56.00%,51.50%,60.80%,61.90%,58.00%
1640011,Windsor School District,Math,1025,1049,1057,1065,1010,1049,39.70%,42.30%,35.00%,51.00%,49.10%,41.20%,63.90%,64.80%,55.10%,72.90%,69.70%,61.90%
1660011,Wolcott School District,ELA,899,842,839,819,777,776,44.50%,30.50%,51.10%,40.90%,40.40%,36.20%,64.20%,48.90%,70.80%,59.20%,60.60%,53.80%
1660011,Wolcott School District,Math,899,842,839,819,768,773,50.10%,41.40%,47.60%,47.70%,45.80%,42.60%,72.20%,59.70%,69.60%,66.20%,64.80%,62.70%
1670011,Woodbridge School District,ELA,286,284,324,334,358,353,64.30%,50.00%,50.30%,58.40%,61.50%,61.20%,82.20%,67.70%,70.70%,78.60%,79.60%,79.00%
1670011,Woodbridge School District,Math,286,283,320,330,356,354,65.70%,53.40%,52.50%,67.90%,64.90%,64.70%,87.30%,74.20%,72.00%,85.70%,84.80%,82.70%
1690011,Woodstock School District,ELA,457,452,450,441,397,387,42.20%,27.40%,41.60%,36.10%,43.60%,38.00%,60.60%,43.40%,61.30%,55.20%,65.00%,59.60%
1690011,Woodstock School District,Math,457,447,446,440,397,387,37.20%,24.60%,45.30%,38.60%,48.90%,45.20%,58.70%,43.20%,66.00%,58.20%,73.00%,68.20%
