"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0260011,Chester School District,Math,100,89,84,82,79,84,55.00%,61.80%,46.40%,67.10%,69.60%,48.80%,74.40%,80.70%,69.70%,83.20%,90.30%,67.40%
0270011,Clinton School District,ELA,725,696,683,659,514,497,43.00%,32.50%,29.30%,41.60%,36.60%,29.80%,63.40%,53.00%,47.60%,61.70%,57.70%,50.70%
0270011,Clinton School District,Math,727,696,687,659,512,495,48.60%,44.30%,32.80%,52.00%,42.40%,43.80%,69.80%,66.20%,52.40%,74.10%,62.60%,67.80%
0280011,Colchester School District,ELA,935,890,867,826,734,729,48.40%,36.90%,42.40%,40.90%,39.10%,39.20%,69.20%,55.30%,64.10%,60.30%,58.30%,58.60%
0280011,Colchester School District,Math,935,889,867,825,735,727,42.60%,57.00%,54.40%,54.40%,56.30%,56.00%,61.90%,76.60%,75.20%,76.10%,76.60%,76.30%
0290011,Colebrook School District,ELA,31,30,33,35,38,32,61.30%,26.70%,39.40%,65.70%,39.50%,40.60%,81.50%,41.10%,60.60%,77.30%,64.10%,62.60%
0290011,Colebrook School District,Math,31,30,33,35,38,32,35.50%,43.30%,30.30%,51.40%,47.40%,53.10%,62.70%,71.70%,58.00%,66.10%,69.30%,75.60%
0300011,Columbia School District,ELA,228,214,215,201,208,230,47.40%,30.40%,47.40%,46.30%,35.10%,36.50%,67.30%,48.90%,65.10%,66.20%,59.60%,58.80%
0300011,Columbia School District,Math,227,214,214,198,209,228,37.40%,41.10%,34.60%,31.30%,56.50%,38.60%,60.90%,64.90%,56.50%,53.90%,78.70%,58.90%
2430014,Cooperative Educational Services,ELA,267,255,259,243,222,227,36.00%,27.10%,39.40%,37.90%,36.50%,28.20%,58.80%,46.00%,61.80%,60.20%,63.10%,52.30%
2430014,Cooperative Educational Services,Math,268,255,259,244,220,226,37.70%,34.10%,42.50%,39.30%,45.50%,34.50%,58.00%,54.50%,61.90%,61.30%,64.50%,56.30%
0310011,Cornwall School District,ELA,45,39,38,42,55,42,44.40%,48.70%,50.00%,57.10%,52.70%,40.50%,64.70%,63.70%,71.70%,73.20%,75.70%,60.90%
0310011,Cornwall School District,Math,45,39,38,42,55,42,46.70%,46.20%,36.80%,76.20%,60.00%,52.40%,65.70%,64.00%,56.80%,86.00%,77.30%,70.00%
0320011,Coventry School District,ELA,606,606,613,596,621,585,54.60%,46.20%,53.00%,54.40%,46.10%,46.30%,76.60%,64.30%,71.60%,72.10%,65.70%,63.50%
0320011,Coventry School District,Math,605,600,606,594,611,583,52.10%,52.50%,47.00%,51.50%,39.80%,52.00%,75.40%,74.30%,68.80%,71.20%,58.10%,68.50%
0330011,Cromwell School District,ELA,753,757,736,768,748,745,44.20%,34.90%,50.10%,46.00%,40.60%,33.60%,66.30%,53.70%,71.00%,67.70%,60.80%,53.60%
0330011,Cromwell School District,Math,752,752,735,767,741,739,37.90%,48.80%,58.20%,53.80%,42.50%,38.80%,59.00%,69.80%,78.20%,76.70%,63.00%,58.70%
0340011,Danbury School District,ELA,3676,3955,3991,4092,4038,4208,41.30%,31.70%,38.40%,35.30%,37.30%,33.40%,63.90%,52.40%,60.30%,57.20%,59.30%,55.20%
0340011,Danbury School District,Math,3734,3943,3981,4075,3994,4198,42.80%,36.60%,35.90%,37.50%,41.40%,36.20%,64.50%,58.10%,56.80%,56.80%,61.00%,57.20%
0350011,Darien School District,ELA,1808,1763,1786,1763,1724,1655,59.20%,49.90%,53.80%,56.10%,52.30%,49.40%,76.30%,66.40%,69.80%,71.90%,68.30%,65.10%
0350011,Darien School District,Math,1809,1760,1783,1762,1717,1648,68.00%,61.10%,65.50%,69.20%,58.50%,61.20%,86.10%,77.00%,81.50%,84.70%,74.60%,78.10%
0360011,Deep River School District,ELA,146,140,128,109,86,78,48.60%,50.00%,52.30%,41.30%,38.40%,41.00%,67.50%,70.50%,69.60%,63.40%,57.20%,59.30%
0360011,Deep River School District,Math,146,140,128,109,86,78,50.70%,55.00%,47.70%,56.00%,54.70%,34.60%,73.00%,78.40%,75.80%,78.50%,75.60%,57.00%
0370011,Derby School District,ELA,520,530,533,516,398,435,31.50%,24.00%,28.70%,28.50%,30.20%,32.20%,52.80%,43.60%,50.30%,48.80%,48.60%,53.40%
0370011,Derby School District,Math,520,529,532,517,388,432,22.90%,24.20%,32.50%,34.80%,32.00%,21.50%,45.20%,46.30%,52.80%,55.70%,52.70%,39.80%
0400011,East Granby School District,ELA,310,325,321,327,317,315,40.60%,49.80%,44.90%,55.00%,46.40%,44.80%,59.80%,68.50%,61.50%,72.10%,68.30%,64.20%
0400011,East Granby School District,Math,310,321,317,325,315,314,50.30%,43.30%,50.50%,54.20%,51.70%,45.50%,70.60%,62.20%,66.40%,71.50%,67.80%,66.00%
0410011,East Haddam School District,ELA,394,371,346,350,341,363,48.20%,42.90%,40.80%,45.70%,38.70%,38.60%,64.30%,63.20%,58.20%,66.30%,54.40%,54.40%
0410011,East Haddam School District,Math,392,370,346,345,335,361,32.40%,45.40%,33.20%,47.00%,34.60%,36.60%,52.40%,67.20%,54.20%,66.40%,56.70%,59.10%
0420011,East Hampton School District,ELA,648,687,723,703,660,659,34.40%,39.30%,35.40%,36.70%,35.60%,42.60%,53.30%,60.70%,56.10%,57.20%,55.80%,63.00%
0420011,East Hampton School District,Math,644,687,723,702,658,654,34.60%,39.40%,36.90%,43.30%,39.70%,31.30%,55.10%,64.00%,58.00%,65.90%,61.20%,52.80%
0430011,East Hartford School District,ELA,2192,2179,2305,2248,1934,1927,36.00%,29.60%,37.00%,35.80%,41.20%,36.20%,59.50%,52.10%,60.70%,58.50%,64.20%,58.80%
0430011,East Hartford School District,Math,2195,2115,2227,2227,1887,1907,26.70%,28.70%,36.40%,33.80%,48.90%,41.50%,48.10%,51.50%,58.40%,54.50%,68.40%,64.20%
0440011,East Haven School District,ELA,1059,1017,947,962,891,939,42.50%,27.90%,34.50%,36.00%,36.90%,32.90%,67.60%,47.50%,54.50%,58.20%,57.80%,53.70%
0440011,East Haven School District,Math,1059,1014,946,957,880,934,37.70%,30.10%,30.10%,32.20%,37.50%,34.60%,61.00%,51.00%,50.90%,54.60%,57.50%,55.80%
0450011,East Lyme School District,ELA,961,955,942,897,827,817,47.00%,38.40%,47.60%,45.30%,41.80%,42.80%,64.90%,56.30%,65.90%,63.30%,60.70%,61.70%
0450011,East Lyme School District,Math,957,954,942,897,826,812,50.40%,43.20%,43.20%,45.30%,47.00%,45.70%,70.70%,62.00%,60.50%,63.10%,64.70%,62.70%
0470011,East Windsor School District,ELA,345,351,357,360,340,354,33.30%,29.10%,32.50%,31.10%,43.50%,36.40%,58.40%,51.40%,56.40%,54.50%,64.80%,57.80%
