"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0230011,Canton School District,0230311,Canton Intermediate School,5,ELA,129,118,115,109,103,92,49.60%,48.30%,41.70%,43.10%,40.80%,42.40%,73.20%,66.70%,61.10%,64.30%,60.60%,60.90%
0230011,Canton School District,0230311,Canton Intermediate School,5,Math,129,117,114,109,103,90,55.00%,31.60%,44.70%,47.70%,33.00%,30.00%,76.50%,51.00%,66.00%,66.60%,54.20%,47.60%
0230011,Canton School District,0230311,Canton Intermediate School,6,ELA,131,131,118,114,105,104,55.00%,38.90%,40.70%,43.00%,42.90%,37.50%,75.50%,57.10%,61.80%,59.30%,59.10%,55.30%
0230011,Canton School District,0230311,Canton Intermediate School,6,Math,131,131,117,114,104,103,58.00%,58.80%,70.90%,55.30%,48.10%,46.60%,81.30%,77.80%,89.20%,73.20%,68.20%,67.60%
0230011,Canton School District,0235111,Canton Middle School,7,ELA,135,138,125,123,117,115,46.70%,31.20%,44.00%,30.90%,35.00%,39.10%,65.10%,53.50%,62.30%,47.60%,53.00%,57.30%
0230011,Canton School District,0235111,Canton Middle School,7,Math,135,137,125,123,117,115,56.30%,48.20%,42.40%,33.30%,25.60%,42.60%,76.20%,62.70%,55.60%,43.80%,38.80%,58.20%
0230011,Canton School District,0235111,Canton Middle School,8,ELA,135,134,135,122,107,119,56.30%,32.80%,44.40%,48.40%,19.60%,35.30%,72.90%,48.30%,59.90%,64.80%,33.50%,51.70%
0230011,Canton School District,0235111,Canton Middle School,8,Math,135,134,134,121,106,118,64.40%,55.20%,64.90%,62.00%,27.40%,39.80%,82.10%,69.20%,79.30%,74.20%,38.20%,56.60%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,4,ELA,*,*,19,40,51,65,*,*,*,40.00%,47.10%,50.80%,*,*,*,64.30%,67.30%,76.60%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,4,Math,*,*,19,40,51,65,*,*,*,50.00%,43.10%,47.70%,*,*,*,81.90%,73.00%,78.80%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,5,ELA,*,*,27,47,44,65,*,*,37.00%,21.30%,34.10%,33.80%,*,*,55.10%,49.00%,62.70%,58.60%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,5,Math,*,*,27,47,43,65,*,*,51.90%,31.90%,39.50%,26.20%,*,*,71.20%,55.40%,62.80%,51.90%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,6,ELA,26,30,32,46,46,54,30.80%,43.30%,53.10%,34.80%,41.30%,40.70%,51.10%,72.00%,79.90%,58.60%,68.40%,64.70%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,6,Math,26,30,32,45,46,54,15.40%,70.00%,46.90%,42.20%,37.00%,48.10%,33.60%,79.90%,69.40%,60.10%,52.20%,69.40%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,7,ELA,32,32,28,42,47,55,31.30%,53.10%,39.30%,14.30%,29.80%,40.00%,45.70%,71.60%,63.60%,34.90%,51.40%,54.50%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,7,Math,32,32,28,42,47,55,9.40%,87.50%,46.40%,45.20%,57.40%,50.90%,32.10%,99.10%,61.30%,61.30%,73.20%,69.20%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,8,ELA,30,34,32,44,67,57,43.30%,58.80%,37.50%,25.00%,34.30%,35.10%,73.50%,77.70%,57.70%,49.70%,54.10%,56.50%
2970013,Capital Preparatory Harbor School District,2970113,Capital Preparatory Harbor School,8,Math,29,34,32,44,67,57,17.20%,79.40%,15.60%,50.00%,32.80%,10.50%,29.30%,91.10%,42.10%,65.70%,49.60%,26.30%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,6,ELA,117,103,111,115,111,105,35.00%,23.30%,23.40%,27.80%,19.80%,21.00%,54.60%,43.80%,39.80%,41.90%,37.90%,37.80%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,6,Math,111,100,108,115,110,104,36.00%,22.00%,28.70%,7.80%,12.70%,12.50%,54.20%,36.40%,39.70%,17.20%,29.60%,22.20%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,7,ELA,105,117,104,112,102,108,31.40%,43.60%,40.40%,43.80%,40.20%,25.90%,57.60%,61.80%,57.10%,62.50%,55.50%,42.60%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,7,Math,99,109,103,110,93,107,35.40%,26.60%,19.40%,26.40%,38.70%,25.20%,53.20%,47.60%,34.60%,40.90%,54.90%,41.10%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,8,ELA,105,103,115,107,82,102,35.20%,18.40%,22.60%,11.20%,26.80%,16.70%,48.90%,30.30%,38.70%,24.50%,40.20%,32.70%
2410014,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,8,Math,101,92,111,109,73,97,38.60%,27.20%,29.70%,23.90%,24.70%,18.60%,53.10%,38.60%,47.20%,37.50%,37.80%,34.90%
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,4,ELA,*,*,84,63,61,63,*,*,48.80%,57.10%,49.20%,52.40%,*,*,79.00%,83.70%,76.70%,71.50%
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,4,Math,*,*,84,63,60,63,*,*,53.60%,60.30%,56.70%,49.20%,*,*,81.90%,83.70%,80.50%,85.50%
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,5,ELA,*,*,*,82,61,65,*,*,*,41.50%,29.50%,36.90%,*,*,*,62.00%,51.10%,57.30%
2410014,Capitol Region Education Council,2410714,Academy of Aerospace and Engineering Elementary,5,Math,*,*,*,82,62,64,*,*,*,35.40%,37.10%,28.10%,*,*,*,55.10%,54.80%,52.70%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,6,ELA,*,*,*,*,153,185,*,*,*,*,35.90%,29.70%,*,*,*,*,57.40%,50.50%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,6,Math,*,*,*,*,147,183,*,*,*,*,28.60%,29.00%,*,*,*,*,45.80%,45.00%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,7,ELA,*,*,*,*,167,203,*,*,*,*,31.10%,35.00%,*,*,*,*,50.30%,54.20%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,7,Math,*,*,*,*,156,198,*,*,*,*,35.30%,38.90%,*,*,*,*,55.10%,58.10%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,8,ELA,*,*,*,*,181,184,*,*,*,*,32.00%,40.20%,*,*,*,*,50.80%,63.50%
2410014,Capitol Region Education Council,2415014,Academy of Computer Science and and Engineering Middle School,8,Math,*,*,*,*,167,174,*,*,*,*,15.60%,39.10%,*,*,*,*,31.00%,56.50%
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,6,ELA,209,204,202,198,*,*,27.30%,34.30%,36.60%,30.80%,*,*,44.00%,53.00%,56.90%,49.50%,*,*
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,6,Math,211,202,201,197,*,*,25.10%,40.10%,26.40%,20.30%,*,*,44.90%,58.20%,46.40%,39.10%,*,*
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,7,ELA,216,210,211,205,*,*,39.40%,58.10%,51.70%,54.60%,*,*,58.90%,79.70%,72.30%,78.60%,*,*
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,7,Math,214,210,209,205,*,*,29.90%,39.50%,28.20%,37.10%,*,*,48.40%,57.10%,43.40%,50.00%,*,*
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,8,ELA,197,206,204,204,*,*,36.50%,53.90%,39.70%,43.60%,*,*,55.50%,73.40%,58.20%,60.00%,*,*
2410014,Capitol Region Education Council,2415014,Two Rivers Magnet Middle School,8,Math,196,206,202,203,*,*,49.50%,46.60%,47.00%,43.30%,*,*,65.70%,64.70%,66.50%,59.00%,*,*
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,6,ELA,*,*,*,*,92,97,*,*,*,*,23.90%,34.00%,*,*,*,*,39.70%,52.90%
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,6,Math,*,*,*,*,90,96,*,*,*,*,11.10%,18.80%,*,*,*,*,22.60%,29.90%
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,7,ELA,*,*,*,*,89,98,*,*,*,*,32.60%,26.50%,*,*,*,*,48.70%,49.40%
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,7,Math,*,*,*,*,83,98,*,*,*,*,34.90%,43.90%,*,*,*,*,57.80%,58.30%
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,8,ELA,*,*,*,*,78,101,*,*,*,*,29.50%,36.60%,*,*,*,*,46.40%,58.70%
2410014,Capitol Region Education Council,2416114,Academy of International Studies 6-12,8,Math,*,*,*,*,70,99,*,*,*,*,12.90%,33.30%,*,*,*,*,25.20%,52.70%
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,6,ELA,89,102,84,110,*,*,40.40%,23.50%,45.20%,40.90%,*,*,61.30%,45.20%,60.50%,54.70%,*,*
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,6,Math,90,102,84,109,*,*,30.00%,22.50%,19.00%,9.20%,*,*,50.80%,40.90%,32.70%,28.60%,*,*
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,7,ELA,102,96,106,104,*,*,40.20%,29.20%,50.00%,37.50%,*,*,58.70%,50.30%,68.70%,55.30%,*,*
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,7,Math,103,96,106,105,*,*,35.00%,32.30%,28.30%,31.40%,*,*,60.70%,47.50%,43.80%,50.20%,*,*
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,8,ELA,104,97,87,109,*,*,47.10%,27.80%,29.90%,23.90%,*,*,64.90%,46.10%,47.40%,43.90%,*,*
2410014,Capitol Region Education Council,2416114,Metropolitan Learning Center for Global and International Studies,8,Math,101,98,87,109,*,*,34.70%,20.40%,44.80%,29.40%,*,*,54.30%,34.80%,61.80%,42.50%,*,*
2410014,Capitol Region Education Council,2410414,Academy of International Studies Elementary School,4,ELA,*,*,*,*,56,62,*,*,*,*,23.20%,22.60%,*,*,*,*,45.80%,45.10%
2410014,Capitol Region Education Council,2410414,Academy of International Studies Elementary School,4,Math,*,*,*,*,54,62,*,*,*,*,16.70%,32.30%,*,*,*,*,40.80%,66.30%
2410014,Capitol Region Education Council,2410414,Academy of International Studies Elementary School,5,ELA,*,*,*,*,60,63,*,*,*,*,16.70%,23.80%,*,*,*,*,41.10%,53.00%
2410014,Capitol Region Education Council,2410414,Academy of International Studies Elementary School,5,Math,*,*,*,*,58,62,*,*,*,*,27.60%,43.50%,*,*,*,*,42.50%,64.50%
2410014,Capitol Region Education Council,2410414,International Magnet School for Global Citizenship,4,ELA,61,60,47,61,*,*,45.90%,48.30%,31.90%,34.40%,*,*,70.40%,69.90%,60.30%,53.90%,*,*
2410014,Capitol Region Education Council,2410414,International Magnet School for Global Citizenship,4,Math,61,60,47,60,*,*,36.10%,48.30%,40.40%,20.00%,*,*,70.90%,73.50%,70.10%,49.90%,*,*
2410014,Capitol Region Education Council,2410414,International Magnet School for Global Citizenship,5,ELA,57,60,61,44,*,*,45.60%,35.00%,37.70%,31.80%,*,*,69.70%,66.10%,64.60%,60.10%,*,*
2410014,Capitol Region Education Council,2410414,International Magnet School for Global Citizenship,5,Math,57,60,61,44,*,*,45.60%,60.00%,45.90%,43.20%,*,*,65.10%,78.80%,64.60%,57.00%,*,*
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,6,ELA,42,77,55,121,102,103,26.20%,11.70%,32.70%,25.60%,20.60%,26.20%,43.80%,27.30%,38.00%,42.10%,39.80%,46.70%
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,6,Math,42,77,56,117,103,101,16.70%,29.90%,32.10%,22.20%,16.50%,26.70%,38.00%,47.40%,44.50%,35.80%,29.80%,43.50%
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,7,ELA,91,44,80,62,93,107,35.20%,25.00%,42.50%,37.10%,25.80%,26.20%,63.80%,39.50%,60.10%,59.20%,45.00%,45.40%
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,7,Math,92,44,82,62,93,104,21.70%,25.00%,24.40%,37.10%,36.60%,41.30%,39.10%,47.10%,43.60%,55.60%,56.20%,58.00%
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,8,ELA,62,84,48,99,92,110,59.70%,15.50%,39.60%,31.30%,23.90%,36.40%,81.30%,34.50%,56.70%,47.20%,43.90%,55.80%
2410014,Capitol Region Education Council,2416514,Academy of Science and Innovation,8,Math,62,84,47,95,89,109,29.00%,26.20%,19.10%,25.30%,13.50%,15.60%,51.80%,46.70%,39.70%,38.20%,26.20%,30.00%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,4,ELA,*,*,*,*,69,67,*,*,*,*,33.30%,47.80%,*,*,*,*,54.90%,80.80%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,4,Math,*,*,*,*,65,68,*,*,*,*,16.90%,32.40%,*,*,*,*,43.60%,68.80%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,5,ELA,*,*,*,*,51,70,*,*,*,*,15.70%,37.10%,*,*,*,*,32.60%,65.30%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,5,Math,*,*,*,*,51,70,*,*,*,*,11.80%,28.60%,*,*,*,*,23.40%,52.80%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,6,ELA,*,*,*,*,*,108,*,*,*,*,*,37.00%,*,*,*,*,*,56.80%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,6,Math,*,*,*,*,*,105,*,*,*,*,*,23.80%,*,*,*,*,*,34.90%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,7,ELA,*,*,*,*,*,78,*,*,*,*,*,26.90%,*,*,*,*,*,43.20%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,7,Math,*,*,*,*,*,75,*,*,*,*,*,25.30%,*,*,*,*,*,44.10%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,8,ELA,*,*,*,*,*,92,*,*,*,*,*,40.20%,*,*,*,*,*,55.00%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts,8,Math,*,*,*,*,*,84,*,*,*,*,*,11.90%,*,*,*,*,*,28.70%
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,4,ELA,*,61,62,66,*,*,*,47.50%,25.80%,45.50%,*,*,*,69.40%,49.20%,66.10%,*,*
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,4,Math,*,61,62,66,*,*,*,59.00%,24.20%,33.30%,*,*,*,88.00%,45.50%,51.10%,*,*
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,5,ELA,*,*,61,63,*,*,*,*,29.50%,31.70%,*,*,*,*,53.90%,59.50%,*,*
2410014,Capitol Region Education Council,2410614,Ana Grace Academy of the Arts Elementary School,5,Math,*,*,61,63,*,*,*,*,13.10%,27.00%,*,*,*,*,42.60%,47.20%,*,*
2410014,Capitol Region Education Council,2418114,Discovery Academy,4,ELA,34,58,62,57,65,65,29.40%,51.70%,48.40%,29.80%,29.20%,36.90%,65.60%,77.20%,70.10%,49.40%,60.00%,61.00%
2410014,Capitol Region Education Council,2418114,Discovery Academy,4,Math,34,58,62,57,64,65,35.30%,39.70%,19.40%,26.30%,34.40%,36.90%,67.50%,68.80%,46.30%,55.20%,60.80%,67.30%
2410014,Capitol Region Education Council,2418114,Discovery Academy,5,ELA,*,33,59,62,63,58,*,57.60%,50.80%,54.80%,46.00%,34.50%,*,82.40%,72.60%,76.80%,78.60%,59.00%
2410014,Capitol Region Education Council,2418114,Discovery Academy,5,Math,*,33,59,62,63,58,*,60.60%,52.50%,62.90%,49.20%,48.30%,*,81.90%,71.10%,81.20%,70.30%,73.20%
2410014,Capitol Region Education Council,2419214,Farmington Valley Regional Diagnostic Center,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419214,Farmington Valley Regional Diagnostic Center,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419214,Farmington Valley Regional Diagnostic Center,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2410114,Glastonbury/East Hartford Magnet School,4,ELA,64,60,64,63,61,63,42.20%,28.30%,32.80%,39.70%,31.10%,25.40%,73.30%,64.00%,57.80%,61.60%,58.50%,49.60%
2410014,Capitol Region Education Council,2410114,Glastonbury/East Hartford Magnet School,4,Math,64,60,64,63,60,63,32.80%,46.70%,20.30%,19.00%,26.70%,28.60%,68.10%,78.30%,43.70%,43.60%,57.10%,62.70%
2410014,Capitol Region Education Council,2410114,Glastonbury/East Hartford Magnet School,5,ELA,63,62,57,62,61,59,57.10%,30.60%,45.60%,43.50%,47.50%,37.30%,81.30%,58.50%,71.90%,70.40%,69.90%,64.80%
2410014,Capitol Region Education Council,2410114,Glastonbury/East Hartford Magnet School,5,Math,63,62,57,62,61,59,58.70%,50.00%,36.80%,21.00%,45.90%,44.10%,83.40%,71.20%,55.80%,39.80%,62.60%,69.00%
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,6,ELA,95,105,105,113,95,*,45.30%,29.50%,38.10%,23.90%,16.80%,*,67.70%,46.80%,58.80%,39.80%,32.30%,*
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,6,Math,93,105,103,110,94,*,39.80%,33.30%,35.90%,26.40%,14.90%,*,60.10%,52.40%,52.20%,40.20%,26.50%,*
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,7,ELA,103,100,102,98,88,*,40.80%,35.00%,36.30%,33.70%,17.00%,*,60.50%,53.10%,54.90%,50.10%,31.10%,*
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,7,Math,102,98,102,97,79,*,43.10%,40.80%,25.50%,26.80%,27.80%,*,61.60%,60.80%,45.50%,45.00%,41.60%,*
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,8,ELA,98,90,101,88,75,*,43.90%,38.90%,37.60%,17.00%,16.00%,*,61.90%,51.30%,55.70%,36.80%,32.10%,*
2410014,Capitol Region Education Council,2415314,Greater Hartford Academy of the Arts Magnet Middle,8,Math,94,86,98,82,67,*,41.50%,55.80%,43.90%,28.00%,52.20%,*,62.00%,70.80%,65.00%,46.10%,70.20%,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419014,John J. Allison Polaris Center,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,4,ELA,41,37,48,41,44,41,36.60%,48.60%,39.60%,31.70%,31.80%,31.70%,61.40%,69.90%,53.40%,46.00%,61.20%,66.70%
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,4,Math,41,37,48,41,44,41,31.70%,27.00%,16.70%,17.10%,29.50%,14.60%,57.20%,57.00%,42.40%,46.30%,60.70%,34.40%
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,5,ELA,43,37,38,45,39,35,44.20%,29.70%,52.60%,26.70%,33.30%,40.00%,65.20%,56.10%,68.70%,52.40%,57.80%,64.00%
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,5,Math,43,37,38,45,39,35,32.60%,54.10%,23.70%,31.10%,28.20%,51.40%,53.10%,72.60%,47.30%,51.30%,49.40%,70.10%
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,6,ELA,*,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2413114,Montessori Magnet School,6,Math,*,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2410514,Museum Academy,4,ELA,38,60,65,55,54,60,44.70%,45.00%,33.80%,36.40%,25.90%,23.30%,73.60%,66.90%,59.20%,55.60%,50.80%,51.60%
2410014,Capitol Region Education Council,2410514,Museum Academy,4,Math,42,59,65,55,52,60,59.50%,54.20%,66.20%,52.70%,42.30%,33.30%,86.90%,83.10%,94.50%,76.10%,76.00%,67.20%
2410014,Capitol Region Education Council,2410514,Museum Academy,5,ELA,37,42,63,61,47,63,37.80%,47.60%,28.60%,50.80%,21.30%,20.60%,67.80%,63.00%,46.50%,70.90%,45.60%,49.40%
2410014,Capitol Region Education Council,2410514,Museum Academy,5,Math,38,42,63,61,46,63,36.80%,40.50%,25.40%,39.30%,41.30%,19.00%,63.60%,65.20%,42.80%,55.90%,60.70%,37.00%
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,6,ELA,29,*,*,*,*,*,34.50%,*,*,*,*,*,52.70%,*,*,*,*,*
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,6,Math,29,*,*,*,*,*,17.20%,*,*,*,*,*,35.30%,*,*,*,*,*
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,7,ELA,53,59,*,*,*,*,49.10%,16.90%,*,*,*,*,71.70%,31.80%,*,*,*,*
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,7,Math,52,59,*,*,*,*,32.70%,22.00%,*,*,*,*,55.00%,34.60%,*,*,*,*
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,8,ELA,52,58,59,*,*,*,38.50%,13.80%,33.90%,*,*,*,56.50%,26.60%,49.60%,*,*,*
2410014,Capitol Region Education Council,2415214,PSA Civic Leadership High School,8,Math,48,58,59,*,*,*,37.50%,29.30%,28.80%,*,*,*,51.30%,53.30%,40.30%,*,*,*
2410014,Capitol Region Education Council,2410314,Reggio Magnet School of the Arts,4,ELA,51,47,56,60,62,56,33.30%,31.90%,50.00%,56.70%,22.60%,37.50%,68.90%,59.70%,69.00%,78.50%,43.40%,69.50%
2410014,Capitol Region Education Council,2410314,Reggio Magnet School of the Arts,4,Math,51,47,56,60,59,56,31.40%,46.80%,26.80%,48.30%,30.50%,46.40%,73.50%,77.90%,65.20%,86.10%,62.40%,78.30%
2410014,Capitol Region Education Council,2410314,Reggio Magnet School of the Arts,5,ELA,52,45,47,60,61,59,38.50%,35.60%,31.90%,46.70%,47.50%,42.40%,65.70%,71.90%,55.90%,70.30%,71.90%,73.00%
2410014,Capitol Region Education Council,2410314,Reggio Magnet School of the Arts,5,Math,51,45,47,60,60,58,47.10%,71.10%,51.10%,66.70%,18.30%,48.30%,64.60%,88.60%,74.80%,83.20%,42.70%,68.00%
2410014,Capitol Region Education Council,2419314,River Street School,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419314,River Street School,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419514,River Street School Birken Campus,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2419514,River Street School Birken Campus,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411114,Soundbridge @ Academy of Aerospace & Engineering Elementary,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411114,Soundbridge @ Academy of Aerospace & Engineering Elementary,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411314,Soundbridge @ Academy of Science and Innovation,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411314,Soundbridge @ Academy of Science and Innovation,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411514,Soundbridge @ Chippens Hill MS Bristol,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2410014,Capitol Region Education Council,2411514,Soundbridge @ Chippens Hill MS Bristol,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
