"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,English Learner Status (EL),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0090011,Bethel School District,ELA,ELL,21,22,32,45,55,68,19.00%,50.00%,46.90%,22.20%,40.00%,30.90%,42.70%,65.80%,67.00%,60.70%,66.20%,61.60%
0090011,Bethel School District,ELA,Non-ELL,988,1065,1066,1091,1089,1078,51.90%,35.60%,44.00%,41.80%,39.60%,38.90%,71.40%,55.40%,64.40%,62.10%,58.80%,58.80%
0090011,Bethel School District,Math,ELL,24,22,32,45,54,66,45.80%,27.30%,65.60%,42.20%,63.00%,47.00%,69.70%,52.40%,92.00%,63.70%,82.70%,62.10%
0090011,Bethel School District,Math,Non-ELL,985,1061,1063,1090,1068,1061,59.00%,41.50%,49.90%,44.70%,53.80%,49.60%,80.00%,62.80%,72.20%,64.90%,73.10%,69.10%
0110011,Bloomfield School District,ELA,ELL,*,13,13,15,39,38,*,*,*,*,48.70%,23.70%,*,*,*,*,63.80%,52.60%
0110011,Bloomfield School District,ELA,Non-ELL,*,610,605,626,542,574,36.50%,32.00%,30.10%,35.10%,38.40%,26.30%,60.30%,50.60%,52.60%,55.60%,60.50%,45.10%
0110011,Bloomfield School District,Math,ELL,6,14,13,16,39,38,*,*,*,*,43.60%,23.70%,*,*,*,*,62.90%,46.60%
0110011,Bloomfield School District,Math,Non-ELL,559,609,604,623,541,569,43.50%,31.50%,40.70%,34.80%,42.00%,33.60%,65.50%,50.60%,60.40%,55.90%,62.90%,52.20%
0120011,Bolton School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0120011,Bolton School District,ELA,Non-ELL,289,*,*,*,*,*,55.70%,35.60%,47.10%,39.90%,38.80%,36.90%,75.30%,51.70%,68.60%,58.80%,60.50%,57.30%
0120011,Bolton School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0120011,Bolton School District,Math,Non-ELL,289,*,*,*,*,*,50.50%,37.70%,62.30%,42.10%,51.20%,42.60%,71.00%,58.00%,80.80%,61.20%,71.20%,62.00%
2950013,Booker T. Washington Academy District,ELA,ELL,*,*,*,*,12,8,*,*,*,*,*,*,*,*,*,*,*,*
2950013,Booker T. Washington Academy District,ELA,Non-ELL,*,*,28,*,212,199,*,*,21.40%,23.80%,27.80%,35.70%,*,*,50.20%,43.00%,53.40%,59.70%
2950013,Booker T. Washington Academy District,Math,ELL,*,*,*,*,12,8,*,*,*,*,*,*,*,*,*,*,*,*
2950013,Booker T. Washington Academy District,Math,Non-ELL,*,*,28,*,212,198,*,*,7.10%,9.50%,37.30%,39.90%,*,*,20.30%,42.30%,64.70%,59.10%
0130011,Bozrah School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0130011,Bozrah School District,ELA,Non-ELL,*,*,*,*,*,*,40.60%,38.20%,43.90%,34.60%,28.90%,59.20%,61.30%,62.10%,64.00%,53.20%,48.80%,80.60%
0130011,Bozrah School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0130011,Bozrah School District,Math,Non-ELL,*,*,*,*,*,*,47.20%,36.40%,45.80%,41.10%,50.60%,68.40%,73.10%,59.70%,66.00%,65.20%,74.40%,85.50%
0140011,Branford School District,ELA,ELL,17,30,31,36,48,69,*,43.30%,41.90%,22.20%,33.30%,49.30%,*,63.50%,69.50%,57.20%,59.10%,75.50%
0140011,Branford School District,ELA,Non-ELL,1030,1005,999,974,831,849,43.50%,36.90%,31.40%,44.50%,39.80%,37.90%,62.60%,54.80%,48.90%,63.70%,58.80%,56.00%
0140011,Branford School District,Math,ELL,20,30,31,36,48,69,60.00%,50.00%,19.40%,30.60%,43.80%,46.40%,80.20%,73.00%,54.70%,60.50%,68.80%,74.20%
0140011,Branford School District,Math,Non-ELL,1026,1003,998,971,827,847,41.30%,39.20%,41.40%,42.00%,43.00%,44.00%,62.70%,59.20%,61.50%,60.50%,63.10%,64.00%
2900013,Brass City Charter School District,ELA,ELL,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2900013,Brass City Charter School District,ELA,Non-ELL,*,38,71,100,*,154,*,23.70%,46.50%,35.00%,47.40%,33.10%,*,47.40%,66.70%,50.90%,70.40%,55.10%
2900013,Brass City Charter School District,Math,ELL,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2900013,Brass City Charter School District,Math,Non-ELL,*,38,71,100,*,154,*,10.50%,57.70%,30.00%,55.80%,28.60%,*,19.00%,79.90%,53.00%,77.10%,46.20%
0150011,Bridgeport School District,ELA,ELL,722,870,1010,1130,1303,1668,27.70%,25.20%,32.90%,27.30%,30.70%,24.90%,54.30%,49.20%,58.80%,52.10%,57.60%,49.70%
0150011,Bridgeport School District,ELA,Non-ELL,5874,5897,5795,5844,4344,4651,31.40%,26.40%,35.90%,31.00%,38.60%,26.80%,54.60%,48.80%,60.00%,53.60%,61.30%,49.40%
0150011,Bridgeport School District,Math,ELL,850,868,1004,1130,1244,1669,32.00%,35.90%,33.40%,32.30%,33.20%,29.10%,51.70%,57.20%,54.20%,55.00%,54.40%,49.70%
0150011,Bridgeport School District,Math,Non-ELL,5869,5884,5764,5826,4149,4626,28.70%,34.90%,32.90%,31.90%,36.90%,31.30%,50.70%,55.60%,53.60%,52.10%,57.20%,50.50%
0170011,Bristol School District,ELA,ELL,77,117,130,162,145,163,36.40%,24.80%,29.20%,21.60%,44.10%,38.00%,67.50%,55.10%,56.70%,45.10%,64.50%,60.80%
0170011,Bristol School District,ELA,Non-ELL,2688,2738,2723,2738,2320,2420,42.20%,35.30%,38.40%,33.60%,45.20%,37.60%,64.20%,54.90%,60.60%,54.40%,66.40%,57.40%
0170011,Bristol School District,Math,ELL,95,117,130,160,139,162,42.10%,34.20%,38.50%,31.90%,43.90%,47.50%,73.20%,60.30%,58.80%,52.20%,66.70%,68.00%
0170011,Bristol School District,Math,Non-ELL,2687,2732,2710,2718,2273,2398,43.00%,37.30%,39.30%,35.60%,52.10%,46.20%,65.30%,58.40%,59.30%,55.00%,71.10%,65.60%
0180011,Brookfield School District,ELA,ELL,14,16,31,34,35,42,*,*,54.80%,32.40%,31.40%,40.50%,*,*,79.90%,65.50%,61.60%,63.30%
0180011,Brookfield School District,ELA,Non-ELL,943,938,900,864,809,825,43.60%,41.90%,43.20%,44.00%,41.70%,48.50%,63.20%,60.80%,62.50%,65.00%,60.80%,68.20%
0180011,Brookfield School District,Math,ELL,15,16,31,34,35,41,*,*,54.80%,55.90%,37.10%,61.00%,*,*,78.10%,76.10%,59.60%,85.20%
0180011,Brookfield School District,Math,Non-ELL,942,933,897,861,806,822,45.50%,52.70%,47.30%,55.30%,47.00%,52.70%,67.80%,72.30%,66.80%,76.80%,67.00%,73.40%
0190011,Brooklyn School District,ELA,ELL,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*
0190011,Brooklyn School District,ELA,Non-ELL,*,*,*,*,*,407,48.60%,42.50%,48.30%,36.90%,41.10%,41.80%,68.80%,61.40%,66.00%,57.70%,60.90%,62.50%
0190011,Brooklyn School District,Math,ELL,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*
0190011,Brooklyn School District,Math,Non-ELL,*,*,*,*,*,408,38.60%,45.50%,42.90%,41.40%,45.80%,43.10%,58.70%,64.80%,63.40%,62.00%,65.70%,64.90%
0210011,Canaan School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,ELA,Non-ELL,*,*,*,*,31,36,56.80%,27.00%,47.20%,46.70%,32.30%,47.20%,72.90%,48.40%,70.90%,63.30%,44.60%,68.00%
0210011,Canaan School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0210011,Canaan School District,Math,Non-ELL,*,*,*,*,31,36,21.60%,37.80%,47.20%,50.00%,45.20%,41.70%,44.80%,52.00%,67.50%,68.80%,59.20%,64.40%
0220011,Canterbury School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0220011,Canterbury School District,ELA,Non-ELL,248,237,210,215,*,*,44.40%,28.30%,35.70%,35.30%,41.90%,38.50%,66.90%,44.30%,57.70%,56.40%,61.90%,60.10%
0220011,Canterbury School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0220011,Canterbury School District,Math,Non-ELL,248,237,210,214,*,232,44.40%,43.00%,25.70%,36.00%,40.40%,55.20%,67.60%,63.10%,46.50%,60.40%,59.60%,77.20%
0230011,Canton School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0230011,Canton School District,ELA,Non-ELL,*,*,*,*,*,*,51.30%,38.00%,42.50%,42.10%,35.80%,38.80%,71.10%,57.00%,61.50%,60.70%,53.90%,58.10%
0230011,Canton School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0230011,Canton School District,Math,Non-ELL,*,*,*,*,*,*,55.10%,43.40%,53.70%,48.80%,35.50%,41.00%,76.40%,62.00%,72.30%,65.30%,54.80%,60.00%
2970013,Capital Preparatory Harbor School District,ELA,ELL,*,*,*,7,25,28,*,*,*,*,32.00%,17.90%,*,*,*,*,58.70%,44.90%
2970013,Capital Preparatory Harbor School District,ELA,Non-ELL,88,96,138,212,230,268,35.20%,52.10%,39.10%,26.90%,37.80%,42.50%,56.80%,73.90%,62.10%,51.00%,60.50%,64.30%
