"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,
,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,ELA,360,19.2,362,19.9,371,20.2,366,25.7,314,22,337,23.1
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,Math,359,8.9,360,13.1,371,17.3,364,20.9,314,13.4,337,15.4
Bridgeport School District,0150011,John Winthrop School,0153611,ELA,443,43.6,453,40.6,437,46,458,49.8,447,41.6,390,40
Bridgeport School District,0150011,John Winthrop School,0153611,Math,443,18.5,453,34.4,436,31.7,457,39.4,447,24.8,390,25.6
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,ELA,619,5.3,598,6,597,6,602,9.3,575,6.1,560,5.9
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,Math,618,1.8,595,2.5,596,2,602,3,572,1.6,561,3
Bridgeport School District,0150011,Madison School,0152011,ELA,291,33,284,27.5,300,26.7,272,32.7,231,26.4,239,23
Bridgeport School District,0150011,Madison School,0152011,Math,292,16.8,284,21.5,299,23.4,272,26.1,231,16.5,239,14.2
Bridgeport School District,0150011,Multicultural Magnet School,0154611,ELA,290,65.9,281,59.1,295,68.1,297,68.7,256,50.8,251,48.2
Bridgeport School District,0150011,Multicultural Magnet School,0154611,Math,290,50.3,281,42.3,295,53.2,296,55.1,256,30.5,251,30.3
Bridgeport School District,0150011,Park City Magnet School,0151711,ELA,261,54.4,284,49.6,295,48.5,299,45.8,278,35.6,266,39.5
Bridgeport School District,0150011,Park City Magnet School,0151711,Math,261,25.3,284,31.7,295,29.8,299,21.1,278,19.4,266,25.2
Bridgeport School District,0150011,Paul Laurence Dunbar School,0154111,ELA,220,9.5,212,*,235,10.6,203,16.7,228,14.9,223,12.1
Bridgeport School District,0150011,Paul Laurence Dunbar School,0154111,Math,220,*,211,*,230,*,199,4.5,223,4.9,221,5.4
Bridgeport School District,0150011,Read School,0152511,ELA,537,17.7,570,18.8,561,25.1,510,27.8,453,20.8,448,19
Bridgeport School District,0150011,Read School,0152511,Math,538,8.2,569,11.4,560,8,510,12.2,452,10.6,446,7
Bridgeport School District,0150011,Roosevelt School,0152611,ELA,326,8.3,320,13.8,313,14.1,336,15.5,332,13.9,309,15.2
Bridgeport School District,0150011,Roosevelt School,0152611,Math,326,3.4,320,6.6,314,6.4,336,7.4,332,6.9,308,7.8
Bridgeport School District,0150011,Thomas Hooker School,0151311,ELA,230,28.7,211,24.6,248,33.9,261,34.1,181,31.5,178,27
Bridgeport School District,0150011,Thomas Hooker School,0151311,Math,226,11.1,206,12.6,248,15.7,260,19.6,181,*,174,13.8
Bridgeport School District,0150011,Waltersville School,0153011,ELA,303,14.5,287,18.5,285,24.2,298,22.1,276,14.1,267,12.7
Bridgeport School District,0150011,Waltersville School,0153011,Math,301,4,286,10.8,286,15.7,296,11.8,276,8.3,266,9.8
Bridgeport School District,0150011,Wilbur Cross School,0153911,ELA,222,11.7,209,*,206,6.8,196,10.7,187,5.3,212,7.5
Bridgeport School District,0150011,Wilbur Cross School,0153911,Math,221,*,211,2.8,200,*,194,*,187,*,211,3.8
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,ELA,12,*,11,*,14,*,15,*,*,*,*,*
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,Math,12,*,11,*,14,*,14,*,*,*,*,*
