"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Columbia School District,0300011,Math,279,50.2,269,49.4,259,46.3,239,48.1,275,42.5,297,46.5
Cooperative Educational Services,2430014,ELA,336,45.5,319,41.4,317,42.9,329,43.5,305,42.3,287,38
Cooperative Educational Services,2430014,Math,337,33.2,318,32.7,316,34.2,328,33.5,304,27.6,287,28.9
Cornwall School District,0310011,ELA,61,73.8,54,74.1,46,65.2,64,65.6,65,72.3,56,62.5
Cornwall School District,0310011,Math,61,54.1,55,56.4,46,41.3,64,59.4,65,66.2,56,58.9
Coventry School District,0320011,ELA,744,72.2,745,73.3,739,76.2,723,76.2,742,71.3,712,71.3
Coventry School District,0320011,Math,744,55.2,739,63.6,737,63.5,722,69.1,740,56.9,712,59
Cromwell School District,0330011,ELA,920,64.2,913,59.5,914,63.8,935,67.5,897,55.1,913,52.9
Cromwell School District,0330011,Math,919,46,908,49.1,913,54.7,934,60.2,895,48.7,905,48.1
Danbury School District,0340011,ELA,5033,47,5226,44.5,5221,46.4,5376,46.2,5540,32.3,5418,33.1
Danbury School District,0340011,Math,5017,34.2,5218,35.8,5215,36.4,5360,37.6,5535,23.3,5407,24.9
Darien School District,0350011,ELA,2255,86.9,2227,84.7,2237,83.4,2191,84.4,2125,80.8,2113,79.4
Darien School District,0350011,Math,2254,81.7,2225,80.9,2236,81.4,2190,84.8,2121,79.5,2110,80.8
Deep River School District,0360011,ELA,199,62.8,176,69.3,171,72.5,154,71.4,123,70.7,112,71.4
Deep River School District,0360011,Math,199,51.8,176,59.1,171,61.4,154,74.7,123,69.9,112,65.2
Derby School District,0370011,ELA,678,40.1,683,37.2,674,39.3,656,36.1,563,35.5,575,33.6
Derby School District,0370011,Math,673,22.4,682,24.3,676,27.8,657,32.1,562,23.5,574,21.8
East Granby School District,0400011,ELA,395,71.1,407,72.2,396,68.7,392,71.7,399,64.9,390,63.3
