"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Brass City Charter School District,2900013,ELA,Y,*,*,10,*,13,*,21,*,31,*,45,13.3
Brass City Charter School District,2900013,Math,N,*,*,66,*,98,*,122,*,175,*,168,*
Brass City Charter School District,2900013,Math,Y,*,*,10,*,13,*,21,*,31,*,44,*
Bridgeport School District,0150011,ELA,N,8079,25.5,7903,25.5,7916,29.7,7715,32.2,7145,24,6957,23
Bridgeport School District,0150011,ELA,Y,1234,3,1351,4.3,1498,4.9,1615,4.1,1531,4.6,1554,4.6
Bridgeport School District,0150011,Math,N,8069,11.2,7888,15.2,7895,17.1,7693,18.4,7129,12.7,6944,12.7
Bridgeport School District,0150011,Math,Y,1230,1.1,1343,2.6,1492,3.2,1610,2.6,1523,2.1,1547,2.1
Bristol School District,0170011,ELA,N,2938,61.3,2987,58.8,2997,60.3,2964,56.5,2656,56.9,2712,57.4
Bristol School District,0170011,ELA,Y,597,15.9,605,12.1,626,15.7,665,11.7,613,11.7,639,14.2
Bristol School District,0170011,Math,N,2939,44.9,2984,46,2988,47.5,2957,45,2646,43.7,2701,48.4
Bristol School District,0170011,Math,Y,594,6.9,604,7.3,621,9.5,654,8.1,603,6.8,630,10.2
Brookfield School District,0180011,ELA,N,1057,74.6,1068,71.5,1019,*,998,74.1,950,*,973,*
Brookfield School District,0180011,ELA,Y,138,22.5,145,23.4,150,22,155,27.7,130,15.4,128,19.5
Brookfield School District,0180011,Math,N,1053,67.2,1065,66.9,1016,66.2,995,69.1,951,52.8,967,*
Brookfield School District,0180011,Math,Y,137,20.4,145,20,150,13.3,154,24,130,10,127,15
Brooklyn School District,0190011,ELA,N,471,74.7,456,68.6,444,*,456,69.7,431,*,440,*
Brooklyn School District,0190011,ELA,Y,45,13.3,49,16.3,71,11.3,79,20.3,83,*,100,20
Brooklyn School District,0190011,Math,N,471,*,456,*,444,*,456,*,431,*,440,*
Brooklyn School District,0190011,Math,Y,44,*,48,*,72,*,79,11.4,83,*,100,14
Canaan School District,0210011,ELA,N,*,*,42,*,40,*,37,*,*,*,40,*
Canaan School District,0210011,ELA,Y,*,*,9,*,6,*,6,*,*,*,6,*
Canaan School District,0210011,Math,N,*,*,43,*,40,*,37,*,*,*,40,*
Canaan School District,0210011,Math,Y,*,*,9,*,6,*,6,*,*,*,6,*
Canterbury School District,0220011,ELA,N,277,58.1,260,*,235,*,236,*,262,*,250,*
Canterbury School District,0220011,ELA,Y,26,23.1,29,*,31,*,38,21.1,24,*,35,*
Canterbury School District,0220011,Math,N,277,*,260,*,235,*,236,*,259,*,250,*
Canterbury School District,0220011,Math,Y,26,*,29,*,31,*,37,*,20,0,35,*
Canton School District,0230011,ELA,N,704,*,687,*,658,*,624,*,552,71.6,564,69.1
Canton School District,0230011,ELA,Y,81,18.5,75,21.3,76,14.5,86,15.1,99,23.2,117,23.1
Canton School District,0230011,Math,N,704,73.4,684,*,658,*,623,*,552,*,564,66
