"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Free/Reduced Price Meal Eligibility (3-level),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Brookfield School District,0180011,Math,N,1102,63.3,1097,62.6,944,64,914,66.1,862,51.2,857,60.4
Brookfield School District,0180011,Math,R,22,63.6,24,*,54,27.8,59,44.1,55,34.5,62,45.2
Brooklyn School District,0190011,ELA,F,133,48.1,130,*,156,*,158,43.7,147,36.1,159,*
Brooklyn School District,0190011,ELA,N,354,78.2,348,71,346,72.5,335,71.3,334,54.2,341,59.2
Brooklyn School District,0190011,ELA,R,29,*,27,*,13,*,42,61.9,33,*,40,*
Brooklyn School District,0190011,Math,F,132,18.9,129,23.3,156,*,158,30.4,147,23.1,159,27.7
Brooklyn School District,0190011,Math,N,354,47.7,348,51.7,347,*,335,*,335,43.3,341,53.1
Brooklyn School District,0190011,Math,R,29,24.1,27,*,13,*,42,*,32,*,40,*
Canaan School District,0210011,ELA,F,*,*,7,*,8,*,10,*,*,*,*,*
Canaan School District,0210011,ELA,N,*,*,44,*,38,*,33,*,33,75.8,29,82.8
Canaan School District,0210011,ELA,R,*,*,*,*,*,*,*,*,*,*,*,*
Canaan School District,0210011,Math,F,*,*,7,*,8,*,10,*,*,*,*,*
Canaan School District,0210011,Math,N,*,*,45,*,38,*,33,*,33,*,29,58.6
Canaan School District,0210011,Math,R,*,*,*,*,*,*,*,*,*,*,*,*
Canterbury School District,0220011,ELA,F,65,*,60,*,82,*,80,*,73,*,66,*
Canterbury School District,0220011,ELA,N,218,56.9,215,56.7,159,60.4,179,62.6,190,52.1,196,58.7
Canterbury School District,0220011,ELA,R,20,*,14,*,25,*,15,*,23,*,23,*
Canterbury School District,0220011,Math,F,65,*,60,*,82,39,80,*,73,*,66,*
Canterbury School District,0220011,Math,N,218,41.7,215,47,159,46.5,178,46.6,185,31.4,196,51.5
Canterbury School District,0220011,Math,R,20,*,14,*,25,24,15,*,21,*,23,*
Canton School District,0230011,ELA,F,82,*,71,*,88,*,101,*,*,*,92,*
Canton School District,0230011,ELA,N,686,78.1,674,76.6,626,77,585,77.9,531,68.9,576,64.8
Canton School District,0230011,ELA,R,17,*,17,*,20,*,24,62.5,*,*,13,*
Canton School District,0230011,Math,F,82,*,70,*,87,*,100,38,*,*,90,*
Canton School District,0230011,Math,N,686,71,672,68,626,72.7,584,75.2,530,61.3,576,61.5
Canton School District,0230011,Math,R,17,*,17,*,20,*,24,*,*,*,13,*
Capital Preparatory Harbor School District,2970013,ELA,F,55,*,58,*,124,37.1,189,29.1,200,22.5,220,32.3
Capital Preparatory Harbor School District,2970013,ELA,N,41,*,44,*,49,*,53,*,128,34.4,108,33.3
Capital Preparatory Harbor School District,2970013,ELA,R,14,*,13,*,12,*,36,30.6,43,23.3,45,*
Capital Preparatory Harbor School District,2970013,Math,F,55,*,58,*,125,19.2,189,23.8,200,11,220,16.4
Capital Preparatory Harbor School District,2970013,Math,N,41,*,44,*,49,*,52,30.8,128,18,108,21.3
Capital Preparatory Harbor School District,2970013,Math,R,13,*,13,*,12,*,36,25,43,14,45,17.8
Capitol Region Education Council,2410014,ELA,F,1358,32.7,1387,31.7,1507,32.8,1726,33.4,2011,19,2122,20.6
Capitol Region Education Council,2410014,ELA,N,1461,65.1,1592,61.9,1582,64.3,1408,64.6,1130,46.9,1046,49.1
Capitol Region Education Council,2410014,ELA,R,245,50.6,298,40.6,311,47.9,434,45.6,348,24.1,323,28.5
Capitol Region Education Council,2410014,Math,F,1344,16.8,1374,20.6,1502,20.8,1712,20.3,1981,9.4,2087,11.6
Capitol Region Education Council,2410014,Math,N,1449,47.8,1580,49.1,1581,50.4,1401,51.3,1121,31.8,1045,36.9
Capitol Region Education Council,2410014,Math,R,245,25.7,297,30,309,28.2,431,26.9,344,8.7,321,14.6
Chaplin School District,0240011,ELA,F,31,*,*,*,*,*,*,*,*,*,*,*
Chaplin School District,0240011,ELA,N,37,*,41,73.2,45,73.3,44,65.9,42,69,39,*
Chaplin School District,0240011,ELA,R,9,*,*,*,*,*,*,*,*,*,*,*
Chaplin School District,0240011,Math,F,31,*,*,*,*,*,*,*,*,*,*,*
Chaplin School District,0240011,Math,N,37,*,41,*,45,*,44,*,42,59.5,39,56.4
Chaplin School District,0240011,Math,R,8,*,*,*,*,*,*,*,*,*,*,*
Cheshire School District,0250011,ELA,F,153,*,111,49.5,190,*,194,61.9,235,60,236,57.6
Cheshire School District,0250011,ELA,N,1845,81.4,1837,79.2,1682,81.5,1582,85.8,1519,77,1547,79.4
