"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Cheshire School District,0250011,ELA,Male,988,75.2,970,73.9,969,73.4,914,77.9,938,70.1,962,73.3
Cheshire School District,0250011,Math,Female,1045,63.8,1015,66.4,949,69,910,75.6,868,67.5,875,71.7
Cheshire School District,0250011,Math,Male,988,65.8,970,66.7,969,67.6,911,74.9,935,72.8,961,75.7
Chester School District,0260011,ELA,Female,76,81.6,62,79,58,81,52,78.8,49,79.6,58,75.9
Chester School District,0260011,ELA,Male,54,74.1,61,78.7,53,83,50,86,60,66.7,66,74.2
Chester School District,0260011,Math,Female,76,65.8,62,64.5,59,*,52,67.3,49,73.5,58,67.2
Chester School District,0260011,Math,Male,54,74.1,61,80.3,53,81.1,50,80,60,70,66,78.8
Clinton School District,0270011,ELA,Female,429,74.4,411,69.3,384,68,377,67.6,304,56.6,285,52.6
Clinton School District,0270011,ELA,Male,456,63.8,442,57.7,433,52.4,402,55.5,341,49.3,324,46
Clinton School District,0270011,Math,Female,432,55.8,413,59.3,386,50.8,377,54.4,305,46.6,285,45.6
Clinton School District,0270011,Math,Male,458,55,441,55.6,432,48.4,402,56,340,45,323,51.1
Colchester School District,0280011,ELA,Female,555,77.5,531,76.3,513,76.8,495,75.6,444,66.7,447,63.1
Colchester School District,0280011,ELA,Male,575,67.7,559,64.8,557,65.9,510,65.3,471,60.3,465,58.7
Colchester School District,0280011,Math,Female,555,56,531,63.1,513,68.4,494,70.9,442,62,447,64.4
Colchester School District,0280011,Math,Male,573,56.7,559,65.5,557,65.7,509,68.4,471,65.8,465,67.1
Colebrook School District,0290011,ELA,Female,25,*,23,*,19,*,19,*,18,*,21,*
Colebrook School District,0290011,ELA,Male,19,*,20,*,28,*,33,*,28,*,29,*
Colebrook School District,0290011,Math,Female,25,*,23,*,19,*,19,*,18,*,21,81
Colebrook School District,0290011,Math,Male,19,*,20,*,28,*,33,*,28,*,29,69
Columbia School District,0300011,ELA,Female,145,75.2,139,68.3,128,68.8,112,79.5,126,56.3,140,47.1
Columbia School District,0300011,ELA,Male,134,57.5,130,49.2,132,44.7,130,57.7,150,48,159,53.5
Columbia School District,0300011,Math,Female,145,49.7,139,48.2,127,53.5,111,55.9,125,40,138,39.9
Columbia School District,0300011,Math,Male,134,50.7,130,50.8,132,39.4,128,41.4,150,44.7,159,52.2
Cooperative Educational Services,2430014,ELA,Female,144,52.1,134,49.3,132,56.8,133,54.1,132,46.2,133,44.4
Cooperative Educational Services,2430014,ELA,Male,192,40.6,185,35.7,185,33,196,36.2,173,39.3,154,32.5
Cooperative Educational Services,2430014,Math,Female,145,42.8,134,38.8,132,42.4,133,39.1,132,28.8,133,31.6
Cooperative Educational Services,2430014,Math,Male,192,26,184,28.3,184,28.3,195,29.7,172,26.7,154,26.6
Cornwall School District,0310011,ELA,Female,21,76.2,20,*,17,*,24,75,33,66.7,31,*
Cornwall School District,0310011,ELA,Male,40,72.5,34,67.6,29,*,40,60,32,78.1,25,*
