"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,English Learner Status (EL),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Capitol Region Education Council,2410014,ELA,Y,136,9.6,174,9.2,207,14.5,255,13.7,344,5.8,373,9.1
Capitol Region Education Council,2410014,Math,N,2905,33.5,3077,36.7,3187,36.6,3292,34.8,3106,17.8,3084,20.9
Capitol Region Education Council,2410014,Math,Y,133,6.8,174,10.9,205,14.6,252,15.1,340,6.2,369,7.9
Chaplin School District,0240011,ELA,N,77,57.1,69,59.4,70,64.3,80,60,77,54.5,71,43.7
Chaplin School District,0240011,Math,N,76,26.3,69,*,70,54.3,79,62,77,44.2,71,43.7
Cheshire School District,0250011,ELA,N,2020,*,1969,*,1899,78.6,1804,*,1767,*,1782,77.5
Cheshire School District,0250011,ELA,Y,15,*,19,*,21,28.6,21,*,42,28.6,58,41.4
Cheshire School District,0250011,Math,N,2018,*,1966,*,1897,*,1800,*,1761,71,1778,74.2
Cheshire School District,0250011,Math,Y,15,*,19,*,21,*,21,*,42,40.5,58,60.3
Chester School District,0260011,ELA,N,130,78.5,*,*,*,*,*,*,*,*,*,*
Chester School District,0260011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*
Chester School District,0260011,Math,N,130,69.2,*,*,*,*,*,*,*,*,*,*
Chester School District,0260011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*
Clinton School District,0270011,ELA,N,855,*,818,65.2,775,*,734,*,575,*,543,*
Clinton School District,0270011,ELA,Y,30,*,35,20,42,*,45,20,70,11.4,66,*
