"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,Math,*,*,*,96,*,*,34.80%,40.20%,36.40%,64.60%,58.40%,49.30%,66.20%,65.10%,63.20%,84.40%,77.90%,71.80%
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,ELA,660,701,642,654,563,557,51.70%,36.80%,42.80%,35.60%,32.10%,34.10%,70.50%,52.80%,61.10%,52.60%,51.00%,53.70%
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,Math,659,701,640,650,555,551,43.10%,58.10%,45.00%,50.60%,47.20%,58.30%,62.70%,76.60%,60.30%,67.40%,67.00%,75.10%
0070011,Berlin School District,0070411,Emma Hart Willard School,ELA,141,135,148,151,117,128,57.40%,39.30%,40.50%,33.10%,39.30%,39.80%,80.40%,60.50%,68.20%,56.50%,63.20%,66.70%
0070011,Berlin School District,0070411,Emma Hart Willard School,Math,141,135,148,151,117,128,51.10%,38.50%,48.00%,40.40%,46.20%,48.40%,70.70%,62.20%,71.20%,63.60%,68.60%,73.40%
0070011,Berlin School District,0070511,Mary E. Griswold School,ELA,194,177,155,162,162,172,44.30%,42.90%,38.10%,45.10%,41.40%,44.20%,71.00%,63.50%,61.30%,65.30%,60.70%,71.00%
0070011,Berlin School District,0070511,Mary E. Griswold School,Math,194,175,155,162,162,172,35.10%,42.90%,38.10%,34.60%,30.90%,50.60%,66.50%,69.80%,65.00%,57.00%,55.80%,74.10%
0070011,Berlin School District,0070111,Richard D. Hubbard School,ELA,91,72,80,69,69,78,60.40%,50.00%,42.50%,42.00%,62.30%,47.40%,83.30%,66.50%,64.40%,58.00%,83.20%,71.50%
